,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
0,  33LG20060321,  SR01,1.0,1.0,1.0,1.0,2.0,20060322.0,2032.0,-54.999,-64.951,  361,    351.0,   5.7900,  34.0850,2.0,-999.0000,9.0,    294.2,2.0,     5.51,2.0,    21.74,2.0,     0.09,2.0,     1.50,2.0,   2117.7,2.0,    401.4,2.0,     5.79,   -999.0,9.0,   -999.0,     1.40,2.0,   5.7605
1,  33LG20060321,  SR01,1.0,1.0,2.0,2.0,2.0,20060322.0,2035.0,-54.999,-64.951,  361,    306.9,   6.0200,  34.0710,2.0,  34.0910,2.0,    286.8,2.0,     3.27,2.0,    19.99,2.0,     0.19,2.0,     1.34,2.0,   2112.1,2.0,    374.4,2.0,     6.02,   -999.0,9.0,   -999.0,     1.49,2.0,   5.9938
2,  33LG20060321,  SR01,1.0,1.0,3.0,3.0,2.0,20060322.0,2037.0,-54.999,-64.951,  361,    275.5,   7.1100,  34.0100,2.0,  34.1170,3.0,    286.1,2.0,     2.24,2.0,    18.46,2.0,     0.22,2.0,     1.29,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   7.0842
3,  33LG20060321,  SR01,1.0,1.0,4.0,4.0,2.0,20060322.0,2043.0,-54.999,-64.951,  361,    228.3,   7.6500,  33.9740,2.0,-999.0000,9.0,    287.2,2.0,     1.68,2.0,    18.44,2.0,     0.23,2.0,     1.44,2.0,   2087.9,2.0,    378.0,2.0,     7.65,   -999.0,9.0,   -999.0,     1.42,2.0,   7.6278
4,  33LG20060321,  SR01,1.0,1.0,5.0,5.0,2.0,20060322.0,2045.0,-54.999,-64.951,  361,    203.0,   8.0000,  33.9570,2.0,  34.1410,3.0,    286.6,2.0,     1.21,2.0,    17.38,2.0,     0.24,2.0,     1.26,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   7.9798
5,  33LG20060321,  SR01,1.0,1.0,6.0,6.0,2.0,20060322.0,2046.0,-54.999,-64.951,  361,    187.2,   8.3400,  33.9230,2.0,  34.0810,3.0,    282.7,2.0,     0.99,2.0,    15.45,2.0,     0.24,2.0,     1.16,2.0,   2069.4,2.0,    362.6,2.0,     8.34,   -999.0,9.0,   -999.0,     1.39,2.0,   8.3209
6,  33LG20060321,  SR01,1.0,1.0,7.0,7.0,2.0,20060322.0,2049.0,-54.999,-64.951,  361,    149.8,   8.9000,  33.8170,2.0,  34.1210,3.0,    282.3,2.0,     0.98,2.0,    15.74,2.0,     0.23,2.0,     1.75,3.0,   2074.7,2.0,    368.1,2.0,      8.9,   -999.0,9.0,   -999.0,     1.37,2.0,   8.8841
7,  33LG20060321,  SR01,1.0,1.0,8.0,8.0,2.0,20060322.0,2050.0,-54.999,-64.951,  361,    125.5,   8.9900,  33.7980,2.0,  33.7880,2.0,    281.9,2.0,     1.34,2.0,    15.37,2.0,     0.24,2.0,     1.11,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   8.9767
8,  33LG20060321,  SR01,1.0,1.0,9.0,9.0,2.0,20060322.0,2052.0,-54.999,-64.951,  361,    100.9,   9.0300,  33.7840,2.0,  33.7440,2.0,    283.0,2.0,     1.17,2.0,    15.36,2.0,     0.23,2.0,     1.06,2.0,   2057.5,2.0,    361.9,2.0,     9.03,   -999.0,9.0,   -999.0,     1.76,2.0,   9.0193
9,  33LG20060321,  SR01,1.0,1.0,10.0,10.0,2.0,20060322.0,2053.0,-54.999,-64.951,  361,     77.3,   9.1800,  33.7250,2.0,  33.6770,2.0,    283.4,2.0,     1.40,2.0,    13.78,2.0,     0.24,2.0,     1.03,2.0,   2057.2,2.0,    353.6,2.0,     9.18,   -999.0,9.0,   -999.0,     1.57,2.0,   9.1717
