,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,CTDRAW,TRITER,THETA,FUCO,FUCO_FLAG_W,RHAM,RHAM_FLAG_W,ARABA,ARABA_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,DCNS,DCNS_FLAG_W,BRDU,BRDU_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,HELIER,DELHER
0,33RR20050106,       P16S,59.0,1.0,36.0,36.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,     3.5,  13.6280,  34.4108,2.0,  34.4131,2.0,    261.5,2.0,   262.4,2.0,    0.24,2.0,    6.04,2.0,    0.10,2.0,    0.56,2.0,   2.948,2.0,   1.803,2.0,   0.250,2.0,  2063.9,6.0,  2281.0,6.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  55.3190,2.0,     3.5,-999.000,  13.6275,        234,2.0,        179,2.0,        171,2.0,        513,2.0,        402,2.0,        505,2.0,       2004,2.0,    0.08,2.0,   0.0690,2.0,   0.0440,2.0,   0.0150,2.0,   0.0100,2.0,   0.0314,2.0,   0.0303,2.0,-999.0000, -999.00
1,33RR20050106,       P16S,59.0,1.0,35.0,35.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,    36.7,  13.4390,  34.4108,2.0,  34.4127,2.0,    263.6,2.0,   263.6,2.0,    0.25,2.0,    6.10,2.0,    0.10,2.0,    0.57,2.0,   2.956,2.0,   1.813,2.0,   0.254,2.0,  2065.6,2.0,  2280.4,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  53.0963,2.0,    36.7,-999.000,  13.4339,        169,2.0,        112,2.0,         36,2.0,        352,2.0,        241,2.0,        368,2.0,       1278,2.0,    0.08,2.0,   0.0620,2.0,   0.0390,2.0,   0.0150,2.0,   0.0100,2.0,   0.0310,2.0,   0.0312,2.0,-999.0000, -999.00
2,33RR20050106,       P16S,59.0,1.0,34.0,34.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,    72.1,  10.0739,  34.3916,2.0,  34.3931,2.0,    282.7,2.0,   282.5,2.0,    1.06,2.0,    8.20,2.0,    0.13,2.0,    0.69,2.0,   3.619,2.0,   2.145,2.0,   0.303,2.0,  2082.8,2.0,  2279.1,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  50.2985,2.0,    72.1,-999.000,  10.0656,        131,2.0,         93,2.0,         39,2.0,        277,2.0,        182,2.0,        282,2.0,       1003,2.0,    0.04,2.0,   0.1260,2.0,   0.0920,2.0,   0.0510,2.0,   0.0410,2.0,   0.0107,3.0,   0.0130,3.0,-999.0000, -999.00
3,33RR20050106,       P16S,59.0,1.0,33.0,33.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,    92.1,   9.4488,  34.4107,2.0,  34.4127,2.0,    274.4,2.0,   275.6,2.0,    1.66,2.0,    9.76,2.0,    0.23,2.0,    0.81,2.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2094.1,2.0,  2279.9,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  48.8364,2.0,    92.1,-999.000,   9.4386,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,    0.12,2.0,   0.0860,2.0,   0.0590,2.0,   0.0290,2.0,   0.0210,2.0,   0.0211,2.0,   0.0223,2.0,-999.0000, -999.00
4,33RR20050106,       P16S,59.0,1.0,32.0,32.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   122.0,   8.6636,  34.4296,2.0,  34.4305,2.0,    264.6,2.0,   265.8,2.0,    2.27,2.0,   12.99,2.0,    0.43,2.0,    1.00,2.0,   3.838,2.0,   2.171,2.0,   0.314,2.0,  2109.6,2.0,  2279.2,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  47.7318,2.0,   122.0,-999.000,   8.6508,         93,2.0,         58,2.0,         37,2.0,        140,2.0,        149,2.0,        155,2.0,        632,2.0,    0.09,2.0,   0.0890,2.0,   0.0630,2.0,   0.0350,2.0,   0.0280,2.0,   0.0150,2.0,   0.0169,2.0,-999.0000, -999.00
5,33RR20050106,       P16S,59.0,1.0,31.0,31.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   172.4,   8.2255,  34.4728,2.0,  34.4731,2.0,    259.0,2.0,   260.7,2.0,    3.48,2.0,   15.71,2.0,    0.02,2.0,    1.13,2.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2119.5,2.0,  2280.4,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  47.8824,2.0,   172.4,-999.000,   8.2079,         38,2.0,         40,2.0,         73,2.0,         82,2.0,        194,2.0,        103,2.0,        531,2.0,    0.09,2.0,   0.0750,2.0,   0.0490,2.0,   0.0250,2.0,   0.0200,2.0,   0.0225,2.0,   0.0241,2.0,-999.0000, -999.00
6,33RR20050106,       P16S,59.0,1.0,30.0,30.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   223.8,   8.0018,  34.4764,2.0,  34.4782,2.0,    257.4,2.0,   259.3,2.0,    4.30,2.0,   16.95,2.0,    0.01,2.0,    1.20,2.0,   3.833,2.0,   2.212,2.0,   0.312,2.0,  2125.5,2.0,  2282.4,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  47.3018,2.0,   223.8,-999.000,   7.9793,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,    0.05,2.0,   0.0910,2.0,   0.0610,2.0,   0.0240,2.0,   0.0190,2.0,   0.0287,2.0,   0.0283,2.0,-999.0000, -999.00
7,33RR20050106,       P16S,59.0,1.0,29.0,29.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   274.3,   7.7883,  34.4567,2.0,  34.4575,2.0,    258.4,2.0,   259.9,2.0,    4.71,2.0,   17.70,2.0,    0.01,2.0,    1.25,2.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2126.6,2.0,  2281.8,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  44.4974,2.0,   274.3,-999.000,   7.7611,         49,2.0,         38,2.0,         45,2.0,        104,2.0,        132,2.0,         78,2.0,        446,2.0,    0.02,2.0,   0.0800,2.0,   0.0510,2.0,   0.0230,2.0,   0.0180,2.0,   0.0278,2.0,   0.0283,2.0,-999.0000, -999.00
8,33RR20050106,       P16S,59.0,1.0,28.0,28.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   329.4,   7.6157,  34.4383,2.0,  34.4391,2.0,    259.4,2.0,   260.5,2.0,    4.91,2.0,   18.30,2.0,    0.01,2.0,    1.29,2.0,   3.785,6.0,   2.202,6.0,   0.314,6.0,  2128.4,2.0,  2281.1,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  43.7916,2.0,   329.4,-999.000,   7.5833,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,   0.0800,2.0,   0.0540,2.0,   0.0290,2.0,   0.0230,2.0,   0.0189,2.0,   0.0207,2.0,-999.0000, -999.00
9,33RR20050106,       P16S,59.0,1.0,27.0,27.0,2.0,20050126.0,2109.0,-45.0002,-150.0003,       5216,   379.7,   7.4455,  34.4190,2.0,  34.4202,2.0,    258.5,2.0,   258.9,2.0,    5.31,2.0,   18.99,2.0,    0.01,2.0,    1.33,2.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2129.9,2.0,  2280.4,2.0,-999.000,9.0,-999.0000,9.0, -999.00,9.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,-999.0000,9.0,   379.7,-999.000,   7.4085,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000, -999.00
