,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,THETA
0,33RO20100308,      A13.5,1.0,1.0,24.0,11714.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,     5.6,   2.3373,  33.7458,2.0,  33.7449,2.0, 329.1000,2.0,   328.6,2.0,   24.03,2.0,   23.23,2.0,    0.28,2.0,    1.55,2.0,   5.626,2.0,   3.012,2.0,   2.3440,2.0,  2149.7,6.0,  2282.5,2.0,    752.2,2.0,    20.00,7.7264,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   2.3364,2.0,    1.58,2.0,   -91.2,2.0,     2.5,   7.087,3.0,   45.03,2.0,   26.33,2.0,    5.60,   2.3370
1,33RO20100308,      A13.5,1.0,1.0,23.0,11713.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,    30.0,   2.3393,  33.7456,2.0,-999.0000,9.0, 330.2000,2.0,   329.2,2.0,   23.64,2.0,   23.04,2.0,    0.33,2.0,    1.56,2.0,   5.616,6.0,   3.007,6.0,   2.4790,6.0,  2151.0,2.0,  2280.2,2.0,    754.3,2.0,    20.00,7.726,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   2.3387,2.0,    1.53,2.0,   -88.4,2.0,     2.5,   7.224,3.0,   43.28,2.0,   26.42,2.0,   30.00,   2.3377
2,33RO20100308,      A13.5,1.0,1.0,22.0,11712.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,    59.6,   2.3249,  33.7460,2.0,  33.7470,2.0, 328.9000,2.0,   329.3,6.0,   23.88,2.0,   23.12,2.0,    0.33,2.0,    1.56,2.0,   5.635,2.0,   3.019,2.0,   2.5060,2.0,  2148.5,2.0,  2280.6,2.0,    777.2,2.0,    20.00,7.7261,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   2.3248,2.0,    1.56,2.0,   -90.0,2.0,     2.6,   7.345,3.0,   42.24,2.0,   25.81,2.0,   59.60,   2.3217
3,33RO20100308,      A13.5,1.0,1.0,21.0,11010.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,    99.7,   0.8735,  33.8568,2.0,-999.0000,9.0, 313.2000,2.0,   318.3,2.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,   5.668,2.0,   3.000,2.0,   2.5350,2.0,  2176.1,2.0,  2286.0,2.0,    877.6,2.0,    20.00,7.6681,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   0.8767,3.0,    1.26,2.0,   -92.1,2.0,     2.5,   7.068,3.0,   40.99,2.0,   30.41,2.0,   99.70,   0.8693
4,33RO20100308,      A13.5,1.0,1.0,20.0,11715.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,   150.1,   0.2458,  34.1994,2.0,  34.2104,2.0, 256.8000,2.0,   256.3,2.0,   66.18,2.0,   32.34,2.0,    0.06,2.0,    2.28,2.0,   3.926,2.0,   2.052,2.0,   1.5000,2.0,  2219.9,2.0,  2305.3,2.0,   1131.2,2.0,    20.00,7.583,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   0.2479,2.0,    0.75,2.0,  -115.0,2.0,     2.8,   4.742,3.0,   40.43,2.0,   34.39,2.0,  150.10,   0.2401
5,33RO20100308,      A13.5,1.0,1.0,19.0,11007.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,   200.3,   1.0544,  34.4228,2.0,  34.4213,2.0, 211.7000,2.0,   209.9,2.0,   78.31,2.0,   33.95,2.0,    0.06,2.0,    2.39,2.0,   2.389,2.0,   1.229,2.0,   0.7310,2.0,  2244.8,2.0,  2320.5,2.0,   1216.0,2.0,    20.00,7.5539,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   1.0537,2.0,    0.50,2.0,  -132.0,2.0,     2.6,   2.803,3.0,   39.94,2.0,   35.64,2.0,  200.30,   1.0453
6,33RO20100308,      A13.5,1.0,1.0,18.0,11710.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,   251.4,   1.4835,  34.5449,2.0,  34.5423,2.0, 188.5000,2.0,   187.4,2.0,   85.24,2.0,   34.38,2.0,    0.05,2.0,    2.42,2.0,   1.428,2.0,   0.732,2.0,   0.4560,2.0,  2255.9,2.0,  2329.8,2.0,   1238.0,2.0,    20.00,7.547,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   1.4850,2.0,    0.46,2.0,  -141.2,2.0,     2.6,   1.677,3.0,   39.06,2.0,   36.03,2.0,  251.40,   1.4710
7,33RO20100308,      A13.5,1.0,1.0,17.0,11023.0,3.0,20100314.0,910.0,-54.0007,0.0002,       2545,   299.3,   1.6204,  34.5982,2.0,  34.5947,2.0, 182.5000,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,   -999.0,9.0,  -999.00,7.5615,4.0,    25.00,-999.000,9.0,-999.0000,9.0, -999.00,9.0,   1.6187,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0, -999.00,9.0, -999.00,9.0,  299.30,   1.6051
8,33RO20100308,      A13.5,1.0,1.0,16.0,11709.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,   399.8,   1.6726,  34.6400,2.0,  34.6393,2.0, 181.2000,2.0,   180.1,2.0,   90.22,2.0,   33.66,2.0,    0.05,2.0,    2.37,2.0,   0.790,2.0,   0.395,2.0,   0.2070,2.0,  2259.7,2.0,  2338.9,2.0,   1189.9,2.0,    20.00,7.5605,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   1.6717,2.0,    0.39,2.0,  -150.2,2.0,     2.5,   0.964,3.0,   38.59,2.0,   35.78,2.0,  399.80,   1.6516
9,33RO20100308,      A13.5,1.0,1.0,15.0,11006.0,2.0,20100314.0,910.0,-54.0007,0.0002,       2545,   500.5,   1.6447,  34.6776,2.0,  34.6770,2.0, 183.9000,2.0,   183.6,2.0,   92.75,2.0,   32.90,2.0,    0.05,2.0,    2.31,2.0,   0.595,2.0,   0.300,2.0,   0.1520,2.0,  2257.8,2.0,  2342.3,2.0,   1154.7,2.0,    20.00,7.5751,2.0,    25.00,-999.000,1.0,-999.0000,1.0, -999.00,9.0,   1.6446,2.0,    0.47,2.0,  -155.2,2.0,     2.8,   0.752,3.0,   38.70,2.0,   34.71,2.0,  500.50,   1.6180
