,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,CHLORA,CHLORA_FLAG_W,THETA
0,  61TG20020206,  SR03,8.0,3.0,23.0,23.0,2.0,20020213.0,-66.4217,139.993,  964,     10.8,  -0.6248,  34.2403,2.0,  34.2480,2.0,    381.1,2.0,    54.70,2.0,    22.38,2.0,     0.16,2.0,     1.37,2.0,     0.12,2.0,   2178.7,2.0,     3.78,5.0,  -0.6251
1,  61TG20020206,  SR03,8.0,3.0,22.0,22.0,2.0,20020213.0,-66.4217,139.993,  964,     21.2,  -0.6186,  34.2393,2.0,-999.0000,9.0,    383.6,2.0,    55.10,2.0,    22.59,2.0,     0.14,2.0,     1.33,2.0,     0.13,2.0,   2180.4,2.0,     4.45,5.0,  -0.6192
2,  61TG20020206,  SR03,8.0,3.0,21.0,21.0,2.0,20020213.0,-66.4217,139.993,  964,     29.6,  -0.6923,  34.2949,2.0,-999.0000,9.0,   -999.0,-999.0,    57.30,2.0,    24.54,2.0,     0.14,2.0,     1.48,2.0,     0.36,2.0,   2188.3,2.0,     3.65,5.0,  -0.6932
3,  61TG20020206,  SR03,8.0,3.0,20.0,20.0,2.0,20020213.0,-66.4217,139.993,  964,     41.0,  -0.7188,  34.3391,2.0,-999.0000,9.0,   -999.0,-999.0,    57.30,2.0,    25.19,2.0,     0.14,2.0,     1.50,2.0,     0.43,2.0,   2198.4,2.0,     3.64,5.0,  -0.7200
4,  61TG20020206,  SR03,8.0,3.0,19.0,19.0,2.0,20020213.0,-66.4217,139.993,  964,     50.9,  -0.7465,  34.3609,2.0,  34.3680,2.0,    347.9,2.0,    58.30,2.0,    25.82,2.0,     0.14,2.0,     1.59,2.0,     0.68,2.0,   2206.2,2.0,     3.05,5.0,  -0.7480
5,  61TG20020206,  SR03,8.0,3.0,18.0,18.0,2.0,20020213.0,-66.4217,139.993,  964,     60.8,  -0.8233,  34.3891,2.0,  34.3880,2.0,    341.2,2.0,    60.70,2.0,    26.86,2.0,     0.14,2.0,     1.70,2.0,     1.13,2.0,   2200.7,2.0,     2.03,5.0,  -0.8250
6,  61TG20020206,  SR03,8.0,3.0,17.0,17.0,2.0,20020213.0,-66.4217,139.993,  964,     71.2,  -0.7941,  34.4023,2.0,  34.4090,2.0,    344.1,2.0,    59.90,2.0,    26.83,2.0,     0.14,2.0,     1.72,2.0,     1.23,2.0,   2205.8,2.0,     1.75,5.0,  -0.7961
7,  61TG20020206,  SR03,8.0,3.0,16.0,16.0,2.0,20020213.0,-66.4217,139.993,  964,     80.4,  -0.8038,  34.4045,2.0,  34.4130,2.0,   -999.0,-999.0,    60.10,2.0,    26.88,2.0,     0.15,2.0,     1.64,2.0,     1.21,2.0,   2204.5,2.0,     1.75,5.0,  -0.8061
8,  61TG20020206,  SR03,8.0,3.0,15.0,15.0,2.0,20020213.0,-66.4217,139.993,  964,    101.1,  -0.8466,  34.4190,2.0,  34.4260,2.0,    341.4,2.0,    61.20,2.0,    27.27,2.0,     0.14,2.0,  -999.00,9.0,     0.97,2.0,   2206.4,2.0,     1.81,5.0,  -0.8495
9,  61TG20020206,  SR03,8.0,3.0,14.0,14.0,2.0,20020213.0,-66.4217,139.993,  964,    127.1,  -0.8966,  34.4276,2.0,  34.4350,2.0,   -999.0,-999.0,    62.50,2.0,    27.83,2.0,     0.14,2.0,     1.66,2.0,        1,2.0,   2208.8,2.0,     1.64,5.0,  -0.9002
10,  61TG20020206,  SR03,8.0,3.0,13.0,13.0,2.0,20020213.0,-66.4217,139.993,  964,    151.0,  -0.9983,  34.4447,2.0,  34.4520,2.0,    335.0,2.0,    65.00,2.0,    28.69,2.0,     0.14,2.0,     1.80,2.0,     1.03,2.0,   2212.8,2.0,     1.20,5.0,  -1.0025
11,  61TG20020206,  SR03,8.0,3.0,12.0,12.0,2.0,20020213.0,-66.4217,139.993,  964,    202.3,  -1.1646,  34.4949,2.0,  34.4990,2.0,    309.2,2.0,    71.60,2.0,    30.86,2.0,     0.13,2.0,     1.93,2.0,     0.71,2.0,   2227.2,2.0,     0.66,5.0,  -1.1700
12,  61TG20020206,  SR03,8.0,3.0,11.0,11.0,2.0,20020213.0,-66.4217,139.993,  964,    253.7,  -1.0517,  34.5213,2.0,  34.5270,2.0,    289.0,2.0,    75.90,2.0,    32.00,2.0,     0.13,2.0,     1.99,2.0,     0.36,2.0,   2230.7,2.0,  -999.00,9.0,  -1.0589
13,  61TG20020206,  SR03,8.0,3.0,10.0,10.0,2.0,20020213.0,-66.4217,139.993,  964,    303.3,  -0.9758,  34.5336,2.0,  34.5410,2.0,    289.4,2.0,    77.50,2.0,    32.30,2.0,     0.14,2.0,     2.02,2.0,     0.28,2.0,   2236.9,2.0,  -999.00,9.0,  -0.9847
14,  61TG20020206,  SR03,8.0,3.0,24.0,24.0,2.0,20020213.0,-66.4217,139.993,  964,    335.0,  -1.0080,  34.5391,2.0,  34.5480,2.0,    297.4,2.0,    77.20,2.0,    32.12,2.0,     0.13,2.0,     1.96,2.0,     0.26,2.0,   2244.9,2.0,  -999.00,9.0,  -1.0179
15,  61TG20020206,  SR03,8.0,3.0,9.0,9.0,2.0,20020213.0,-66.4217,139.993,  964,    404.8,  -1.1796,  34.5475,2.0,  34.5520,2.0,    300.6,2.0,    76.10,2.0,    32.01,2.0,     0.14,2.0,     1.99,2.0,     0.39,2.0,   2237.6,2.0,  -999.00,9.0,  -1.1912
16,  61TG20020206,  SR03,8.0,3.0,8.0,8.0,2.0,20020213.0,-66.4217,139.993,  964,    506.6,  -1.0289,  34.5675,2.0,  34.5730,2.0,    293.4,2.0,    79.60,2.0,    32.44,2.0,     0.13,2.0,     2.01,2.0,     0.21,2.0,   2237.9,2.0,  -999.00,9.0,  -1.0446
17,  61TG20020206,  SR03,8.0,3.0,5.0,5.0,2.0,20020213.0,-66.4217,139.993,  964,    608.8,  -1.1713,  34.5671,2.0,  34.5720,2.0,    297.2,2.0,    78.00,2.0,    32.38,2.0,     0.13,2.0,     1.99,2.0,     0.23,2.0,   2238.7,2.0,  -999.00,9.0,  -1.1900
18,  61TG20020206,  SR03,8.0,3.0,4.0,4.0,2.0,20020213.0,-66.4217,139.993,  964,    809.5,  -1.4997,  34.5623,2.0,  34.5660,2.0,    307.2,2.0,    73.50,2.0,    32.31,2.0,     0.14,2.0,     2.01,2.0,     0.18,2.0,   2238.0,2.0,  -999.00,9.0,  -1.5238
19,  61TG20020206,  SR03,8.0,3.0,1.0,1.0,2.0,20020213.0,-66.4217,139.993,  964,    954.0,  -1.5798,  34.5629,2.0,  34.5670,2.0,    315.9,2.0,    73.40,2.0,    32.18,2.0,     0.13,2.0,     2.05,2.0,     0.15,2.0,   2239.8,2.0,  -999.00,9.0,  -1.6089
20,  61TG20020206,  SR03,5.0,7.0,24.0,24.0,2.0,20020216.0,-64.0,139.998, 3721,      9.4,   1.0620,  33.7440,2.0,  33.7490,2.0,   -999.0,-999.0,    23.50,2.0,    25.22,2.0,     0.21,2.0,  -999.00,9.0,     0.28,2.0,   -999.0,9.0,  -999.00,9.0,   1.0616
