,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
0,09SS20090203, P15,2.0,1.0,24.0,12015.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,1.9,11.26,34.202,2.0,34.2041,2.0,278.2,2.0,274.2,2.0,0.83,2.0,11.72,2.0,0.87,2.0,-999,9.0,-999,9.0,2075.1,6.0,2280.9,2.0,11.2598
1,09SS20090203, P15,2.0,1.0,23.0,12046.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,47.4,11.263,34.203,2.0,34.206,2.0,278,2.0,274.1,2.0,0.84,2.0,11.7,2.0,0.88,2.0,-999,9.0,-999,9.0,2075,2.0,2280.4,2.0,11.2572
2,09SS20090203, P15,2.0,1.0,22.0,12020.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,98.8,7.617,34.215,2.0,34.2142,2.0,287.3,2.0,284.8,2.0,3.25,2.0,16.95,2.0,1.28,2.0,-999,9.0,-999,9.0,2115.6,2.0,2282.6,2.0,7.6075
3,09SS20090203, P15,2.0,1.0,21.0,12003.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,150.1,7.085,34.229,2.0,34.2299,2.0,283.8,2.0,281.6,2.0,4.58,2.0,19.14,2.0,1.32,2.0,-999,9.0,-999,9.0,2120.9,2.0,2275.2,2.0,7.0711
4,09SS20090203, P15,2.0,1.0,20.0,12051.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,199.8,7.065,34.282,2.0,34.2898,2.0,277.5,2.0,274.9,2.0,5.18,2.0,19.42,2.0,1.33,2.0,-999,9.0,-999,9.0,2125.4,2.0,2276.8,2.0,7.0464
5,09SS20090203, P15,2.0,1.0,19.0,12010.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,251.2,6.8,34.27,2.0,34.2714,2.0,275.2,2.0,272.8,2.0,6.04,2.0,20.43,2.0,1.39,2.0,-999,9.0,-999,9.0,2130.7,2.0,2276.8,2.0,6.777
6,09SS20090203, P15,2.0,1.0,18.0,12018.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,300.5,6.367,34.231,2.0,34.2368,2.0,277.3,2.0,275.4,2.0,6.72,2.0,21.18,2.0,1.43,2.0,-999,9.0,-999,9.0,2132.7,2.0,2277.1,2.0,6.3405
7,09SS20090203, P15,2.0,1.0,17.0,12024.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,403.5,5.968,34.24,2.0,34.2528,2.0,261.5,2.0,260.4,2.0,10.13,2.0,23.26,2.0,1.55,2.0,-999,9.0,-999,9.0,2145.1,2.0,2278.1,2.0,5.9333
8,09SS20090203, P15,2.0,1.0,16.0,12001.0,2.0,20090206.0,1305.0,-50.0835,-170.0269,5232,503.6,5.312,34.232,2.0,34.2354,2.0,247.4,2.0,247.3,2.0,15.18,2.0,26.26,2.0,1.72,2.0,-999,9.0,-999,9.0,2160.1,2.0,2280.7,6.0,5.2709
9,09SS20090203, P15,2.0,1.0,15.0,-999.0,9.0,20090206.0,1305.0,-50.0835,-170.0269,5232,605.4,4.972,34.268,2.0,-999,9.0,231.3,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,4.9237
