,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,THETA
0,  09AR20110104,  SR03,7.0,1.0,24.0,24.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,     12.7,  12.9502,  35.0111,2.0,  35.0146,4.0,    270.0,2.0,    269.4,2.0,     0.60,2.0,     3.57,2.0,     0.38,2.0,  12.9485
1,  09AR20110104,  SR03,7.0,1.0,23.0,23.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,     50.0,  12.8173,  35.0172,2.0,  35.0212,4.0,    266.7,2.0,    267.8,2.0,     0.70,2.0,     3.73,2.0,     0.40,2.0,  12.8105
2,  09AR20110104,  SR03,7.0,1.0,22.0,22.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,     76.9,  12.7384,  35.0219,2.0,  35.0378,4.0,    261.0,2.0,    263.1,2.0,     0.80,2.0,     4.18,2.0,     0.45,2.0,  12.7280
3,  09AR20110104,  SR03,7.0,1.0,21.0,21.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    101.0,  11.7759,  35.0198,2.0,  35.0476,4.0,    250.8,2.0,    248.6,2.0,     2.40,2.0,     8.54,2.0,     0.67,2.0,  11.7629
4,  09AR20110104,  SR03,7.0,1.0,20.0,20.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    151.1,  10.8726,  34.9175,2.0,  34.9250,4.0,    251.8,2.0,    253.2,2.0,     3.20,2.0,    10.61,2.0,     0.80,2.0,  10.8542
5,  09AR20110104,  SR03,7.0,1.0,19.0,19.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    201.6,  10.6970,  34.9055,2.0,  34.9083,2.0,    251.9,2.0,    251.0,2.0,     3.40,2.0,    11.43,2.0,     0.85,2.0,  10.6726
6,  09AR20110104,  SR03,7.0,1.0,18.0,18.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    301.9,   9.6554,  34.7270,2.0,  34.7295,2.0,    243.4,2.0,    243.3,2.0,     4.50,2.0,    14.92,2.0,     1.06,2.0,   9.6211
7,  09AR20110104,  SR03,7.0,1.0,17.0,17.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    401.9,   8.9968,  34.6229,2.0,  34.6274,4.0,    243.5,2.0,    243.3,2.0,     5.20,2.0,    16.80,2.0,     1.17,2.0,   8.9528
8,  09AR20110104,  SR03,7.0,1.0,16.0,16.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    503.3,   8.7778,  34.6044,2.0,  34.6076,4.0,    234.4,2.0,    232.4,2.0,     6.50,2.0,    18.49,2.0,     1.28,2.0,   8.7233
9,  09AR20110104,  SR03,7.0,1.0,15.0,15.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    603.9,   8.3366,  34.5656,2.0,  34.5690,4.0,    220.8,2.0,    219.8,2.0,     8.80,2.0,    20.62,2.0,     1.42,2.0,   8.2728
10,  09AR20110104,  SR03,7.0,1.0,14.0,14.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    701.3,   7.6152,  34.5079,2.0,  34.5127,4.0,    208.6,2.0,    207.4,2.0,    12.70,2.0,    23.21,2.0,     1.58,2.0,   7.5444
11,  09AR20110104,  SR03,7.0,1.0,13.0,13.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    801.7,   6.8570,  34.4635,2.0,  34.4674,4.0,    200.4,2.0,    199.5,2.0,    17.70,2.0,    25.47,2.0,     1.75,2.0,   6.7801
12,  09AR20110104,  SR03,7.0,1.0,12.0,12.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,    901.9,   5.9600,  34.4239,2.0,  34.4259,2.0,    195.9,2.0,    195.6,2.0,    24.80,2.0,    27.83,2.0,     1.91,2.0,   5.8790
13,  09AR20110104,  SR03,7.0,1.0,11.0,11.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1001.5,   4.9543,  34.3841,2.0,  34.3883,4.0,    192.9,2.0,    196.7,2.0,    32.50,2.0,    29.78,2.0,     2.04,2.0,   4.8714
14,  09AR20110104,  SR03,7.0,1.0,10.0,10.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1102.7,   4.4573,  34.3779,2.0,  34.3811,4.0,    194.9,2.0,    195.9,2.0,    37.60,2.0,    30.71,2.0,     2.12,2.0,   4.3694
15,  09AR20110104,  SR03,7.0,1.0,9.0,9.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1302.8,   3.5278,  34.4644,2.0,  34.4676,2.0,    175.5,2.0,    174.6,2.0,    60.10,2.0,    33.04,2.0,     2.32,2.0,   3.4311
16,  09AR20110104,  SR03,7.0,1.0,8.0,8.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1500.7,   3.0233,  34.5663,2.0,  34.5672,2.0,    162.8,2.0,    162.1,2.0,    78.70,2.0,    33.60,2.0,     2.38,2.0,   2.9151
17,  09AR20110104,  SR03,7.0,1.0,7.0,7.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1701.3,   2.5755,  34.6258,2.0,  34.6284,2.0,    168.1,2.0,    169.2,2.0,    80.90,2.0,    33.00,2.0,     2.33,2.0,   2.4559
18,  09AR20110104,  SR03,7.0,1.0,6.0,6.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   1903.1,   2.4505,  34.6541,2.0,  34.6567,2.0,    171.8,2.0,    173.0,2.0,    82.40,2.0,    32.65,2.0,     2.30,2.0,   2.3155
19,  09AR20110104,  SR03,7.0,1.0,5.0,5.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   2101.1,   2.3135,  34.6883,2.0,  34.6957,4.0,    176.6,2.0,    176.8,2.0,    85.60,2.0,    32.18,2.0,     2.26,2.0,   2.1633
20,  09AR20110104,  SR03,7.0,1.0,4.0,4.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   2303.2,   2.1847,  34.7211,2.0,  34.7229,2.0,    179.1,2.0,    178.9,2.0,    91.00,2.0,    31.78,2.0,     2.25,2.0,   2.0186
21,  09AR20110104,  SR03,7.0,1.0,3.0,3.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   2505.8,   1.9864,  34.7321,2.0,  34.7344,2.0,    182.7,2.0,    183.2,2.0,    97.10,2.0,    31.59,2.0,     2.24,2.0,   1.8055
22,  09AR20110104,  SR03,7.0,1.0,2.0,102.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   2803.1,   1.7358,  34.7348,2.0,  34.7375,2.0,    188.1,2.0,    187.8,2.0,   103.60,2.0,    31.49,2.0,     2.24,2.0,   1.5322
23,  09AR20110104,  SR03,7.0,1.0,1.0,1.0,2.0,20110105.0,1531.0,-45.2205,145.849, 2859,   2890.0,   1.7196,  34.7351,2.0,  34.7369,2.0,    188.6,2.0,    188.4,2.0,   104.20,2.0,    31.38,2.0,     2.24,2.0,   1.5082
24,  09AR20110104,  SR03,8.0,1.0,24.0,24.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,     12.1,  13.1329,  35.0572,2.0,  35.0108,4.0,    265.6,2.0,    266.0,2.0,     0.60,2.0,     2.73,2.0,     0.32,2.0,  13.1312
25,  09AR20110104,  SR03,8.0,1.0,23.0,23.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,     29.7,  13.0866,  35.0638,2.0,  35.0144,4.0,    264.2,2.0,    264.4,2.0,     0.70,2.0,     2.94,2.0,     0.35,2.0,  13.0825
26,  09AR20110104,  SR03,8.0,1.0,22.0,22.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,     60.3,  13.0016,  35.1154,2.0,  35.0707,4.0,    265.2,2.0,    264.4,2.0,     0.70,2.0,     3.02,2.0,     0.35,2.0,  12.9933
27,  09AR20110104,  SR03,8.0,1.0,21.0,21.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,     90.2,  12.5498,  35.0536,2.0,  35.0171,4.0,    260.1,2.0,    259.4,2.0,     1.20,2.0,     5.20,2.0,     0.50,2.0,  12.5377
28,  09AR20110104,  SR03,8.0,1.0,20.0,20.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    120.0,  11.6228,  35.0647,2.0,  35.0163,4.0,    247.8,2.0,    248.8,2.0,     3.00,2.0,     9.56,2.0,     0.73,2.0,  11.6075
29,  09AR20110104,  SR03,8.0,1.0,19.0,19.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    150.5,  11.2409,  35.0087,2.0,  34.9713,4.0,    252.3,2.0,    252.0,2.0,     3.00,2.0,    10.00,2.0,     0.75,2.0,  11.2221
30,  09AR20110104,  SR03,8.0,1.0,18.0,18.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    199.9,  10.5930,  34.8936,2.0,  34.8507,4.0,    257.8,2.0,    257.5,2.0,     3.20,2.0,    11.11,2.0,     0.83,2.0,  10.5690
31,  09AR20110104,  SR03,8.0,1.0,17.0,17.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    249.9,  10.3183,  34.8475,2.0,  34.8035,4.0,    257.5,2.0,    259.7,2.0,     3.20,2.0,    11.69,2.0,     0.86,2.0,  10.2887
32,  09AR20110104,  SR03,8.0,1.0,16.0,16.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    299.9,   9.6859,  34.7233,2.0,  34.6814,4.0,    258.8,2.0,    259.4,2.0,     3.60,2.0,    13.21,2.0,     0.96,2.0,   9.6517
33,  09AR20110104,  SR03,8.0,1.0,15.0,15.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    349.4,   9.4486,  34.6874,2.0,  34.6507,4.0,    256.8,2.0,    256.9,2.0,     4.00,2.0,    14.26,2.0,     1.03,2.0,   9.4093
34,  09AR20110104,  SR03,8.0,1.0,14.0,14.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    402.0,   9.0281,  34.6137,2.0,  34.5821,4.0,    255.6,2.0,    256.6,2.0,     4.30,2.0,    15.39,2.0,     1.10,2.0,   8.9840
35,  09AR20110104,  SR03,8.0,1.0,13.0,13.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    501.1,   8.7597,  34.5785,2.0,  34.5490,4.0,    258.7,2.0,    254.3,2.0,     4.90,2.0,    16.48,2.0,     1.18,2.0,   8.7055
36,  09AR20110104,  SR03,8.0,1.0,12.0,12.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    600.0,   8.5874,  34.5661,2.0,  34.5413,4.0,    242.5,2.0,    244.0,2.0,     6.10,2.0,    17.96,2.0,     1.25,2.0,   8.5229
37,  09AR20110104,  SR03,8.0,1.0,11.0,11.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    700.5,   8.1489,  34.5277,2.0,  34.5042,4.0,    224.0,2.0,    226.6,2.0,     8.80,2.0,    20.67,2.0,     1.42,2.0,   8.0754
38,  09AR20110104,  SR03,8.0,1.0,10.0,10.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    800.0,   7.2682,  34.4797,2.0,  34.4288,4.0,    208.0,2.0,    206.2,2.0,    14.60,2.0,    24.23,2.0,     1.65,2.0,   7.1891
39,  09AR20110104,  SR03,8.0,1.0,9.0,9.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,    900.4,   6.2817,  34.4203,2.0,  34.4013,4.0,    202.7,2.0,    201.8,2.0,    20.60,2.0,    26.85,2.0,     1.83,2.0,   6.1987
40,  09AR20110104,  SR03,8.0,1.0,8.0,8.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1000.0,   5.5472,  34.4039,2.0,  34.3784,4.0,    197.8,2.0,    196.6,2.0,    27.60,2.0,    28.60,2.0,     1.97,2.0,   5.4599
41,  09AR20110104,  SR03,8.0,1.0,7.0,7.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1101.8,   4.4099,  34.3369,2.0,  34.3220,4.0,    206.4,2.0,    207.2,2.0,    32.40,2.0,    30.24,2.0,     2.08,2.0,   4.3225
42,  09AR20110104,  SR03,8.0,1.0,6.0,6.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1250.8,   3.5759,  34.3653,2.0,  34.3539,4.0,    197.2,2.0,    197.4,2.0,    44.50,2.0,    32.12,2.0,     2.25,2.0,   3.4833
43,  09AR20110104,  SR03,8.0,1.0,5.0,5.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1400.7,   3.1342,  34.4458,2.0,  34.4357,4.0,    182.2,2.0,    181.9,2.0,    57.90,2.0,    33.27,2.0,     2.34,2.0,   3.0334
44,  09AR20110104,  SR03,8.0,1.0,4.0,4.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1550.0,   2.9187,  34.5412,2.0,  34.5294,4.0,    168.9,2.0,    168.8,2.0,    72.40,2.0,    33.56,2.0,     2.38,2.0,   2.8077
45,  09AR20110104,  SR03,8.0,1.0,3.0,3.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1677.5,   2.6470,  34.5964,2.0,  34.5824,4.0,    170.6,2.0,    171.4,2.0,    76.20,2.0,    33.12,2.0,     2.34,2.0,   2.5286
46,  09AR20110104,  SR03,8.0,1.0,2.0,102.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   1899.8,   2.4795,  34.6487,2.0,  34.6358,4.0,    171.7,2.0,    173.4,2.0,    81.00,2.0,    32.63,2.0,     2.31,2.0,   2.3444
47,  09AR20110104,  SR03,8.0,1.0,1.0,1.0,2.0,20110105.0,2124.0,-45.6982,145.662, 2003,   2017.2,   2.3812,  34.6746,2.0,  34.6684,4.0,    174.0,2.0,    174.8,2.0,    83.50,2.0,    32.27,2.0,     2.29,2.0,   2.2373
48,  09AR20110104,  SR03,9.0,1.0,24.0,24.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,     10.5,  10.9944,  34.5515,2.0,-999.0000,9.0,    283.1,2.0,    285.1,2.0,     1.00,2.0,    10.18,2.0,     0.78,2.0,  10.9931
49,  09AR20110104,  SR03,9.0,1.0,23.0,23.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,     24.8,  10.6502,  34.5491,2.0,  34.5480,2.0,    286.5,2.0,    288.0,2.0,     0.90,2.0,    10.07,2.0,     0.76,2.0,  10.6472
50,  09AR20110104,  SR03,9.0,1.0,22.0,22.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,     50.4,  10.5600,  34.5494,2.0,  34.5494,2.0,    284.3,2.0,    282.4,2.0,     1.10,2.0,    10.45,2.0,     0.80,2.0,  10.5540
51,  09AR20110104,  SR03,9.0,1.0,21.0,21.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,     76.1,   9.5515,  34.5685,2.0,  34.5677,2.0,    278.6,2.0,    278.0,2.0,     3.10,2.0,    12.50,2.0,     0.97,2.0,   9.5430
52,  09AR20110104,  SR03,9.0,1.0,20.0,20.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    125.8,   8.9126,  34.5750,2.0,  34.5732,2.0,    267.3,2.0,    275.1,2.0,     3.90,2.0,    14.49,2.0,     1.04,2.0,   8.8991
53,  09AR20110104,  SR03,9.0,1.0,19.0,19.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    175.5,   8.8162,  34.5767,2.0,  34.5769,2.0,    272.2,2.0,    272.7,2.0,     4.00,2.0,    14.74,2.0,     1.07,2.0,   8.7975
54,  09AR20110104,  SR03,9.0,1.0,18.0,18.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    249.7,   8.6117,  34.5462,2.0,  34.5659,2.0,    277.0,2.0,    268.9,2.0,     4.40,2.0,    15.61,2.0,     1.12,2.0,   8.5854
55,  09AR20110104,  SR03,9.0,1.0,17.0,17.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    350.8,   8.6218,  34.5558,2.0,  34.5537,2.0,    271.7,2.0,    272.7,2.0,     4.10,2.0,    15.17,2.0,     1.08,2.0,   8.5845
56,  09AR20110104,  SR03,9.0,1.0,16.0,16.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    450.4,   8.5425,  34.5459,2.0,  34.5443,2.0,    268.4,2.0,    271.2,2.0,     4.40,2.0,    15.53,2.0,     1.10,2.0,   8.4947
57,  09AR20110104,  SR03,9.0,1.0,15.0,15.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    552.6,   8.1895,  34.4877,2.0,  34.4866,2.0,    266.5,2.0,    268.0,2.0,     5.10,2.0,    16.93,2.0,     1.19,2.0,   8.1319
58,  09AR20110104,  SR03,9.0,1.0,14.0,14.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    649.7,   7.5142,  34.4023,2.0,  34.4025,2.0,    252.2,2.0,    254.5,2.0,     7.30,2.0,    19.85,2.0,     1.38,2.0,   7.4495
59,  09AR20110104,  SR03,9.0,1.0,13.0,13.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    749.1,   6.9396,  34.3844,2.0,  34.3831,2.0,    235.2,2.0,    232.9,2.0,    11.30,2.0,    22.92,2.0,     1.57,2.0,   6.8677
60,  09AR20110104,  SR03,9.0,1.0,12.0,12.0,2.0,20110106.0,227.0,-46.1735,145.48, 2726,    849.4,   6.4306,  34.4040,2.0,-999.0000,9.0,    212.2,2.0,    209.8,2.0,    17.20,2.0,    25.75,2.0,     1.76,2.0,   6.3517
