,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,THETA
0,  35MF20030123,  SR03,1.0,1.0,19.0,2.0,20030129.0,-45.0,146.22, 3200,      4.1,  15.7440,  35.4240,2.0,  35.4420,2.0,    239.0,2.0,    241.6,2.0,     0.15,2.0,     2.37,2.0,     0.14,2.0,   2062.3,2.0,   2330.0,2.0,     0.78,2.0,  15.7434
1,  35MF20030123,  SR03,1.0,1.0,18.0,2.0,20030129.0,-45.0,146.22, 3200,     11.6,  15.7500,  35.4240,2.0,-999.0000,9.0,    239.9,2.0,   -999.0,9.0,     0.14,2.0,     2.39,2.0,     0.14,2.0,   2062.8,2.0,   2332.6,2.0,     0.79,2.0,  15.7482
2,  35MF20030123,  SR03,1.0,1.0,17.0,2.0,20030129.0,-45.0,146.22, 3200,     22.0,  15.5310,  35.3940,2.0,  35.4100,2.0,    242.3,2.0,    241.8,2.0,     0.18,2.0,     2.54,2.0,     0.15,2.0,   2067.5,2.0,   2335.6,2.0,     0.78,2.0,  15.5276
3,  35MF20030123,  SR03,1.0,1.0,16.0,2.0,20030129.0,-45.0,146.22, 3200,     32.0,  14.7640,  35.2930,2.0,-999.0000,9.0,    237.3,2.0,   -999.0,9.0,     0.62,2.0,     4.53,2.0,     0.28,2.0,   2074.9,2.0,   2327.0,2.0,     0.46,2.0,  14.7592
4,  35MF20030123,  SR03,1.0,1.0,15.0,2.0,20030129.0,-45.0,146.22, 3200,     41.1,  14.4780,  35.2510,2.0,-999.0000,9.0,    237.8,2.0,   -999.0,9.0,     0.59,2.0,     4.52,2.0,     0.27,2.0,   2086.5,2.0,   2320.5,2.0,     0.33,2.0,  14.4719
5,  35MF20030123,  SR03,1.0,1.0,14.0,2.0,20030129.0,-45.0,146.22, 3200,     51.5,  14.4770,  35.2600,2.0,  35.2810,2.0,    238.7,2.0,    239.1,2.0,     0.66,2.0,     4.68,2.0,     0.28,2.0,   2072.5,2.0,   2322.2,2.0,     0.28,2.0,  14.4694
6,  35MF20030123,  SR03,1.0,1.0,13.0,2.0,20030129.0,-45.0,146.22, 3200,     74.1,  14.1410,  35.3110,2.0,-999.0000,9.0,    220.3,2.0,   -999.0,9.0,     1.46,2.0,     7.31,2.0,     0.40,2.0,   2073.8,2.0,   2325.3,2.0,     0.09,2.0,  14.1302
7,  35MF20030123,  SR03,1.0,1.0,12.0,2.0,20030129.0,-45.0,146.22, 3200,    100.4,  13.7280,  35.3960,2.0,-999.0000,9.0,    236.2,2.0,   -999.0,9.0,     1.02,2.0,     5.87,2.0,     0.34,2.0,   2093.8,2.0,   2332.1,2.0,     0.05,2.0,  13.7137
8,  35MF20030123,  SR03,1.0,1.0,11.0,2.0,20030129.0,-45.0,146.22, 3200,    126.0,  13.5710,  35.3700,2.0,-999.0000,9.0,    239.4,2.0,   -999.0,9.0,     1.03,2.0,     6.06,2.0,     0.33,2.0,   2091.0,2.0,   2326.3,2.0,     0.04,2.0,  13.5531
9,  35MF20030123,  SR03,1.0,1.0,10.0,2.0,20030129.0,-45.0,146.22, 3200,    151.4,  13.4360,  35.3420,2.0,-999.0000,9.0,    240.0,2.0,   -999.0,9.0,     1.05,2.0,     6.42,2.0,     0.37,2.0,   2088.1,2.0,   2323.7,2.0,  -999.00,9.0,  13.4147
