,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,NITRAT,NITRAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
0,  06AQ20071128,   A12,313.0,1.0,24.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2997.8,   0.4770,  34.6790,2.0,    209.8,2.0,    32.10,2.0,   2262.4,2.0,   2366.4,2.0,   0.2830
1,  06AQ20071128,   A12,313.0,1.0,23.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2997.7,   0.4770,  34.6790,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.2830
2,  06AQ20071128,   A12,313.0,1.0,22.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2997.8,   0.4760,  34.6790,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.2820
3,  06AQ20071128,   A12,313.0,1.0,21.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2997.5,   0.4770,  34.6790,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.2830
4,  06AQ20071128,   A12,313.0,1.0,20.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2997.5,   0.4770,  34.6790,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.2830
5,  06AQ20071128,   A12,313.0,1.0,19.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2501.3,   0.5820,  34.6860,2.0,    208.4,2.0,    31.60,2.0,   2258.7,2.0,   2365.5,2.0,   0.4280
6,  06AQ20071128,   A12,313.0,1.0,18.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   2501.6,   0.5860,  34.6860,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   0.4320
7,  06AQ20071128,   A12,313.0,1.0,17.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   1998.2,   0.9340,  34.7030,2.0,    203.7,2.0,    30.50,2.0,   2256.4,2.0,   2362.3,2.0,   0.8140
8,  06AQ20071128,   A12,313.0,1.0,16.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   1499.0,   1.4440,  34.7320,2.0,    200.7,2.0,    30.10,2.0,   2249.4,2.0,   2360.1,2.0,   1.3540
9,  06AQ20071128,   A12,313.0,1.0,15.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   1499.5,   1.4440,  34.7320,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   1.3540
10,  06AQ20071128,   A12,313.0,1.0,14.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,   1000.1,   1.9430,  34.7280,2.0,    190.8,2.0,    30.50,2.0,   2254.4,2.0,   2357.5,2.0,   1.8830
11,  06AQ20071128,   A12,313.0,1.0,13.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    500.1,   2.1180,  34.5950,2.0,    171.9,2.0,    33.50,2.0,   2259.7,2.0,   2346.9,2.0,   2.0890
12,  06AQ20071128,   A12,313.0,1.0,12.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    499.5,   2.1160,  34.5950,2.0,   -999.0,9.0,  -999.00,9.0,   -999.0,9.0,   -999.0,9.0,   2.0880
13,  06AQ20071128,   A12,313.0,1.0,11.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    349.4,   1.9760,  34.4660,2.0,    179.8,2.0,    34.30,2.0,   2251.2,2.0,   2332.1,2.0,   1.9570
14,  06AQ20071128,   A12,313.0,1.0,10.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    249.2,   1.7880,  34.3270,2.0,    203.6,2.0,    33.60,2.0,   2238.9,2.0,   2321.4,2.0,   1.7750
15,  06AQ20071128,   A12,313.0,1.0,9.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    199.7,   1.4960,  34.1750,2.0,    241.0,2.0,    31.70,2.0,   2215.3,2.0,   2310.7,2.0,   1.4860
16,  06AQ20071128,   A12,313.0,1.0,8.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    160.1,   1.1050,  33.9460,2.0,    290.4,2.0,    28.90,2.0,   2188.0,2.0,   2299.1,2.0,   1.0980
17,  06AQ20071128,   A12,313.0,1.0,7.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,     99.9,   1.2570,  33.7540,2.0,    339.4,2.0,    25.10,2.0,   2158.4,2.0,   2289.2,2.0,   1.2530
18,  06AQ20071128,   A12,313.0,1.0,6.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,    120.5,   1.2590,  33.7540,2.0,    339.3,2.0,    24.90,2.0,   2155.0,2.0,   2288.3,2.0,   1.2540
19,  06AQ20071128,   A12,313.0,1.0,5.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,     81.1,   1.2640,  33.7540,2.0,    339.5,2.0,    17.80,4.0,   2159.7,2.0,   2289.2,2.0,   1.2600
20,  06AQ20071128,   A12,313.0,1.0,4.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,     59.5,   1.2640,  33.7540,2.0,    340.0,2.0,    24.90,2.0,   2155.5,2.0,   2290.5,2.0,   1.2610
21,  06AQ20071128,   A12,313.0,1.0,3.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,     39.9,   1.3090,  33.7510,2.0,    341.2,2.0,    24.90,2.0,   2154.8,2.0,   2287.0,2.0,   1.3070
22,  06AQ20071128,   A12,313.0,1.0,2.0,2.0,-999.0,0.0,-52.037,-0.017, 2997,     19.3,   1.3190,  33.7500,2.0,    341.3,2.0,    24.70,2.0,   2154.5,2.0,   2289.5,2.0,   1.3180
