,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
0,09AR20041223,       I09S,25.0,1.0,24.0,24.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,    10.2,  11.4398,  34.6047,2.0,  34.6048,2.0,    273.5,2.0,   273.5,2.0,    2.44,2.0,    9.37,2.0,    0.77,2.0,   3.279,2.0,   1.811,2.0,   0.384,4.0,  2083.3,6.0,  2293.9,6.0,  11.4385
1,09AR20041223,       I09S,25.0,1.0,23.0,23.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,    10.2,  11.4392,  34.6048,2.0,-999.0000,9.0,    273.5,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  -999.0,9.0,  11.4379
2,09AR20041223,       I09S,25.0,1.0,22.0,22.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,    10.2,  11.4386,  34.6053,2.0,-999.0000,9.0,    273.5,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  -999.0,9.0,  11.4373
3,09AR20041223,       I09S,25.0,1.0,21.0,21.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,    51.0,  11.0908,  34.5906,2.0,  34.5917,2.0,    275.9,2.0,   275.7,2.0,    2.44,2.0,    9.57,2.0,    0.78,2.0,   3.322,2.0,   1.809,2.0,   0.409,4.0,  2084.3,2.0,  2322.8,4.0,  11.0845
4,09AR20041223,       I09S,25.0,1.0,20.0,20.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   100.5,   9.2533,  34.5931,2.0,  34.5907,2.0,    274.0,2.0,   274.5,2.0,    4.49,2.0,   12.59,2.0,    1.01,2.0,   3.561,2.0,   1.928,2.0,   0.379,4.0,  2109.2,2.0,  2293.5,2.0,   9.2423
5,09AR20041223,       I09S,25.0,1.0,19.0,19.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   151.1,   8.9013,  34.5829,2.0,  34.5844,2.0,    267.9,2.0,   268.6,2.0,    5.08,2.0,   14.84,2.0,    1.05,2.0,   3.555,6.0,   1.929,6.0,   0.315,6.0,  2114.1,2.0,  2290.6,2.0,   8.8851
6,09AR20041223,       I09S,25.0,1.0,18.0,18.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   200.9,   8.4572,  34.5216,2.0,  34.5226,2.0,    269.4,2.0,   270.6,2.0,    5.37,2.0,   16.20,2.0,    1.10,2.0,   3.605,2.0,   1.951,2.0,   0.317,2.0,  2117.6,2.0,  2288.2,2.0,   8.4363
7,09AR20041223,       I09S,25.0,1.0,17.0,6.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   301.4,   8.0712,  34.4602,2.0,  34.4603,2.0,    269.7,2.0,   271.7,2.0,    5.56,2.0,   16.60,2.0,    1.16,2.0,   3.650,2.0,   1.964,2.0,   0.318,2.0,  2118.3,2.0,  2286.5,2.0,   8.0406
8,09AR20041223,       I09S,25.0,1.0,16.0,16.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   401.4,   7.6414,  34.4073,2.0,  34.4070,2.0,    265.9,2.0,   260.6,2.0,    7.22,2.0,   18.65,2.0,    1.28,2.0,   3.272,2.0,   1.801,2.0,   0.398,4.0,  2126.4,2.0,  2284.9,2.0,   7.6017
9,09AR20041223,       I09S,25.0,1.0,15.0,15.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   501.1,   7.3805,  34.4333,2.0,  34.4323,2.0,    231.8,2.0,   232.2,2.0,   11.13,2.0,   21.58,2.0,    1.45,2.0,   3.106,2.0,   1.600,2.0,   0.208,2.0,  2146.2,2.0,  2286.2,2.0,   7.3315
10,09AR20041223,       I09S,25.0,1.0,14.0,14.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   651.1,   6.1693,  34.3782,2.0,  34.3792,2.0,    216.1,2.0,   217.0,2.0,   17.77,2.0,   26.07,2.0,    1.71,2.0,   2.707,2.0,   1.347,2.0,   0.178,2.0,  2166.1,2.0,  2286.2,2.0,   6.1110
11,09AR20041223,       I09S,25.0,1.0,13.0,13.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   800.7,   4.9562,  34.3398,2.0,  34.3406,2.0,    210.6,2.0,   211.6,2.0,   25.68,2.0,   28.51,2.0,    1.90,2.0,   2.152,2.0,   1.048,2.0,   0.123,2.0,  2185.8,2.0,  2291.5,2.0,   4.8911
12,09AR20041223,       I09S,25.0,1.0,12.0,12.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,   949.8,   3.9223,  34.3039,2.0,  34.3059,2.0,    212.9,2.0,   214.5,2.0,   33.00,2.0,   30.46,2.0,    2.06,2.0,   2.221,2.0,   1.087,2.0,   0.164,2.0,  2200.7,2.0,  2296.5,2.0,   3.8517
13,09AR20041223,       I09S,25.0,1.0,11.0,11.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,  1101.7,   3.5459,  34.3651,2.0,  34.3672,2.0,    196.3,2.0,   197.2,2.0,   43.54,2.0,   32.51,2.0,    2.17,2.0,   1.385,2.0,   0.672,2.0,   0.072,2.0,  2212.9,6.0,  2306.8,6.0,   3.4658
14,09AR20041223,       I09S,25.0,1.0,10.0,10.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,  1301.6,   3.0741,  34.4494,2.0,  34.4501,2.0,    181.1,2.0,   181.0,2.0,   56.82,2.0,   33.39,2.0,    2.28,2.0,   0.699,2.0,   0.349,2.0,   0.041,2.0,  2233.0,2.0,  2319.5,2.0,   2.9820
15,09AR20041223,       I09S,25.0,1.0,9.0,9.0,2.0,20050101.0,1224.0,-45.0073,114.9878,       4188,  1503.6,   2.7539,  34.5401,2.0,  34.5411,2.0,    175.5,2.0,   174.7,2.0,   65.50,2.0,   33.29,2.0,    2.28,2.0,   0.466,6.0,   0.232,6.0,   0.023,6.0,  2245.1,2.0,  2327.3,2.0,   2.6487
