,EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
0,  29HE20130320,1.0,1.0,1.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    331.6,   4.5240,  34.0753,2.0,    275.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2269.8,2.0,-999.0,9.0,  -999.00,   4.4995
1,  29HE20130320,1.0,1.0,2.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    332.2,   4.5136,  34.0760,2.0,    274.8,2.0,    274.9,2.0,    13.22,2.0,    24.94,2.0,     1.52,2.0,   2269.9,2.0,-999.0,9.0,  -999.00,   4.4890
2,  29HE20130320,1.0,1.0,3.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    300.0,   4.9767,  34.0292,2.0,    281.1,2.0,    280.5,2.0,     9.54,2.0,    23.80,2.0,     1.53,2.0,   2265.7,2.0,7.6964,2.0,    25.00,   4.9535
3,  29HE20130320,1.0,1.0,4.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    300.7,   4.9705,  34.0303,2.0,    280.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2265.8,2.0,-999.0,9.0,  -999.00,   4.9473
4,  29HE20130320,1.0,1.0,5.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    203.3,   5.4916,  33.9656,2.0,    281.6,2.0,    281.2,2.0,     7.12,2.0,    22.42,2.0,     1.51,2.0,   2265.1,2.0,7.7139,2.0,    25.00,   5.4752
5,  29HE20130320,1.0,1.0,6.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    201.5,   5.4932,  33.9652,2.0,    281.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2265.1,2.0,-999.0,9.0,  -999.00,   5.4770
6,  29HE20130320,1.0,1.0,7.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    152.9,   5.6999,  33.9338,2.0,    280.4,2.0,    279.5,2.0,     6.01,2.0,    21.87,2.0,     1.48,2.0,   2264.2,2.0,7.7136,2.0,    25.00,   5.6874
7,  29HE20130320,1.0,1.0,8.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    152.9,   5.7010,  33.9334,2.0,    280.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2263.9,2.0,-999.0,9.0,  -999.00,   5.6885
8,  29HE20130320,1.0,1.0,9.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    101.8,   6.4607,  33.9099,2.0,    273.9,2.0,    274.0,2.0,     4.73,2.0,    21.15,2.0,     1.42,2.0,   2257.4,2.0,7.7288,2.0,    25.00,   6.4518
9,  29HE20130320,1.0,1.0,10.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,    101.8,   6.4634,  33.9100,2.0,    273.8,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2257.7,2.0,-999.0,9.0,  -999.00,   6.4545
10,  29HE20130320,1.0,1.0,11.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,     37.0,   8.6381,  33.7720,2.0,    284.4,2.0,    285.0,2.0,     1.64,2.0,    12.55,2.0,     0.93,2.0,   2254.9,2.0,7.83,2.0,    25.00,   8.6343
11,  29HE20130320,1.0,1.0,12.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,     36.4,   8.6369,  33.7725,2.0,    284.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2254.9,2.0,-999.0,9.0,  -999.00,   8.6331
12,  29HE20130320,1.0,1.0,13.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      5.9,   8.7119,  33.7704,2.0,    285.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7113
13,  29HE20130320,1.0,1.0,14.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      6.3,   8.7113,  33.7705,2.0,    285.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7106
14,  29HE20130320,1.0,1.0,15.0,2.0,20130323.0,1143.0,-50.709,-57.002,  347,      6.3,   8.7118,  33.7705,2.0,    285.6,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   2256.2,2.0,-999.0,9.0,  -999.00,   8.7111
