,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W
0,  33RR20070204,  I08S,1.0,1.0,15.0,15.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,      3.0,  -1.1066,  33.4536,2.0,  33.4640,2.0,    351.1,2.0,    352.9,2.0,    53.64,2.0,    22.66,2.0,     0.11,2.0,     1.58,2.0,    6.063,2.0,    3.278,2.0, -999.000,5.0,   2121.4,2.0,   2265.3,2.0,     45.4,2.0,    26.58,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1377,2.0,   0.1005,2.0,   0.0475,2.0,   0.0338,2.0,   0.0147,3.0,   0.0170,3.0
1,  33RR20070204,  I08S,1.0,1.0,16.0,16.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,      3.0,  -1.1112,  33.4642,2.0,-999.0000,9.0,   -999.0,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    6.055,2.0,    3.267,2.0, -999.000,5.0,   2121.3,2.0,   2265.6,2.0,     45.3,2.0,    26.74,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1327,2.0,   0.0959,2.0,   0.0425,2.0,   0.0307,2.0,   0.0152,3.0,   0.0181,3.0
2,  33RR20070204,  I08S,1.0,1.0,14.0,14.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,     27.0,  -0.9321,  33.8663,2.0,  33.8736,2.0,    344.4,2.0,    343.5,2.0,    57.82,2.0,    24.04,2.0,     0.08,2.0,     1.72,2.0,    5.795,2.0,    3.138,2.0, -999.000,5.0,   2153.2,2.0,   2293.6,2.0,     44.7,2.0,    28.02,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1276,2.0,   0.0882,2.0,   0.0443,2.0,   0.0322,2.0,   0.0148,3.0,   0.0168,3.0
3,  33RR20070204,  I08S,1.0,1.0,13.0,13.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,     52.2,  -1.4175,  34.0500,2.0,  34.0653,2.0,    327.1,2.0,    326.6,2.0,    61.02,2.0,    27.10,2.0,     0.08,2.0,     1.94,2.0,    5.619,2.0,    2.983,2.0, -999.000,5.0,   2184.3,2.0,   2302.9,2.0,     43.7,2.0,    31.74,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1174,2.0,   0.0808,2.0,   0.0440,2.0,   0.0324,2.0,   0.0145,3.0,   0.0157,3.0
4,  33RR20070204,  I08S,1.0,1.0,12.0,12.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,     77.4,  -1.7555,  34.2496,2.0,  34.2529,2.0,    319.8,2.0,    318.8,2.0,    63.61,2.0,    29.42,2.0,     0.08,2.0,     2.06,2.0,    5.486,2.0,    2.914,2.0, -999.000,5.0,   2206.2,2.0,   2310.7,2.0,     43.0,2.0,    33.69,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.0999,2.0,   0.0680,2.0,   0.0408,2.0,   0.0287,2.0,   0.0140,2.0,   0.0147,2.0
5,  33RR20070204,  I08S,1.0,1.0,11.0,11.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,    102.6,  -1.7821,  34.2861,2.0,  34.2938,0.0,    319.6,2.0,    319.1,2.0,    63.80,2.0,    29.67,2.0,     0.08,2.0,     2.07,2.0,    5.508,2.0,    2.910,2.0, -999.000,5.0,   2209.2,2.0,   2313.8,2.0,     43.2,2.0,    33.51,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.0994,2.0,   0.0669,2.0,   0.0395,2.0,   0.0294,2.0,   0.0137,2.0,   0.0147,3.0
6,  33RR20070204,  I08S,1.0,1.0,10.0,10.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,    152.7,  -1.7672,  34.3400,2.0,-999.0000,9.0,    315.5,2.0,    318.9,2.0,    64.40,2.0,    30.01,2.0,     0.06,2.0,     2.07,2.0,    5.487,2.0,    2.906,2.0, -999.000,5.0,   2213.3,2.0,   2316.3,2.0,     43.0,2.0,    33.99,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1037,2.0,   0.0694,2.0,   0.0378,2.0,   0.0286,2.0,   0.0138,3.0,   0.0156,3.0
7,  33RR20070204,  I08S,1.0,1.0,9.0,9.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,    203.0,  -1.8199,  34.3554,2.0,  34.3580,2.0,    320.6,2.0,    322.4,2.0,    63.80,2.0,    29.95,2.0,     0.03,2.0,     2.06,2.0,    5.683,2.0,    2.987,2.0, -999.000,5.0,   2213.5,2.0,   2318.3,2.0,     43.0,2.0,    33.60,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1266,2.0,   0.0848,2.0,   0.0467,2.0,   0.0332,2.0,   0.0147,3.0,   0.0161,3.0
8,  33RR20070204,  I08S,1.0,1.0,8.0,8.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,    253.1,  -1.7262,  34.3716,2.0,  34.3741,2.0,    321.0,2.0,    318.2,2.0,    65.60,2.0,    30.11,2.0,     0.06,2.0,     2.08,2.0,    5.422,2.0,    2.893,2.0, -999.000,5.0,   2215.7,2.0,   2319.5,2.0,     43.9,2.0,    33.65,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1106,2.0,   0.0754,2.0,   0.0465,2.0,   0.0311,2.0,   0.0145,2.0,   0.0149,2.0
9,  33RR20070204,  I08S,1.0,1.0,7.0,7.0,2.0,20070215.0,1442.0,-65.8108,84.5502,  450,    303.3,  -1.5746,  34.3998,2.0,  34.4025,2.0,    310.6,2.0,    310.8,2.0,    67.61,2.0,    30.36,2.0,     0.04,2.0,     2.09,2.0,    5.190,2.0,    2.811,2.0, -999.000,5.0,   2218.4,2.0,   2320.8,2.0,     43.8,2.0,    33.44,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.1111,2.0,   0.0760,2.0,   0.0440,2.0,   0.0323,2.0,   0.0138,2.0,   0.0147,3.0
