,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,DNSSAL,DNSSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,CTDXMISS,CTDXMISSCP,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CHLORA,CHLORA_FLAG_W,PAR,PAR_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,CS-134,CS-134_FLAG_W,CS134ER,CS-137,CS-137_FLAG_W,CS137ER
0,  49NZ20130106,  S04I,88.0,2.0,0.0,   -999,9.0,20130112.0,2018,-61.6202,107.4453, 4291,   -999.0,9.0,-999.0000,9.0,-999.00000,9.0,-999.0000,9.0,  33.8668,2.0,-999.0000,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,-999.0000,9.0, -999.000,9.0,  -999.00,9.0, -999.000,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
1,  49NZ20130106,  S04I,88.0,2.0,36.0, X12J36,2.0,20130112.0,2018,-61.6202,107.4453, 4291,     10.5,2.0,   1.9695,2.0,   1.96976,2.0,  33.8674,2.0,  33.8669,2.0,-999.0000,9.0,   344.78,2.0,   343.94,2.0,   89.274,   0.4538,2.0,    1.000,2.0,     1.00,2.0,   23.336,2.0,    14.77,2.0,     0.07,    22.67,2.0,     0.03,     0.25,2.0,     0.01,     1.42,2.0,     0.01,    5.600,2.0,    3.062,2.0,    0.490,2.0,    2.770,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
2,  49NZ20130106,  S04I,88.0,2.0,35.0, X12J35,2.0,20130112.0,2018,-61.6202,107.4453, 4291,     25.3,2.0,   1.9238,2.0,   1.92481,2.0,  33.8675,2.0,  33.8677,2.0,-999.0000,9.0,   345.50,2.0,   344.39,2.0,   89.481,   0.4446,2.0,    1.080,2.0,     1.00,2.0,    4.635,2.0,    15.00,2.0,     0.07,    22.80,2.0,     0.03,     0.25,2.0,     0.01,     1.43,2.0,     0.01,    5.652,2.0,    3.051,2.0,    0.496,2.0,    2.858,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
3,  49NZ20130106,  S04I,88.0,2.0,34.0, X12J34,2.0,20130112.0,2018,-61.6202,107.4453, 4291,     50.6,2.0,  -1.1915,2.0,  -1.19101,2.0,  33.9563,2.0,  33.9584,2.0,-999.0000,9.0,   340.80,2.0,   340.37,2.0,   98.199,   0.0727,2.0,    0.320,2.0,     0.25,2.0,    0.495,2.0,    40.70,2.0,     0.10,    28.46,2.0,     0.04,     0.19,2.0,     0.01,     2.07,2.0,     0.01,    5.909,6.0,    3.208,6.0,    0.523,6.0,    2.921,6.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
4,  49NZ20130106,  S04I,88.0,2.0,33.0, X12J33,2.0,20130112.0,2018,-61.6202,107.4453, 4291,     74.9,2.0,  -1.2804,2.0,  -1.28071,2.0,  34.0195,2.0,  34.0208,2.0,-999.0000,9.0,   327.20,2.0,   326.89,2.0,   98.937,   0.0427,2.0,    0.230,2.0,     0.19,2.0,    0.141,2.0,    46.45,2.0,     0.10,    29.63,2.0,     0.04,     0.19,2.0,     0.01,     2.11,2.0,     0.01,    5.517,2.0,    2.972,2.0,    0.484,2.0,    2.687,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
5,  49NZ20130106,  S04I,88.0,2.0,32.0, X12J32,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    100.7,2.0,  -0.9413,2.0,  -0.93977,2.0,  34.1069,2.0,  34.1140,2.0,-999.0000,9.0,   302.18,2.0,   300.21,2.0,   99.347,   0.0262,2.0,    0.150,2.0,     0.13,2.0,    0.019,2.0,    51.39,2.0,     0.10,    30.98,2.0,     0.04,     0.15,2.0,     0.01,     2.17,2.0,     0.01,    4.797,2.0,    2.610,2.0,    0.418,2.0,    2.294,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
6,  49NZ20130106,  S04I,88.0,2.0,31.0, X12J31,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    125.6,2.0,   0.0088,2.0,   0.00985,2.0,  34.2522,2.0,  34.2494,2.0,-999.0000,9.0,   258.31,2.0,   258.60,2.0,   99.508,   0.0197,2.0,    0.120,2.0,     0.08,2.0,    0.000,2.0,    58.24,2.0,     0.11,    32.74,2.0,     0.05,     0.06,2.0,     0.01,     2.27,2.0,     0.01,    3.663,2.0,    1.974,2.0,    0.319,2.0,    1.638,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
7,  49NZ20130106,  S04I,88.0,2.0,30.0, X12J30,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    150.5,2.0,   0.6488,2.0,   0.65027,2.0,  34.3746,2.0,  34.3724,2.0,-999.0000,9.0,   228.02,2.0,   227.66,2.0,   99.641,   0.0144,2.0,    0.070,2.0,     0.05,2.0,    0.000,2.0,    65.08,2.0,     0.12,    33.51,2.0,     0.05,     0.03,2.0,     0.01,     2.32,2.0,     0.01,    2.676,2.0,    1.457,2.0,    0.238,2.0,    1.080,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
8,  49NZ20130106,  S04I,88.0,2.0,29.0, X12J29,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    199.2,2.0,   1.6469,2.0,   1.64783,2.0,  34.5472,2.0,  34.5461,2.0,-999.0000,9.0,   186.79,2.0,   186.54,2.0,   99.696,   0.0122,2.0,    0.030,2.0,     0.02,2.0,    0.000,2.0,    74.84,2.0,     0.13,    34.27,2.0,     0.05,     0.02,2.0,     0.01,     2.36,2.0,     0.01,    1.270,2.0,    0.670,2.0,    0.106,2.0,    0.441,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
9,  49NZ20130106,  S04I,88.0,2.0,28.0, X12J28,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    250.4,2.0,   1.7484,2.0,   1.74857,2.0,  34.5965,2.0,  34.5963,2.0,-999.0000,9.0,   183.00,2.0,   182.69,2.0,   99.694,   0.0123,2.0,    0.020,2.0,     0.01,2.0,    0.000,2.0,    77.31,2.0,     0.13,    33.91,2.0,     0.05,     0.01,2.0,     0.01,     2.34,2.0,     0.01,    0.996,2.0,    0.518,2.0,    0.072,2.0,    0.380,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
10,  49NZ20130106,  S04I,88.0,2.0,27.0, X12J27,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    329.9,2.0,   1.7876,2.0,   1.78754,2.0,  34.6468,2.0,  34.6467,2.0,-999.0000,9.0,   182.74,2.0,   182.40,2.0,   99.840,   0.0064,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    79.72,2.0,     0.13,    33.19,2.0,     0.05,     0.01,2.0,     0.01,     2.29,2.0,     0.01,    0.758,2.0,    0.391,2.0,    0.062,2.0,    0.261,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
11,  49NZ20130106,  S04I,88.0,2.0,26.0, X12J26,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    432.4,2.0,   1.7971,2.0,   1.79695,2.0,  34.6839,2.0,  34.6834,2.0,-999.0000,9.0,   184.36,2.0,   184.24,2.0,   99.861,   0.0056,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    81.70,2.0,     0.13,    32.48,2.0,     0.05,     0.01,2.0,     0.01,     2.23,2.0,     0.01,    0.595,2.0,    0.297,2.0,    0.044,2.0,    0.207,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
12,  49NZ20130106,  S04I,88.0,2.0,25.0, X12J25,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    530.5,2.0,   1.7908,2.0,   1.79088,2.0,  34.7102,2.0,  34.7097,2.0,-999.0000,9.0,   187.16,2.0,   186.81,2.0,   99.882,   0.0047,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    83.59,2.0,     0.13,    31.94,2.0,     0.04,     0.01,2.0,     0.01,     2.20,2.0,     0.01,    0.455,2.0,    0.226,2.0,    0.032,2.0,    0.134,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
13,  49NZ20130106,  S04I,88.0,2.0,24.0, X12J24,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    631.0,2.0,   1.7433,2.0,   1.74336,2.0,  34.7255,2.0,  34.7251,2.0,-999.0000,9.0,   190.52,2.0,   190.20,2.0,   99.893,   0.0043,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    85.35,2.0,     0.14,    31.50,2.0,     0.04,     0.01,2.0,     0.01,     2.17,2.0,     0.01,    0.376,6.0,    0.182,6.0,    0.025,6.0,    0.097,6.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
14,  49NZ20130106,  S04I,88.0,2.0,23.0, X12J23,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    730.1,2.0,   1.6863,2.0,   1.68642,2.0,  34.7334,2.0,  34.7333,2.0,-999.0000,9.0,   193.13,2.0,   192.85,2.0,   99.937,   0.0025,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    87.02,2.0,     0.14,    31.21,2.0,     0.04,     0.01,2.0,     0.01,     2.15,2.0,     0.01,    0.320,2.0,    0.155,2.0,    0.019,2.0,    0.089,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
15,  49NZ20130106,  S04I,88.0,2.0,22.0, X12J22,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    829.8,2.0,   1.5763,2.0,   1.57664,2.0,  34.7330,2.0,  34.7328,2.0,-999.0000,9.0,   195.77,2.0,   195.51,2.0,   99.965,   0.0014,2.0,    0.010,2.0,  -999.00,9.0,    0.000,2.0,    89.10,2.0,     0.14,    31.15,2.0,     0.04,     0.01,2.0,     0.01,     2.15,2.0,     0.01,    0.339,2.0,    0.163,2.0,    0.023,2.0,    0.102,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
16,  49NZ20130106,  S04I,88.0,2.0,21.0, X12J21,2.0,20130112.0,2018,-61.6202,107.4453, 4291,    930.2,2.0,   1.4913,2.0,   1.49141,2.0,  34.7349,2.0,  34.7348,2.0,-999.0000,9.0,   197.98,2.0,   197.67,2.0,   99.984,   0.0006,2.0,    0.000,2.0,  -999.00,9.0,    0.000,2.0,    91.33,2.0,     0.14,    31.08,2.0,     0.04,     0.01,2.0,     0.01,     2.15,2.0,     0.01,    0.306,2.0,    0.148,2.0,    0.016,2.0,    0.098,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
17,  49NZ20130106,  S04I,88.0,2.0,20.0, X12J20,2.0,20130112.0,2018,-61.6202,107.4453, 4291,   1079.8,2.0,   1.3753,2.0,   1.37532,2.0,  34.7337,2.0,  34.7333,2.0,-999.0000,9.0,   200.16,2.0,   199.85,2.0,  100.011,  -0.0004,2.0,    0.000,2.0,  -999.00,9.0,    0.000,2.0,    94.69,2.0,     0.14,    31.13,2.0,     0.04,     0.00,2.0,     0.01,     2.15,2.0,     0.01,    0.284,2.0,    0.133,2.0,    0.014,2.0,    0.100,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,     -999,9.0, -999.000,9.0, -999.000,   -999.0,9.0,   -999.0, -999.000,9.0, -999.000, -999.000,9.0, -999.000
