,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,FLUOR_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PAR,PAR_FLAG_W
0,09AR20080322,       TEST,1.0,1.0,24.0,24.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2206.0,   2.0863,  34.7414,2.0,  34.6743,4.0,  -999.00,5.0,  178.55,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.025,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
1,09AR20080322,       TEST,1.0,1.0,23.0,23.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2206.1,   2.0870,  34.7415,2.0,-999.0000,9.0,  -999.00,5.0, -999.00,9.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.028,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
2,09AR20080322,       TEST,1.0,1.0,22.0,22.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2204.2,   2.0883,  34.7413,2.0,-999.0000,9.0,  -999.00,5.0, -999.00,9.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.029,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
3,09AR20080322,       TEST,1.0,1.0,21.0,21.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.6,   2.0892,  34.7412,2.0,  34.7429,2.0,  -999.00,5.0,  188.93,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.028,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
4,09AR20080322,       TEST,1.0,1.0,20.0,20.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2204.4,   2.0904,  34.7413,2.0,  34.7425,2.0,  -999.00,5.0,  188.85,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.026,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
5,09AR20080322,       TEST,1.0,1.0,19.0,19.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.0,   2.0912,  34.7412,2.0,  34.7425,2.0,  -999.00,5.0,  189.54,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.025,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
6,09AR20080322,       TEST,1.0,1.0,18.0,18.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2204.6,   2.0931,  34.7410,2.0,  34.7429,2.0,  -999.00,5.0,  188.72,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.029,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
7,09AR20080322,       TEST,1.0,1.0,17.0,17.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.1,   2.0922,  34.7413,2.0,  34.7424,2.0,  -999.00,5.0,  188.72,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.026,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
8,09AR20080322,       TEST,1.0,1.0,16.0,16.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2204.4,   2.0932,  34.7410,2.0,  34.7425,2.0,  -999.00,5.0,  188.72,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.027,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
9,09AR20080322,       TEST,1.0,1.0,15.0,15.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.6,   2.0928,  34.7411,2.0,  34.7420,2.0,  -999.00,5.0,  188.76,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.027,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
10,09AR20080322,       TEST,1.0,1.0,14.0,14.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.1,   2.0932,  34.7413,2.0,  34.7427,2.0,  -999.00,5.0,  188.88,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.028,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
11,09AR20080322,       TEST,1.0,1.0,13.0,13.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.6,   2.0921,  34.7415,2.0,  34.7429,2.0,  -999.00,5.0,  189.41,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.027,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
12,09AR20080322,       TEST,1.0,1.0,12.0,12.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.2,   2.0915,  34.7415,2.0,  34.7429,2.0,  -999.00,5.0,  188.72,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.028,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
13,09AR20080322,       TEST,1.0,1.0,11.0,11.0,2.0,20080323.0,2248.0,-50.2012,145.386,       4167,  2205.5,   2.0925,  34.7414,2.0,  34.7425,2.0,  -999.00,5.0,  189.37,2.0,  -999.0,9.0, -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,  -999.0,9.0,  -999.0,9.0,  -0.027,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0,      0.001,2.0
