,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,CTDRAW,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA,HELIER,DELHER,CH3CL,CH3CL_FLAG,CH3Br,CH3Br_FLAG,CH3I,CH3I_FLAG
0, 33RO200501,       A16S,1.0,1.0,22.0,22.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   799.1,   0.3853,  34.6807,2.0,-999.0000,9.0,    208.8,2.0,   208.2,2.0,  116.45,2.0,   32.61,2.0,    0.01,2.0,    2.53,4.0,   0.523,2.0,   0.264,2.0,   0.011,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.588,3.0, -999.00,9.0,  799.10,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.3489,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
1, 33RO200501,       A16S,1.0,1.0,24.0,24.0,9.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   799.3,   0.3860,  34.6807,2.0,-999.0000,9.0,    208.9,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,  799.30,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.3495,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
2, 33RO200501,       A16S,1.0,1.0,23.0,23.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   799.3,   0.3858,  34.6807,2.0,-999.0000,9.0,    208.9,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2265.3,2.0,  -999.0,9.0,  1130.9,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,  799.30,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.3493,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
3, 33RO200501,       A16S,1.0,1.0,19.0,19.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   997.6,   0.3032,  34.6795,2.0,-999.0000,9.0,    211.4,2.0,   211.0,2.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,   0.498,3.0,   0.236,2.0,   0.015,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.518,3.0, -999.00,9.0,  997.60,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.2566,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
4, 33RO200501,       A16S,1.0,1.0,21.0,21.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   997.6,   0.3032,  34.6795,2.0,-999.0000,9.0,    211.6,2.0,  -999.0,9.0,  118.85,2.0,   32.60,2.0,    0.00,2.0,    2.50,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  2352.1,2.0,  -999.0,9.0,   20.00,7.5887,6.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,    0.57,2.0,  -149.3,2.0,     3.4,-999.000,9.0,-999.000,-999.000,9.0,   39.76,2.0,  997.60,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.2567,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
5, 33RO200501,       A16S,1.0,1.0,20.0,20.0,9.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,   997.9,   0.3036,  34.6795,2.0,-999.0000,9.0,    211.6,2.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,  997.90,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.2570,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
6, 33RO200501,       A16S,1.0,1.0,16.0,16.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1197.8,   0.2129,  34.6771,2.0,-999.0000,9.0,    214.6,2.0,   213.7,2.0,  120.34,2.0,   32.63,2.0,    0.00,2.0,    2.40,4.0,   0.492,2.0,   0.253,2.0,   0.010,2.0,  -999.0,9.0,  -999.0,9.0,  -999.0,9.0,   20.00,-999.0,9.0,    25.00,   0.049,2.0,    0.01,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,   0.592,3.0, -999.00,9.0, 1197.80,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.1558,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
7, 33RO200501,       A16S,1.0,1.0,18.0,18.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1197.9,   0.2132,  34.6771,2.0,  34.6771,2.0,    214.6,2.0,  -999.0,9.0,  120.23,2.0,   32.56,2.0,    0.01,2.0,    2.40,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  -999.0,9.0,  2353.1,3.0,  -999.0,9.0,   20.00,7.5914,6.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,    0.58,2.0,  -152.5,2.0,     4.6,-999.000,9.0,-999.000,-999.000,9.0,   39.55,2.0, 1197.90,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.1561,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
8, 33RO200501,       A16S,1.0,1.0,17.0,17.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1198.0,   0.2131,  34.6771,2.0,  34.6768,2.0,    214.6,2.0,  -999.0,9.0,  120.28,2.0,   32.51,2.0,    0.00,2.0,    2.39,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2265.1,2.0,  -999.0,9.0,  1120.9,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0, 1198.00,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.1560,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
9, 33RO200501,       A16S,1.0,1.0,14.0,14.0,2.0,20050117.0,1104.0,-60.0157,-30.8928,       2734,  1497.8,   0.1031,  34.6734,2.0,  34.6755,2.0,    218.9,2.0,  -999.0,9.0,  121.80,2.0,   32.56,2.0,    0.00,2.0,    2.40,4.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,  2261.9,2.0,  -999.0,9.0,  1110.1,2.0,   20.00,-999.0,9.0,    25.00,-999.000,9.0, -999.00,-999.000,9.0,-999.000,9.0,   -9.00,9.0,  -999.0,9.0,    -9.0,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0, 1497.80,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   0.0291,     -999.0,-999.000,     -999.0,-999.0,     -999.0,-999.0,-999.000,-999.0
