,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
0,  33LG20090916,  SR01,1.0,1.0,1.0,1.0,2.0,20090918.0,448.0,-55.0,-64.098,  968,    957.8,   3.5690,  34.1800,2.0,  34.1840,2.0,    20.75,2.0,    29.71,2.0,     1.74,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.5005
1,  33LG20090916,  SR01,1.0,1.0,2.0,2.0,2.0,20090918.0,452.0,-55.0,-64.098,  968,    859.7,   3.6660,  34.1380,2.0,  34.1420,2.0,    15.82,2.0,    27.74,2.0,     1.95,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.6046
2,  33LG20090916,  SR01,1.0,1.0,3.0,3.0,2.0,20090918.0,454.0,-55.0,-64.098,  968,    803.2,   3.7530,  34.1210,2.0,  34.1250,2.0,    13.25,2.0,    27.97,2.0,     1.85,2.0,   2145.7,3.0,    420.8,2.0,    3.753,   -999.0,9.0,   -999.0,     1.14,2.0,   3.6955
3,  33LG20090916,  SR01,1.0,1.0,4.0,4.0,2.0,20090918.0,500.0,-55.0,-64.098,  968,    606.5,   4.0050,  34.1220,2.0,  34.1260,2.0,    11.71,2.0,    26.42,2.0,     1.76,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.9613
4,  33LG20090916,  SR01,1.0,1.0,5.0,5.0,2.0,20090918.0,503.0,-55.0,-64.098,  968,    506.0,   4.1610,  34.1250,2.0,  34.1300,2.0,    10.99,2.0,    26.89,2.0,     1.72,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   4.1243
5,  33LG20090916,  SR01,1.0,1.0,6.0,6.0,2.0,20090918.0,507.0,-55.0,-64.098,  968,    408.1,   4.5610,  34.1160,2.0,  34.1200,2.0,     8.42,2.0,    25.15,2.0,     1.72,2.0,   -999.0,9.0,    399.6,2.0,    4.561,   -999.0,9.0,   -999.0,     1.27,2.0,   4.5304
6,  33LG20090916,  SR01,1.0,1.0,7.0,7.0,2.0,20090918.0,510.0,-55.0,-64.098,  968,    304.2,   4.6860,  34.0930,2.0,  34.0960,2.0,     7.29,2.0,    24.04,2.0,     1.62,2.0,   2121.2,2.0,    392.8,2.0,    4.686,   -999.0,9.0,   -999.0,     1.20,2.0,   4.6632
7,  33LG20090916,  SR01,1.0,1.0,8.0,8.0,2.0,20090918.0,513.0,-55.0,-64.098,  968,    228.0,   5.0140,  34.0320,2.0,  34.0570,2.0,     6.26,2.0,    22.97,2.0,     1.57,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   4.9964
8,  33LG20090916,  SR01,1.0,1.0,9.0,9.0,2.0,20090918.0,514.0,-55.0,-64.098,  968,    199.1,   5.2880,  33.9600,2.0,  33.9740,2.0,     5.13,2.0,    21.68,2.0,     1.50,2.0,   2108.5,2.0,    384.3,2.0,    5.288,   -999.0,9.0,   -999.0,     1.30,2.0,   5.2723
9,  33LG20090916,  SR01,1.0,1.0,10.0,10.0,2.0,20090918.0,517.0,-55.0,-64.098,  968,    150.7,   5.6970,  33.8500,2.0,  33.8610,2.0,     4.41,2.0,    20.51,2.0,     1.48,2.0,   -999.0,9.0,   -999.0,9.0,     -999,   -999.0,9.0,   -999.0,  -999.00,9.0,   5.6847
