,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA
0,  096U20160426,  P15S,1.0,1.0,3.0,2003.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3023.4,   1.7960,  34.7330,2.0,  34.7328,2.0,    192.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.038,2.0,    0.022,2.0,        0,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5701
1,  096U20160426,  P15S,1.0,1.0,2.0,2002.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3023.6,   1.7960,  34.7330,2.0,  34.7331,2.0,    192.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,     -999,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5701
2,  096U20160426,  P15S,1.0,1.0,1.0,2001.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.1,   1.7960,  34.7330,2.0,  34.7322,2.0,    192.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,     -999,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5700
3,  096U20160426,  P15S,1.0,1.0,4.0,2004.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.2,   1.7960,  34.7330,2.0,  34.7325,2.0,    192.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.037,2.0,    0.021,2.0,        0,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5700
4,  096U20160426,  P15S,1.0,1.0,8.0,2008.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.2,   1.7950,  34.7330,2.0,  34.7327,2.0,    192.3,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.037,2.0,    0.019,2.0,        0,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5690
5,  096U20160426,  P15S,1.0,1.0,13.0,2013.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.3,   1.7950,  34.7330,2.0,  34.7327,2.0,    192.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.036,2.0,    0.019,2.0,        0,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5690
6,  096U20160426,  P15S,1.0,1.0,24.0,2024.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.3,   1.7940,  34.7330,2.0,  34.7331,2.0,    192.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,     -999,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5681
7,  096U20160426,  P15S,1.0,1.0,7.0,2007.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.5,   1.7960,  34.7330,2.0,  34.7325,2.0,    192.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0, -999.000,9.0, -999.000,9.0,     -999,9.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5700
8,  096U20160426,  P15S,1.0,1.0,12.0,2012.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.5,   1.7940,  34.7330,2.0,  34.7323,2.0,    192.4,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.040,2.0,    0.024,2.0,    0.014,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5680
9,  096U20160426,  P15S,1.0,1.0,6.0,2006.0,2.0,20160427.0,659.0,-45.5031,149.3977, 4304,   3024.6,   1.7960,  34.7330,2.0,  34.7323,2.0,    192.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    0.036,2.0,    0.021,2.0,        0,2.0,   -999.0,9.0,   -999.0,9.0,-999.0,9.0,  -999.00,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,   1.5700
