,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DOC,DOC_FLAG_W,TON,TON_FLAG_W,N2O,N2O_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,CTDRINKO,CTDRINKO_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,PH_TMP,HE3_HE4_RATIO,HE3_HE4_RATIO_FLAG_W,HELIUM,HELIUM_FLAG_W,NEON,NEON_FLAG_W,ARGON,ARGON_FLAG_W,KRYPTON,KRYPTON_FLAG_W,XENON,XENON_FLAG_W,Nd_143_D_EPSILON_BOTTLE,Nd_143_D_EPSILON_BOTTLE_FLAG_W,La_D_CONC_BOTTLE,La_D_CONC_BOTTLE_FLAG_W,Ce_D_CONC_BOTTLE,Ce_D_CONC_BOTTLE_FLAG_W,Pr_D_CONC_BOTTLE,Pr_D_CONC_BOTTLE_FLAG_W,Sm_D_CONC_BOTTLE,Sm_D_CONC_BOTTLE_FLAG_W,Eu_D_CONC_BOTTLE,Eu_D_CONC_BOTTLE_FLAG_W,Gd_D_CONC_BOTTLE,Gd_D_CONC_BOTTLE_FLAG_W,Tb_D_CONC_BOTTLE,Tb_D_CONC_BOTTLE_FLAG_W,Dy_D_CONC_BOTTLE,Dy_D_CONC_BOTTLE_FLAG_W,Ho_D_CONC_BOTTLE,Ho_D_CONC_BOTTLE_FLAG_W,Er_D_CONC_BOTTLE,Er_D_CONC_BOTTLE_FLAG_W,Tm_D_CONC_BOTTLE,Tm_D_CONC_BOTTLE_FLAG_W,Yb_D_CONC_BOTTLE,Yb_D_CONC_BOTTLE_FLAG_W,Lu_D_CONC_BOTTLE,Lu_D_CONC_BOTTLE_FLAG_W,HPLC,HPLC_FLAG_W,POC,POC_FLAG_W,REFTMP,REFTMP_FLAG_W
0,320620180309,       S04P,1.0,1.0,29.0,29.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,     1.5,  -1.7340,  34.0568,2.0,-999.0000,9.0, 328.4963,2.0,  -999.0,9.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0,  -999.0,9.0,  -999.0, -999.00,9.0,-999.0,9.0,     -999.0,9.0,20180317.0,317.0,-70.4507,168.4729,   327.4912,2.0,      0.117,1.0,      4.585,1.0,      0.184,1.0,     -999.0,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,1.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,     -999.0,5.0
1,320620180309,       S04P,1.0,1.0,28.0,28.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,     1.8,  -1.7340,  34.0568,2.0,  34.0923,2.0, 328.4999,2.0,   341.6,2.0,    71.8,2.0,   28.21,2.0,    0.14,2.0,    1.88,2.0,   5.739,2.0,   3.134,2.0,   3.8000,2.0,  2202.5,6.0, 2311.47,2.0,7.679,2.0,  -999.0,1.0,  -999.0, -999.00,1.0,-999.0,1.0,    16.6500,2.0,20180317.0,317.0,-70.4507,168.4729,   327.4891,2.0,      0.117,1.0,      4.585,1.0,      0.184,1.0,      24.95,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,9.0,    -1.5812,2.0
2,320620180309,       S04P,1.0,1.0,27.0,27.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,    19.4,  -1.5869,  34.0874,2.0,  34.1250,2.0, 326.8958,2.0,   338.9,2.0,    72.1,2.0,   28.35,2.0,    0.13,2.0,    1.91,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  2201.8,2.0, 2356.40,4.0,7.6327,2.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20180317.0,315.0,-70.4506,168.4731,   325.8938,2.0,      0.134,1.0,      4.591,1.0,      0.186,1.0,      24.93,-999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,9.0,    -1.5321,2.0
3,320620180309,       S04P,1.0,1.0,26.0,26.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,    39.0,  -1.5675,  34.1557,2.0,  34.1404,2.0,  358.496,2.0,   336.9,2.0,    72.6,2.0,   28.49,2.0,    0.13,2.0,    1.90,2.0,   5.778,2.0,   3.144,2.0,   3.7400,2.0,  2203.5,2.0, 2313.51,2.0,7.6543,2.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,    16.6700,2.0,20180317.0,313.0,-70.4506,168.4731,   340.9009,2.0,      0.150,1.0,      4.595,1.0,      0.180,1.0,      25.07,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,9.0,    -1.4909,2.0
4,320620180309,       S04P,1.0,1.0,25.0,25.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,    64.3,  -1.3955,  34.1986,2.0,  34.1778,2.0,  346.094,2.0,   334.6,2.0,    73.0,2.0,   28.67,2.0,    0.12,2.0,    1.92,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  2206.6,2.0, 2319.57,2.0,7.6302,2.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20180317.0,311.0,-70.4506,168.4731,   335.5979,2.0,      0.134,1.0,      4.606,1.0,      0.177,1.0,      24.93,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,    -1.5452,2.0
5,320620180309,       S04P,1.0,1.0,24.0,24.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,    89.1,  -1.5329,  34.2341,2.0,  34.2307,2.0, 352.7045,2.0,   322.3,2.0,    74.2,2.0,   28.84,2.0,    0.11,2.0,    1.96,2.0,   5.591,2.0,   3.008,2.0,   3.4000,2.0,  2213.2,2.0, 2318.43,2.0,7.624,2.0,  -999.0,1.0,  -999.0, -999.00,1.0,-999.0,1.0,    16.7200,2.0,20180317.0,310.0,-70.4506,168.4731,    341.201,2.0,      0.160,1.0,      4.595,1.0,      0.212,1.0,      24.93,-999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,9.0,    -1.3972,2.0
6,320620180309,       S04P,1.0,1.0,23.0,23.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,   115.0,  -1.5079,  34.2721,2.0,  34.2955,2.0, 332.1028,2.0,   308.2,2.0,    75.6,2.0,   29.38,2.0,    0.00,2.0,    1.96,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  2219.7,2.0, 2322.12,2.0,7.7034,3.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20180317.0,308.0,-70.4507,168.4731,   328.4024,2.0,      0.171,1.0,      4.588,1.0,      0.202,1.0,      24.92,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,    -1.1962,2.0
7,320620180309,       S04P,1.0,1.0,22.0,22.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,   140.8,  -1.4600,  34.2903,2.0,  34.3505,2.0, 319.1035,2.0,   300.8,2.0,    77.0,2.0,   29.78,2.0,    0.00,2.0,    1.99,2.0,   5.023,2.0,   2.729,2.0,   3.6000,2.0,  2225.3,2.0, 2328.19,2.0,7.6114,2.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,    17.1800,2.0,20180317.0,305.0,-70.4506,168.4731,   319.0002,2.0,      0.170,1.0,      4.593,1.0,      0.200,1.0,      24.96,-999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,     -999.0,1.0,-999.0,9.0,     -999.0,9.0,    -1.1820,2.0
8,320620180309,       S04P,1.0,1.0,21.0,21.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,   165.5,  -1.1940,  34.3392,2.0,  34.3786,2.0, 304.6023,2.0,   294.3,2.0,    78.3,2.0,   29.79,2.0,    0.00,2.0,    1.99,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  2225.9,2.0, 2329.31,2.0,7.6126,2.0,  -999.0,1.0,  -999.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20180317.0,304.0,-70.4507,168.473,   315.3044,2.0,      0.141,1.0,      4.605,1.0,      0.196,1.0,      24.98,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,    -1.1659,2.0
9,320620180309,       S04P,1.0,1.0,20.0,20.0,2.0,20180317.0,211.0,-70.4517,168.4755,       1390,   190.7,  -1.0247,  34.3867,2.0,  34.3980,2.0, 302.1994,2.0,   290.2,2.0,    79.3,2.0,   29.87,2.0,    0.00,2.0,    2.02,2.0,   4.302,2.0,   2.349,2.0,   2.8000,2.0,  2230.0,2.0, 2329.18,2.0,7.6102,2.0,  -999.0,9.0,  -999.0, -999.00,1.0,-999.0,1.0,    17.7300,2.0,20180317.0,302.0,-70.4509,168.4731,   305.6042,2.0,      0.122,1.0,      4.617,1.0,      0.179,1.0,      24.98,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,     -999.0,9.0,    -1.0296,2.0
