,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NH4,NH4_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,REFTMP,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,DELO18,DELO18_FLAG_W,POC,POC_FLAG_W,DOC,DOC_FLAG_W,TON,TON_FLAG_W,D15N_NO3,D15N_NO3_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,D14C-DOC,D14C-DOC_FLAG_W,DOM,DOM_FLAG_W,CHLORA,CHLORA_FLAG_W,HPLC,HPLC_FLAG_W,AP,AP_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,D15N_NO3+NO2,D15N_NO3+NO2_FLAG_W,D18O_NO3+NO2,D18O_NO3+NO2_FLAG_W,D18O_NO3,D18O_NO3_FLAG_W
0,33RR20160208,       I08S,1.0,1.0,1.0,1.0,3.0,20160219.0,557.0,-66.6027,78.3815,        468,   454.6,  -0.5138,  34.5501,3.0,-999.0000,9.0,    262.4,3.0,  -999.0,9.0,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-999.000,9.0,-999.000,9.0,-999.000,9.0,-999.000000000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0,  -999.00,  -0.5134, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,9.0,-999.000,9.0,  -999.0,9.0,-999.0,9.0,-999.0,9.0,20160219.0,557.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
1,33RR20160208,       I08S,1.0,1.0,2.0,2.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   454.4,  -0.5178,  34.5498,2.0,  34.5513,2.0,    262.3,2.0,   262.9,2.0,    79.0,2.0,    0.00,2.0,   31.16,2.0,    0.00,2.0,    2.16,2.0,   3.212,2.0,   1.706,2.0,   0.293,2.0,         1.492,2.0,  2239.5,6.0, 2339.01,2.0,7.5978,2.0,    25.07,  -0.5173, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    42.8,2.0,-999.0,1.0,-999.0,9.0,20160219.0,558.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
2,33RR20160208,       I08S,1.0,1.0,3.0,3.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   390.2,  -0.6823,  34.5224,2.0,  34.5231,2.0,    270.8,2.0,   270.4,2.0,    74.5,2.0,    0.00,2.0,   31.05,2.0,    0.00,2.0,    2.14,2.0,-999.000,5.0,-999.000,5.0,-999.000,5.0,-999.000000000,5.0,  2235.6,2.0, 2334.11,6.0,7.5985,6.0,    25.02,  -0.6832, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    41.1,2.0,-999.0,1.0,-999.0,9.0,20160219.0,600.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
3,33RR20160208,       I08S,1.0,1.0,4.0,4.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   365.5,  -1.0696,  34.4899,2.0,  34.4925,2.0,    286.6,2.0,   284.2,2.0,    71.7,2.0,    0.00,2.0,   30.83,2.0,    0.00,2.0,    2.14,2.0,   4.255,2.0,   2.157,2.0,   0.362,2.0,         1.738,2.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0,  -999.00,  -1.0770, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    40.0,3.0,-999.0,1.0,-999.0,9.0,20160219.0,602.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
4,33RR20160208,       I08S,1.0,1.0,5.0,5.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   340.6,  -1.2453,  34.4698,2.0,  34.4706,2.0,    291.2,2.0,   293.0,2.0,    69.1,2.0,    0.00,2.0,   30.67,2.0,    0.00,2.0,    2.13,2.0,   4.148,2.0,   2.350,2.0,   0.394,2.0,         2.249,2.0,  2232.5,2.0, 2329.13,2.0,7.6044,2.0,    25.06,  -1.2447, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    43.9,3.0,-999.0,1.0,-999.0,9.0,20160219.0,604.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
5,33RR20160208,       I08S,1.0,1.0,6.0,6.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   315.5,  -1.3224,  34.4585,2.0,  34.4624,2.0,    296.2,2.0,   294.4,2.0,    67.6,2.0,    0.00,2.0,   30.60,2.0,    0.00,2.0,    2.12,2.0,   4.353,2.0,   2.436,2.0,   0.427,2.0,         2.458,2.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0,  -999.00,  -1.3207, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    42.2,2.0,-999.0,1.0,-999.0,9.0,20160219.0,605.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
6,33RR20160208,       I08S,1.0,1.0,7.0,7.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   289.5,  -1.5152,  34.4357,2.0,  34.4390,2.0,    302.8,2.0,   302.7,2.0,    65.0,2.0,    0.00,2.0,   30.39,2.0,    0.00,2.0,    2.12,2.0,   4.615,2.0,   2.610,2.0,   0.451,2.0,         2.654,2.0,  2227.5,2.0, 2325.38,2.0,7.6079,2.0,    25.08,  -1.5141, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    41.8,2.0,-999.0,1.0,-999.0,9.0,20160219.0,607.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
7,33RR20160208,       I08S,1.0,1.0,8.0,8.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   264.6,  -1.5387,  34.4263,2.0,  34.4283,2.0,    302.1,2.0,   304.0,2.0,    63.9,2.0,    0.00,2.0,   30.46,2.0,    0.00,2.0,    2.11,2.0,   4.735,6.0,   2.682,6.0,   0.461,6.0,        2.6855,6.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0,  -999.00,  -1.5387, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    42.0,2.0,-999.0,1.0,-999.0,9.0,20160219.0,608.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
8,33RR20160208,       I08S,1.0,1.0,9.0,9.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   240.1,  -1.5563,  34.4198,2.0,  34.4212,2.0,    304.9,2.0,   304.9,2.0,    63.4,2.0,    0.00,2.0,   30.37,2.0,    0.00,2.0,    2.10,2.0,   4.623,2.0,   2.628,2.0,   0.439,2.0,         2.721,2.0,  2226.5,2.0, 2325.72,2.0,7.6104,6.0,    25.05,  -1.5612, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    42.2,2.0,-999.0,1.0,-999.0,9.0,20160219.0,610.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
9,33RR20160208,       I08S,1.0,1.0,10.0,10.0,2.0,20160219.0,557.0,-66.6027,78.3815,        468,   214.7,  -1.4563,  34.4190,2.0,  34.4211,2.0,    300.1,2.0,   300.9,2.0,    63.7,2.0,    0.00,2.0,   30.46,2.0,    0.00,2.0,    2.11,2.0,   4.477,2.0,   2.539,2.0,   0.436,2.0,         2.758,2.0,  2227.7,2.0, 2325.64,2.0,7.6083,6.0,    25.07,  -1.4537, -999.00,-999.0,  -999.0,  -999.0,-999.0,  -999.0, -999.00,1.0,-999.000,9.0,    41.1,2.0,-999.0,1.0,-999.0,9.0,20160219.0,612.0,-66.6027,78.3815,     -999.0,9.0,     -999.0,1.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0,     -999.0,9.0
