,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DON,DON_FLAG_W,TOC,TOC_FLAG_W,N2O,N2O_FLAG_W,BTL_DATE,BTL_TIME,BTL_LAT,BTL_LON,PH_TMP,REFTMP,REFTMP_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W
0,325020190403,       I06S,1.0,1.0,1.0,1.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   521.9,   0.7212,  34.6511,2.0,  34.6535,2.0,    210.7,2.0,   210.9,2.0,    96.2,2.0,   32.03,2.0,    0.00,2.0,    2.23,2.0,   1.111,2.0,   0.607,2.0,   0.6395,2.0,  2252.1,6.0, 2348.73,2.0,7.5811,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    21.4703,3.0,20190416.0,907.0,-68.3422,31.535,      24.99,     0.7209,2.0,      0.145,1.0,      0.063,1.0,      4.649,1.0
1,325020190403,       I06S,1.0,1.0,2.0,2.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   505.2,   0.7198,  34.6499,2.0,  34.6525,2.0,    210.9,2.0,   211.0,2.0,    95.9,2.0,   32.02,2.0,    0.00,2.0,    2.22,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20190416.0,910.0,-68.3422,31.535,     -999.0,     0.7193,2.0,      0.146,1.0,      0.062,1.0,      4.649,1.0
2,325020190403,       I06S,1.0,1.0,3.0,3.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   490.6,   0.7192,  34.6494,2.0,  34.6523,2.0,    210.9,2.0,   211.0,2.0,    95.7,2.0,   31.94,2.0,    0.00,2.0,    2.22,2.0,   1.159,2.0,   0.641,2.0,   0.6630,2.0,  2250.7,2.0, 2346.14,2.0,7.5831,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    22.6007,3.0,20190416.0,911.0,-68.3422,31.535,      25.01,     0.7187,2.0,      0.150,1.0,      0.063,1.0,      4.646,1.0
3,325020190403,       I06S,1.0,1.0,4.0,4.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   439.6,   0.7217,  34.6458,2.0,  34.6491,2.0,    211.6,2.0,   211.2,2.0,    94.7,2.0,   32.01,2.0,    0.00,2.0,    2.21,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0, -999.00,1.0,  -999.0,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20190416.0,914.0,-68.3421,31.535,     -999.0,     0.7213,2.0,      0.141,1.0,      0.062,1.0,      4.646,1.0
4,325020190403,       I06S,1.0,1.0,5.0,5.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   388.7,   0.4785,  34.5790,2.0,  34.5828,2.0,    220.9,2.0,   221.3,2.0,    85.0,2.0,   32.09,2.0,    0.00,2.0,    2.22,2.0,   2.022,2.0,   1.222,2.0,-999.0000,5.0,  2250.4,2.0, 2339.87,2.0,7.5826,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    23.1051,3.0,20190416.0,916.0,-68.3421,31.5348,      25.01,     0.4722,2.0,      0.140,1.0,      0.063,1.0,      4.646,1.0
5,325020190403,       I06S,1.0,1.0,6.0,6.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   338.1,  -0.4241,  34.4681,2.0,  34.4726,2.0,    255.6,2.0,   255.3,2.0,    75.9,2.0,   31.45,2.0,    0.00,2.0,    2.16,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0, -999.00,1.0,  -999.0,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20190416.0,918.0,-68.342,31.5348,     -999.0,    -0.4445,2.0,      0.144,1.0,      0.064,1.0,      4.645,1.0
6,325020190403,       I06S,1.0,1.0,7.0,7.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   287.5,  -1.2147,  34.3557,2.0,  34.3551,2.0,    287.7,2.0,   288.7,2.0,    66.9,2.0,   30.65,2.0,    0.00,2.0,    2.11,2.0,   4.169,2.0,   2.272,2.0,   2.6947,2.0,  2226.6,2.0, 2322.57,2.0,7.5996,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    20.9806,3.0,20190416.0,919.0,-68.3421,31.5348,      24.99,    -1.2401,2.0,      0.145,1.0,      0.062,1.0,      4.646,1.0
7,325020190403,       I06S,1.0,1.0,8.0,8.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   241.1,  -1.5116,  34.2774,2.0,  34.2828,2.0,    301.2,2.0,   301.0,2.0,    63.3,2.0,   30.44,2.0,    0.00,2.0,    2.08,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0, -999.00,1.0,  -999.0,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20190416.0,920.0,-68.342,31.5347,     -999.0,    -1.5365,2.0,      0.145,1.0,      0.063,1.0,      4.644,1.0
8,325020190403,       I06S,1.0,1.0,9.0,9.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   215.6,  -1.5964,  34.2394,2.0,  34.2444,2.0,    307.0,2.0,   306.7,2.0,    61.8,2.0,   30.33,2.0,    0.01,2.0,    2.07,2.0,   4.768,2.0,   2.586,2.0,   3.1319,2.0,  2218.9,2.0, 2313.94,2.0,7.6062,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    20.4552,3.0,20190416.0,921.0,-68.342,31.5347,      25.01,    -1.6279,2.0,      0.148,1.0,      0.063,1.0,      4.644,1.0
9,325020190403,       I06S,1.0,1.0,10.0,10.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   191.1,  -1.6553,  34.2131,2.0,  34.2164,2.0,    310.8,2.0,   310.6,2.0,    60.5,2.0,   30.24,2.0,    0.01,2.0,    2.06,2.0,-999.000,9.0,-999.000,9.0,-999.0000,9.0,  -999.0,9.0, -999.00,9.0,-999.0,9.0, -999.00,1.0,  -999.0,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,     -999.0,9.0,20190416.0,921.0,-68.342,31.5346,     -999.0,    -1.6613,2.0,      0.150,1.0,      0.063,1.0,      4.643,1.0
10,325020190403,       I06S,1.0,1.0,11.0,11.0,2.0,20190416.0,907.0,-68.342,31.5344,      529,   165.2,  -1.6923,  34.1956,2.0,  34.2013,2.0,    312.7,2.0,   312.9,2.0,    59.7,2.0,   30.21,2.0,    0.01,2.0,    2.05,2.0,   4.997,2.0,   2.705,2.0,   3.3456,2.0,  2214.6,2.0, 2313.88,2.0,7.6082,2.0, -999.00,9.0,  -999.0,9.0, -999.00,1.0, -999.00,1.0, -999.00,1.0, -999.00,1.0,-999.0,1.0,    19.9292,3.0,20190416.0,922.0,-68.342,31.5346,      25.01,    -1.7008,2.0,      0.149,1.0,      0.063,1.0,      4.642,1.0
