,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BLTNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CTDFLUORO,CTDFLUORO_FLAG_W,CTDPAR,CTDPAR_FLAG_W,CTDTRANS,CTDTRANS_FLAG_W,AMMONIA,AMMONIA_FLAG_W,NITRIT,NITRIT_FLAG_W
0,  09AR20070117,  SR03,3.0,1.0,24.0,24.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,      4.5,  13.4652,  34.7250,2.0,  34.7258,2.0,  -999.00,5.0,   283.70,2.0,      0.1,2.0,     3.68,2.0,     0.38,2.0,2.412,2.0,3.557,2.0,0.8690000000000001,2.0,     0.07,2.0,     0.07,2.0
1,  09AR20070117,  SR03,3.0,1.0,23.0,23.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,     24.7,  12.5333,  34.7239,2.0,  34.7237,2.0,   286.31,2.0,   286.08,2.0,      0.1,2.0,     4.11,2.0,     0.41,2.0,4.079,2.0,2.512,2.0,0.907,2.0,     0.26,2.0,     0.07,2.0
2,  09AR20070117,  SR03,3.0,1.0,22.0,22.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,     50.0,  11.8453,  34.7217,2.0,  34.7241,2.0,   273.61,2.0,   272.60,2.0,      0.5,2.0,     6.09,2.0,     0.58,2.0,1.4809999999999999,2.0,1.554,2.0,0.956,2.0,     1.05,2.0,     0.11,2.0
3,  09AR20070117,  SR03,3.0,1.0,21.0,21.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,     73.6,  10.7863,  34.7224,2.0,  34.7229,2.0,   266.91,2.0,   267.87,2.0,      2.0,2.0,     9.32,2.0,     0.80,2.0,1.383,2.0,0.9279999999999999,2.0,0.961,2.0,     1.54,2.0,     0.27,2.0
4,  09AR20070117,  SR03,3.0,1.0,20.0,20.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    100.3,  10.2503,  34.7353,2.0,  34.7351,2.0,  -999.00,5.0,   267.17,2.0,      2.1,2.0,    11.25,2.0,     0.78,2.0,0.298,2.0,0.38299999999999995,2.0,0.976,2.0,     0.07,2.0,     0.75,2.0
5,  09AR20070117,  SR03,3.0,1.0,19.0,19.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    122.7,   9.9999,  34.7130,2.0,  34.7129,2.0,  -999.00,5.0,   267.74,2.0,      2.3,2.0,    11.27,2.0,     0.83,2.0,0.155,2.0,0.004,2.0,0.978,2.0,     0.02,2.0,     0.20,2.0
6,  09AR20070117,  SR03,3.0,1.0,18.0,18.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    149.4,   9.8145,  34.7000,2.0,  34.6971,2.0,  -999.00,5.0,   266.67,2.0,      2.5,2.0,    12.20,2.0,     0.84,2.0,0.062,2.0,0.002,2.0,0.9790000000000001,2.0,     0.01,2.0,     0.01,2.0
7,  09AR20070117,  SR03,3.0,1.0,17.0,17.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    200.2,   9.4729,  34.6729,2.0,  34.6722,2.0,  -999.00,5.0,   263.73,2.0,      3.1,2.0,    13.44,2.0,     0.93,2.0,-0.002,2.0,0.002,2.0,0.9790000000000001,2.0,     0.01,2.0,     0.01,2.0
8,  09AR20070117,  SR03,3.0,1.0,16.0,16.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    248.6,   9.2299,  34.6533,2.0,  34.6513,2.0,   259.01,2.0,   261.88,2.0,      3.6,2.0,    14.42,2.0,     0.99,2.0,-0.023,2.0,0.002,2.0,0.9790000000000001,2.0,     0.02,2.0,     0.02,2.0
9,  09AR20070117,  SR03,3.0,1.0,15.0,15.0,2.0,20070120.0,45.0,-45.0002,142.9812,4900.0,    298.3,   9.1420,  34.6493,2.0,  34.6488,2.0,   256.34,2.0,   257.20,2.0,      3.9,2.0,    15.03,2.0,     1.03,2.0,-0.033,2.0,0.002,2.0,0.98,2.0,     0.01,2.0,     0.01,2.0
