,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,XMISS,XMISS_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
0,  09AR20120105,  I09S,1.0,1.0,24.0,24.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,      6.8,   2.6434,  33.7877,2.0,  33.7875,2.0,    333.6,2.0,    333.5,2.0,    21.30,2.0,    27.12,2.0,     1.83,2.0,    95.45,2.0,    0.618,2.0,   13.930,2.0
1,  09AR20120105,  I09S,1.0,1.0,23.0,23.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,     50.5,   2.5099,  33.7892,2.0,-999.0000,9.0,    333.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.33,2.0,    0.869,2.0,    1.490,2.0
2,  09AR20120105,  I09S,1.0,1.0,22.0,22.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,     50.5,   2.5100,  33.7891,2.0,-999.0000,9.0,    333.2,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    95.32,2.0,    0.865,2.0,    1.497,2.0
3,  09AR20120105,  I09S,1.0,1.0,21.0,21.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,     50.5,   2.5084,  33.7889,2.0,  33.7915,2.0,    333.2,2.0,    334.5,2.0,    21.30,2.0,    27.09,2.0,     1.83,2.0,    95.35,2.0,    0.853,2.0,    1.493,2.0
4,  09AR20120105,  I09S,1.0,1.0,20.0,20.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,     98.4,  -0.4648,  33.8460,2.0,  33.8435,2.0,    345.0,2.0,    346.4,2.0,    29.10,2.0,    28.34,2.0,     2.01,2.0,    97.34,2.0,    0.387,2.0,    0.111,2.0
5,  09AR20120105,  I09S,1.0,1.0,19.0,19.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    149.9,   0.3292,  34.1575,2.0,  34.1583,2.0,    246.5,2.0,    264.6,2.0,    50.00,2.0,    33.05,2.0,     2.26,2.0,    97.58,2.0,   -0.071,2.0,    0.000,2.0
6,  09AR20120105,  I09S,1.0,1.0,18.0,18.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    199.9,   2.0091,  34.3983,2.0,  34.3986,2.0,    189.4,2.0,    191.2,2.0,    64.70,2.0,    35.16,2.0,     2.40,2.0,    97.70,2.0,   -0.181,2.0,    0.000,2.0
7,  09AR20120105,  I09S,1.0,1.0,17.0,17.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    298.7,   2.2648,  34.5202,2.0,  34.5191,2.0,    173.6,2.0,    173.2,2.0,    72.90,2.0,    34.99,2.0,     2.40,2.0,    97.72,2.0,   -0.176,2.0,    0.000,2.0
8,  09AR20120105,  I09S,1.0,1.0,16.0,16.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    400.4,   2.2745,  34.5869,2.0,  34.5881,2.0,    171.8,2.0,    170.9,2.0,    76.60,2.0,    34.33,2.0,     2.35,2.0,    97.72,2.0,   -0.175,2.0,    0.000,2.0
9,  09AR20120105,  I09S,1.0,1.0,15.0,15.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    550.2,   2.2406,  34.6550,2.0,  34.6541,2.0,    175.4,2.0,    174.9,2.0,    79.10,2.0,    33.20,2.0,     2.27,2.0,    97.71,2.0,   -0.182,2.0,    0.000,2.0
10,  09AR20120105,  I09S,1.0,1.0,14.0,14.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    700.0,   2.1565,  34.6966,2.0,  34.6958,2.0,    180.3,2.0,    180.4,2.0,    81.30,2.0,    32.18,2.0,     2.21,2.0,    97.69,2.0,   -0.176,2.0,    0.000,2.0
11,  09AR20120105,  I09S,1.0,1.0,13.0,13.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    850.3,   2.0662,  34.7206,2.0,  34.7205,2.0,    184.3,2.0,    184.6,2.0,    83.20,2.0,    31.53,2.0,     2.16,2.0,    97.67,2.0,   -0.174,2.0,    0.000,2.0
12,  09AR20120105,  I09S,1.0,1.0,12.0,12.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    999.4,   1.9661,  34.7366,2.0,-999.0000,9.0,    189.1,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,    97.65,2.0,   -0.177,2.0,    0.000,2.0
13,  09AR20120105,  I09S,1.0,1.0,11.0,11.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,    999.1,   1.9663,  34.7367,2.0,  34.7366,2.0,    189.1,2.0,    189.7,2.0,    85.60,2.0,    31.00,2.0,     2.13,2.0,    97.64,2.0,   -0.176,2.0,    0.000,2.0
14,  09AR20120105,  I09S,1.0,1.0,10.0,10.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   1201.2,   1.8346,  34.7451,2.0,  34.7447,2.0,    193.8,2.0,    193.9,2.0,    89.10,2.0,    30.68,2.0,     2.10,2.0,    97.60,2.0,   -0.182,2.0,    0.000,2.0
15,  09AR20120105,  I09S,1.0,1.0,9.0,9.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   1399.0,   1.6657,  34.7459,2.0,  34.7455,2.0,    197.4,2.0,    197.2,2.0,    93.60,2.0,    30.70,2.0,     2.10,2.0,    97.55,2.0,   -0.180,2.0,    0.000,2.0
16,  09AR20120105,  I09S,1.0,1.0,8.0,8.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   1600.8,   1.4551,  34.7408,2.0,  34.7400,2.0,    200.4,2.0,    200.2,2.0,    99.40,2.0,    30.95,2.0,     2.12,2.0,    97.52,2.0,   -0.188,2.0,    0.000,2.0
17,  09AR20120105,  I09S,1.0,1.0,7.0,7.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   1799.0,   1.2917,  34.7343,2.0,  34.7368,2.0,    202.5,2.0,    202.5,2.0,   104.40,2.0,  -999.00,9.0,     2.14,2.0,    97.49,2.0,   -0.184,2.0,    0.000,2.0
18,  09AR20120105,  I09S,1.0,1.0,6.0,6.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   2000.0,   1.1052,  34.7255,2.0,  34.7256,2.0,    204.4,2.0,    204.6,2.0,   109.90,2.0,    31.56,2.0,     2.17,2.0,    97.44,2.0,   -0.186,2.0,    0.000,2.0
19,  09AR20120105,  I09S,1.0,1.0,5.0,5.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   2198.7,   0.9507,  34.7177,2.0,  34.7188,2.0,    206.7,2.0,    206.7,2.0,   115.20,2.0,    31.76,2.0,     2.19,2.0,    97.41,2.0,   -0.177,2.0,    0.000,2.0
20,  09AR20120105,  I09S,1.0,1.0,4.0,4.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   2399.3,   0.7921,  34.7098,2.0,  34.7089,2.0,    209.4,2.0,    209.4,2.0,   119.70,2.0,    31.95,2.0,     2.21,2.0,    97.39,2.0,   -0.176,2.0,    0.000,2.0
21,  09AR20120105,  I09S,1.0,1.0,3.0,3.0,2.0,20120108.0,756.0,-55.996,145.191, 2856,   2599.5,   0.6379,  34.7023,2.0,  34.7030,2.0,    211.9,2.0,    211.7,2.0,   125.50,2.0,    32.18,2.0,     2.23,2.0,    97.36,2.0,   -0.186,2.0,    0.000,2.0
