,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
0,09FA20010524,P15S,2.0,1.0,24.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,2.7,9.88,-999,9.0,-999,9.0,1.57,3.0,11.19,3.0,0.79,3.0,3.204,4.0,2.009,3.0,0.798,4.0,4.527,2.0,2083.1,6.0,-999,9.0,-999,9.0,-999,9.0,-999
1,09FA20010524,P15S,2.0,1.0,23.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,47.4,9.85,34.382,2.0,271.2,2.0,1.44,2.0,11.34,2.0,0.85,2.0,3.64,2.0,2.679,4.0,0.766,4.0,4.537,2.0,2084.1,2.0,2285.9,6.0,-999,9.0,-999,9.0,9.8446
2,09FA20010524,P15S,2.0,1.0,22.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,98.7,9.73,34.368,2.0,271.2,2.0,1.52,2.0,11.8,2.0,0.88,2.0,3.598,2.0,2.04,2.0,0.745,4.0,-999,9.0,2084.6,2.0,2283.4,2.0,-999,9.0,-999,9.0,9.7189
3,09FA20010524,P15S,2.0,1.0,21.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,149.1,8.43,34.411,2.0,260,2.0,3.88,2.0,17.44,2.0,1.2,2.0,3.851,2.0,1.962,2.0,0.968,4.0,3.725,2.0,2116.9,2.0,2281.9,2.0,-999,9.0,-999,9.0,8.4146
4,09FA20010524,P15S,2.0,1.0,20.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,198.2,8.03,34.431,2.0,258.1,2.0,4.77,2.0,18.13,2.0,1.27,2.0,3.777,2.0,2.087,2.0,1.026,4.0,-999,9.0,2121.3,2.0,2284.6,2.0,-999,9.0,-999,9.0,8.0101
5,09FA20010524,P15S,2.0,1.0,19.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,248.7,7.64,34.388,2.0,263.6,2.0,5.24,2.0,18.81,2.0,1.31,2.0,3.937,6.0,2.174,6.0,1.07,4.0,-999,9.0,2122.6,2.0,-999,9.0,-999,9.0,-999,9.0,7.6156
6,09FA20010524,P15S,2.0,1.0,18.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,299.1,7.54,34.393,2.0,268.8,2.0,5.43,2.0,18.55,2.0,1.31,2.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,2120.9,2.0,2283.2,2.0,-999,9.0,-999,9.0,7.5108
7,09FA20010524,P15S,2.0,1.0,17.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,400,7.1,34.349,2.0,262.2,2.0,6.98,2.0,20.13,2.0,1.41,2.0,3.836,2.0,2.238,2.0,1.043,4.0,3.973,2.0,2129.1,2.0,2282.9,2.0,-999,9.0,-999,9.0,7.0621
8,09FA20010524,P15S,2.0,1.0,16.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,498.8,6.56,34.303,2.0,-999,9.0,9.1,2.0,21.95,2.0,1.48,2.0,3.764,2.0,2.326,2.0,1.028,4.0,-999,9.0,2135.5,2.0,2283,2.0,-999,9.0,-999,9.0,6.5145
9,09FA20010524,P15S,2.0,1.0,15.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,700.6,5.82,34.326,2.0,227.3,2.0,17.27,2.0,25.97,2.0,1.74,2.0,2.662,2.0,1.473,3.0,1.095,4.0,2.83,2.0,2161,2.0,2288,2.0,-999,9.0,-999,9.0,5.7589
10,09FA20010524,P15S,2.0,1.0,14.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,900.1,4.66,34.305,2.0,218.1,2.0,26.8,2.0,29.46,2.0,1.97,2.0,2.401,2.0,1.475,2.0,1.095,4.0,-999,9.0,2181.7,2.0,2295.1,2.0,-999,9.0,-999,9.0,4.5883
11,09FA20010524,P15S,2.0,1.0,13.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,1100.3,3.74,34.347,2.0,203.6,2.0,41.16,2.0,31.82,2.0,2.16,2.0,1.69,2.0,0.88,2.0,1.097,4.0,2.323,2.0,2205.6,2.0,2305.5,6.0,-999,9.0,-999,9.0,3.6584
12,09FA20010524,P15S,2.0,1.0,12.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,1299.5,3.19,34.423,2.0,188.3,2.0,56.27,2.0,33.57,2.0,2.29,2.0,1.013,2.0,0.661,2.0,0.944,4.0,-999,9.0,2229.6,6.0,2322.6,2.0,-999,9.0,-999,9.0,3.097
13,09FA20010524,P15S,2.0,1.0,11.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,1498.7,2.94,-999,9.0,-999,9.0,70.1,3.0,34.06,3.0,2.35,3.0,0.555,2.0,0.582,3.0,0.912,4.0,-999,9.0,2247.2,2.0,2336.4,2.0,-999,9.0,-999,9.0,-999
14,09FA20010524,P15S,2.0,1.0,10.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,1689.6,2.64,34.556,2.0,171.3,2.0,76.6,2.0,34.39,2.0,2.35,2.0,0.472,2.0,0.374,2.0,0.914,4.0,-999,9.0,2254.4,2.0,2343.8,2.0,-999,9.0,-999,9.0,2.5208
15,09FA20010524,P15S,2.0,1.0,9.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,1997.6,2.39,34.639,2.0,-999,9.0,84.77,2.0,33.63,2.0,2.32,2.0,0.187,2.0,0.099,2.0,0.991,4.0,0.355,2.0,2259.8,2.0,2349.9,2.0,-999,9.0,-999,9.0,2.2478
16,09FA20010524,P15S,2.0,1.0,8.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,2499.1,2.11,34.721,2.0,184.3,2.0,87.08,2.0,31.71,2.0,2.17,2.0,0.177,2.0,0.213,3.0,0.888,4.0,-999,9.0,2252.4,2.0,2351.5,2.0,-999,9.0,-999,9.0,1.9274
17,09FA20010524,P15S,2.0,1.0,7.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,2940.7,1.81,34.737,2.0,192.7,2.0,94.67,2.0,31.34,2.0,2.15,2.0,0.058,2.0,0.036,2.0,0.92,4.0,0.176,2.0,2254.1,2.0,2360.6,2.0,-999,9.0,-999,9.0,1.5918
18,09FA20010524,P15S,2.0,1.0,6.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,3190.1,1.63,34.734,2.0,198.1,2.0,100.7,2.0,31.36,2.0,2.18,2.0,0.058,2.0,0.048,2.0,0.934,4.0,-999,9.0,2255.5,2.0,2361.6,2.0,-999,9.0,-999,9.0,1.3915
19,09FA20010524,P15S,2.0,1.0,5.0,9.0,20010527.0,102.0,-49.504,-170.0122,5356,-999,-999,-999,9.0,-999,9.0,37.78,4.0,21.96,4.0,2.05,4.0,1.822,4.0,1.057,4.0,1.122,4.0,2.142,4.0,-999,9.0,-999,9.0,-999,9.0,-999,9.0,-999
20,09FA20010524,P15S,2.0,1.0,4.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,3998.4,1.08,34.709,2.0,204.7,2.0,116.38,2.0,31.99,2.0,2.21,2.0,0.071,2.0,0.061,2.0,0.814,4.0,-999,9.0,2261.2,2.0,2369.6,2.0,-999,9.0,-999,9.0,0.7729
21,09FA20010524,P15S,2.0,1.0,3.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,4500.4,0.96,34.707,2.0,207.3,2.0,121.28,2.0,32.17,2.0,2.24,2.0,0.081,2.0,0.032,2.0,0.887,4.0,0.259,2.0,2261.3,2.0,2369.8,2.0,-999,9.0,-999,9.0,0.6016
22,09FA20010524,P15S,2.0,1.0,2.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,5001.3,0.97,34.705,2.0,208,2.0,123.16,2.0,32.21,2.0,2.24,2.0,0.205,2.0,0.215,3.0,0.995,4.0,-999,9.0,2262.3,2.0,2365.5,6.0,-999,9.0,-999,9.0,0.5534
23,09FA20010524,P15S,2.0,1.0,1.0,2.0,20010527.0,102.0,-49.504,-170.0122,5356,5345.9,0.99,34.706,2.0,208.1,2.0,123.71,2.0,32.76,4.0,2.25,2.0,0.121,2.0,0.165,3.0,0.87,4.0,0.276,2.0,2262.4,6.0,2362.7,2.0,-999,9.0,-999,9.0,0.531
