,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
0,  61TG20030217,  SR03,9.0,1.0,15.0,15.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,      7.8,   0.1260,  33.8680,2.0,  33.8722,2.0,    348.7,2.0,    42.80,2.0,    27.09,2.0,     0.21,2.0,     0.29,2.0,   2159.7,2.0,     0.29,2.0,     0.03,2.0,   0.1257
1,  61TG20030217,  SR03,9.0,1.0,14.0,14.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,     29.8,   0.1130,  33.8720,2.0,-999.0000,9.0,    355.6,2.0,    42.70,2.0,    27.29,2.0,     0.21,2.0,     0.29,2.0,   2159.7,2.0,     0.30,2.0,     0.02,2.0,   0.1120
2,  61TG20030217,  SR03,9.0,1.0,13.0,13.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,     52.9,  -0.3160,  34.3640,2.0,-999.0000,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0,     -999,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -0.3177
3,  61TG20030217,  SR03,9.0,1.0,13.0,13.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,     85.4,   0.1400,  34.4790,2.0,-999.0000,9.0,    252.3,2.0,    71.80,2.0,    32.15,2.0,     0.05,2.0,    -0.01,2.0,   2235.7,2.0,     0.21,2.0,     0.13,2.0,   0.1369
4,  61TG20030217,  SR03,9.0,1.0,12.0,12.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,     99.9,   0.2790,  34.5140,2.0,-999.0000,9.0,    244.7,2.0,    74.20,2.0,    32.08,2.0,     0.02,2.0,    -0.01,2.0,   2239.3,2.0,     0.12,2.0,     0.05,2.0,   0.2752
5,  61TG20030217,  SR03,9.0,1.0,11.0,11.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,    126.6,   0.8030,  34.5800,2.0,-999.0000,9.0,    223.4,2.0,    78.00,2.0,    32.40,2.0,  -999.00,9.0,        0,2.0,   2244.6,2.0,     0.03,2.0,     0.03,2.0,   0.7976
6,  61TG20030217,  SR03,9.0,1.0,10.0,10.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,    151.6,   1.0960,  34.6210,2.0,  34.6258,2.0,    205.5,2.0,    80.10,2.0,    32.20,2.0,  -999.00,9.0,    -0.01,2.0,   2246.8,2.0,     0.01,2.0,     0.02,2.0,   1.0891
7,  61TG20030217,  SR03,9.0,1.0,9.0,9.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,    200.2,   1.3780,  34.6670,2.0,-999.0000,9.0,    196.9,2.0,    83.50,2.0,    32.00,2.0,  -999.00,9.0,    -0.02,2.0,   2249.0,2.0,     0.00,2.0,     0.02,2.0,   1.3683
8,  61TG20030217,  SR03,9.0,1.0,8.0,8.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,    308.4,   1.4840,  34.7040,2.0,  34.7116,2.0,    195.3,2.0,    86.60,2.0,    31.40,2.0,  -999.00,9.0,    -0.03,2.0,   2250.2,2.0,     0.00,2.0,     0.03,2.0,   1.4684
9,  61TG20030217,  SR03,9.0,1.0,7.0,7.0,2.0,20030224.0,1626.0,-65.0,143.0042, 2933,    511.9,   1.2440,  34.7070,2.0,  34.7129,2.0,    201.7,2.0,    91.40,2.0,    31.10,2.0,  -999.00,9.0,    -0.02,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,   1.2183
