,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
0,  09AR20071216,     SAZC,2.0,1.0,24.0,24.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.1,   2.3487,  34.6582,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.026,2.0,    0.001,2.0
1,  09AR20071216,     SAZC,2.0,1.0,23.0,23.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.4,   2.3477,  34.6587,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.027,2.0,    0.001,2.0
2,  09AR20071216,     SAZC,2.0,1.0,22.0,22.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.2,   2.3475,  34.6589,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.025,2.0,    0.001,2.0
3,  09AR20071216,     SAZC,2.0,1.0,21.0,21.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.3,   2.3456,  34.6593,2.0,  34.6584,2.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.025,2.0,    0.001,2.0
4,  09AR20071216,     SAZC,2.0,1.0,20.0,20.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.4,   2.3452,  34.6593,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.026,2.0,    0.001,2.0
5,  09AR20071216,     SAZC,2.0,1.0,19.0,19.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1000.9,   2.3460,  34.6592,2.0,  34.6580,2.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.025,2.0,    0.001,2.0
6,  09AR20071216,     SAZC,2.0,1.0,18.0,18.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.1,   2.3462,  34.6592,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.027,2.0,    0.001,2.0
7,  09AR20071216,     SAZC,2.0,1.0,17.0,17.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.2,   2.3458,  34.6593,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.029,2.0,    0.001,2.0
8,  09AR20071216,     SAZC,2.0,1.0,16.0,16.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1000.9,   2.3459,  34.6593,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.026,2.0,    0.001,2.0
9,  09AR20071216,     SAZC,2.0,1.0,15.0,15.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1001.1,   2.3450,  34.6596,2.0,  34.6584,2.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.026,2.0,    0.001,2.0
10,  09AR20071216,     SAZC,2.0,1.0,14.0,14.0,2.0,20071219.0,218.0,-53.7485,141.828, 2433,   1000.9,   2.3451,  34.6596,2.0,-999.0000,9.0,  -999.00,5.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,   -0.024,2.0,    0.001,2.0
