,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W,XMISS,XMISS_FLAG_W
0,  09AR20060102,  S04I,2.0,1.0,24.0,24.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,      8.4,   0.5232,  33.6946,2.0,  33.6958,2.0,   351.25,2.0,   351.11,2.0,     31.7,2.0,    25.41,2.0,  -999.00,9.0,3.035,2.0,0.0,2.0,0.93,2.0
1,  09AR20060102,  S04I,2.0,1.0,23.0,23.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     20.3,   0.5127,  33.6955,2.0,-999.0000,9.0,   351.68,2.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,2.9139999999999997,2.0,0.0,2.0,0.932,2.0
2,  09AR20060102,  S04I,2.0,1.0,22.0,22.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     20.1,   0.5123,  33.6957,2.0,-999.0000,9.0,   351.68,2.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,3.003,2.0,0.0,2.0,0.929,2.0
3,  09AR20060102,  S04I,2.0,1.0,21.0,21.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     20.0,   0.5106,  33.6958,2.0,  33.6964,2.0,   351.68,2.0,   351.50,2.0,     31.6,2.0,    25.48,2.0,  -999.00,9.0,2.98,2.0,0.0,2.0,0.929,2.0
4,  09AR20060102,  S04I,2.0,1.0,20.0,20.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     30.7,   0.5012,  33.6961,2.0,  33.6972,2.0,   351.92,2.0,   350.62,2.0,     31.6,2.0,    25.44,2.0,  -999.00,9.0,2.955,2.0,0.0,2.0,0.93,2.0
5,  09AR20060102,  S04I,2.0,1.0,19.0,19.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     39.3,   0.2452,  33.7158,2.0,  33.7147,2.0,   350.08,2.0,   351.68,2.0,     32.4,2.0,    25.74,2.0,  -999.00,9.0,3.262,2.0,0.0,2.0,0.934,2.0
6,  09AR20060102,  S04I,2.0,1.0,18.0,18.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     49.1,  -1.0772,  33.8388,2.0,  33.8314,2.0,   342.19,2.0,   344.52,2.0,     39.3,2.0,    27.58,2.0,  -999.00,9.0,1.8090000000000002,2.0,0.0,2.0,0.961,2.0
7,  09AR20060102,  S04I,2.0,1.0,17.0,17.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     60.4,  -1.5576,  33.8923,2.0,-999.0000,9.0,   333.95,2.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,0.8290000000000001,2.0,0.0,2.0,0.977,2.0
8,  09AR20060102,  S04I,2.0,1.0,16.0,16.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     81.0,  -1.5610,  33.9418,2.0,  33.9413,2.0,   325.06,2.0,   326.77,2.0,     45.9,2.0,    29.38,2.0,  -999.00,9.0,0.39899999999999997,2.0,0.0,2.0,0.983,2.0
9,  09AR20060102,  S04I,2.0,1.0,15.0,15.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,     99.0,  -1.4997,  33.9794,2.0,  33.9794,2.0,   316.65,2.0,   318.98,2.0,     49.6,2.0,    29.92,2.0,  -999.00,9.0,0.373,2.0,0.0,2.0,0.981,2.0
10,  09AR20060102,  S04I,2.0,1.0,14.0,14.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    121.3,  -0.8813,  34.0846,2.0,  34.0833,2.0,   295.23,2.0,   287.52,2.0,     56.7,2.0,    31.46,2.0,  -999.00,9.0,0.297,2.0,0.0,2.0,0.983,2.0
11,  09AR20060102,  S04I,2.0,1.0,13.0,13.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    148.5,   0.7804,  34.2939,2.0,  34.2879,2.0,   255.55,2.0,   229.10,2.0,     63.4,2.0,    33.76,2.0,  -999.00,9.0,0.14300000000000002,2.0,0.0,2.0,0.987,2.0
12,  09AR20060102,  S04I,2.0,1.0,12.0,12.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    201.3,   1.8240,  34.4838,2.0,  34.4807,2.0,   205.65,2.0,   184.03,2.0,     72.7,2.0,    34.86,2.0,  -999.00,9.0,0.02,2.0,0.0,2.0,0.9890000000000001,2.0
13,  09AR20060102,  S04I,2.0,1.0,11.0,11.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    300.6,   1.9739,  34.5794,2.0,-999.0000,9.0,   179.05,2.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-0.006999999999999999,2.0,0.0,2.0,0.99,2.0
14,  09AR20060102,  S04I,2.0,1.0,10.0,10.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    398.4,   2.0202,  34.6389,2.0,  34.6381,2.0,   175.41,2.0,   174.47,2.0,     77.8,2.0,    33.49,2.0,  -999.00,9.0,-0.013000000000000001,2.0,0.0,2.0,0.991,2.0
15,  09AR20060102,  S04I,2.0,1.0,9.0,9.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    598.4,   2.0170,  34.7053,2.0,  34.7049,2.0,   180.28,2.0,   181.27,2.0,     81.2,2.0,    31.92,2.0,  -999.00,9.0,-0.022000000000000002,2.0,0.0,2.0,0.991,2.0
16,  09AR20060102,  S04I,2.0,1.0,8.0,8.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,    798.6,   1.9191,  34.7368,2.0,  34.7369,2.0,   188.35,2.0,   189.44,2.0,     81.7,2.0,    30.72,2.0,  -999.00,9.0,-0.027999999999999997,2.0,0.0,2.0,0.992,2.0
17,  09AR20060102,  S04I,2.0,1.0,7.0,7.0,2.0,20060110.0,1549.0,-60.6013,78.537,2971.0,   1000.5,   1.7545,  34.7483,2.0,-999.0000,9.0,   195.46,2.0,  -999.00,9.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,-0.033,2.0,0.0,2.0,0.992,2.0
