,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
0,  06AQ20101128,   A12,21.0,2.0,24.0,2.0,20101207.0,1036.0,-50.2602,1.444, 3870,     25.1,   3.9175,  33.8811,2.0,    334.8,2.0,     9.70,2.0,    20.91,2.0,     0.20,2.0,     1.33,2.0,   2124.5,6.0,   2287.2,6.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.9158
1,  06AQ20101128,   A12,21.0,2.0,23.0,2.0,20101207.0,2143.0,-50.2602,1.444, 3870,     50.4,   3.8914,  33.8806,2.0,    332.7,2.0,     9.67,2.0,    21.11,2.0,     0.19,2.0,     1.33,2.0,   2124.9,6.0,   2286.3,6.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.8880
2,  06AQ20101128,   A12,21.0,2.0,22.0,2.0,20101207.0,2225.0,-50.2602,1.444, 3870,     76.2,   3.7879,  33.8853,2.0,    329.5,2.0,    10.87,2.0,    21.56,2.0,     0.19,2.0,     1.38,2.0,   2130.6,2.0,   2288.7,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   3.7829
3,  06AQ20101128,   A12,21.0,2.0,21.0,2.0,20101207.0,2246.0,-50.2602,1.444, 3870,    101.7,   2.5523,  33.9266,2.0,    319.5,2.0,    15.58,2.0,    24.26,2.0,     0.17,2.0,     1.70,2.0,   2145.4,2.0,   2278.3,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.5466
4,  06AQ20101128,   A12,21.0,2.0,20.0,2.0,20101207.0,2307.0,-50.2602,1.444, 3870,    150.8,   2.1235,  33.9891,2.0,    304.1,2.0,    21.45,2.0,    27.61,2.0,     0.03,2.0,     1.89,2.0,   2168.4,2.0,   2282.6,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1155
5,  06AQ20101128,   A12,21.0,2.0,19.0,2.0,20101207.0,2327.0,-50.2602,1.444, 3870,    202.3,   1.9178,  34.0527,2.0,    280.8,2.0,    26.78,2.0,    29.27,2.0,     0.02,2.0,     2.00,2.0,   2172.6,2.0,   2308.0,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.9073
6,  06AQ20101128,   A12,21.0,2.0,18.0,2.0,20101207.0,9.0,-50.2602,1.444, 3870,    203.1,   1.9157,  34.0548,2.0,    282.3,2.0,    27.10,2.0,    29.30,2.0,     0.02,2.0,     2.01,2.0,   2174.3,2.0,   2298.4,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.9052
7,  06AQ20101128,   A12,21.0,2.0,17.0,2.0,20101207.0,30.0,-50.2602,1.444, 3870,    301.2,   2.1663,  34.2292,2.0,    229.4,2.0,    41.66,2.0,    32.29,2.0,     0.01,2.0,     2.23,2.0,   2198.5,2.0,   2303.6,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.1497
8,  06AQ20101128,   A12,21.0,2.0,15.0,2.0,20101207.0,50.0,-50.2602,1.444, 3870,    505.5,   2.4300,  34.4462,2.0,    181.1,2.0,    61.68,2.0,    34.24,2.0,     0.00,2.0,     2.38,2.0,   2240.7,2.0,   2339.9,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.4000
9,  06AQ20101128,   A12,21.0,2.0,14.0,2.0,20101207.0,111.0,-50.2602,1.444, 3870,    606.1,   2.3921,  34.5132,2.0,    174.7,2.0,    67.73,2.0,    34.21,2.0,     0.00,2.0,     2.38,2.0,   2245.6,2.0,   2335.8,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.3558
10,  06AQ20101128,   A12,21.0,2.0,12.0,2.0,20101207.0,133.0,-50.2602,1.444, 3870,    808.1,   2.2733,  34.6003,2.0,    173.9,2.0,    75.99,2.0,    33.50,2.0,     0.00,2.0,     2.32,2.0,   2250.2,2.0,   2348.2,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.2242
11,  06AQ20101128,   A12,21.0,2.0,11.0,2.0,20101207.0,154.0,-50.2602,1.444, 3870,   1011.4,   2.2939,  34.6920,2.0,    182.3,2.0,    76.52,2.0,    31.51,2.0,     0.00,2.0,     2.19,2.0,   2244.4,2.0,   2350.0,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.2304
12,  06AQ20101128,   A12,21.0,2.0,10.0,2.0,20101207.0,222.0,-50.2602,1.444, 3870,   1265.5,   2.1597,  34.7405,2.0,    191.7,2.0,    75.42,2.0,    29.73,2.0,     0.00,2.0,     2.06,2.0,   2235.6,2.0,   -999.0,9.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   2.0789
13,  06AQ20101128,   A12,21.0,2.0,8.0,2.0,20101207.0,244.0,-50.2602,1.444, 3870,   2030.0,   1.4981,  34.7434,2.0,    204.6,2.0,    93.25,2.0,    29.86,2.0,     0.00,2.0,     2.08,2.0,   2245.7,2.0,   -999.0,9.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   1.3665
14,  06AQ20101128,   A12,21.0,2.0,7.0,2.0,20101207.0,305.0,-50.2602,1.444, 3870,   2536.1,   1.0387,  34.7154,2.0,    206.6,2.0,   107.24,2.0,    30.98,2.0,     0.00,2.0,     2.17,2.0,   2253.0,2.0,   2363.7,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.8731
15,  06AQ20101128,   A12,21.0,2.0,6.0,2.0,20101207.0,326.0,-50.2602,1.444, 3870,   3049.4,   0.6983,  34.6959,2.0,    211.0,2.0,   117.34,2.0,    31.77,2.0,     0.00,2.0,     2.22,2.0,   2258.2,2.0,   2363.4,2.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.4947
16,  06AQ20101128,   A12,21.0,2.0,5.0,2.0,20101207.0,348.0,-50.2602,1.444, 3870,   3375.2,   0.6162,  34.6905,2.0,    213.2,2.0,   120.85,2.0,    32.05,2.0,     0.00,2.0,     2.24,2.0,   2259.8,2.0,   -999.0,9.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.3843
17,  06AQ20101128,   A12,21.0,2.0,4.0,2.0,20101207.0,411.0,-50.2602,1.444, 3870,   3629.4,   0.5973,  34.6888,2.0,    212.9,2.0,   122.91,2.0,    32.08,2.0,     0.00,2.0,     2.24,2.0,   2258.6,2.0,   -999.0,9.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.3413
18,  06AQ20101128,   A12,21.0,2.0,2.0,2.0,20101207.0,432.0,-50.2602,1.444, 3870,   3834.0,   0.6006,  34.6876,2.0,    213.4,2.0,   123.63,2.0,    32.02,2.0,     0.00,2.0,     2.25,2.0,   2259.3,2.0,   -999.0,9.0,   -999.0,9.0,   -999.0,  -999.00,9.0,   0.3241
