,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
0,  29HE20020304,   A17,1.0,1.0,1.0,20020306.0,-48.351,-53.668, 5990,   2975.0,   1.6310,  34.7350,2.0,    202.1,2.0,    98.99,2.0,    31.92,2.0,     0.19,2.0,     2.16,2.0,   2360.3,2.0,7.6103,    25.00,2.0,   1.4134
1,  29HE20020304,   A17,1.0,1.0,2.0,20020306.0,-48.351,-53.668, 5990,   2758.0,   1.9260,  34.7650,2.0,    203.7,2.0,    87.96,2.0,    30.76,2.0,     0.17,2.0,     2.01,2.0,   2354.1,2.0,7.6283,    25.00,2.0,   1.7227
2,  29HE20020304,   A17,1.0,1.0,3.0,20020306.0,-48.351,-53.668, 5990,   2561.0,   2.1870,  34.7840,2.0,    209.0,2.0,    80.44,2.0,    29.91,2.0,     0.14,2.0,     2.00,2.0,   2351.0,2.0,7.6403,    25.00,2.0,   1.9970
3,  29HE20020304,   A17,1.0,1.0,4.0,20020306.0,-48.351,-53.668, 5990,   2361.0,   2.3410,  34.7850,2.0,    209.7,2.0,    76.90,2.0,    29.63,2.0,     0.11,2.0,     2.04,2.0,   2344.6,2.0,7.6433,    25.00,2.0,   2.1667
4,  29HE20020304,   A17,1.0,1.0,5.0,20020306.0,-48.351,-53.668, 5990,   2171.0,   2.5990,  34.8020,2.0,    212.5,2.0,    67.31,2.0,    29.08,2.0,     0.09,2.0,     1.89,2.0,   2335.2,2.0,7.6513,    25.00,2.0,   2.4376
5,  29HE20020304,   A17,1.0,1.0,6.0,20020306.0,-48.351,-53.668, 5990,   1971.0,   2.6810,  34.7810,2.0,    206.7,2.0,    65.96,2.0,    29.06,2.0,     0.15,2.0,     1.90,2.0,   2336.3,2.0,7.6433,    25.00,2.0,   2.5363
6,  29HE20020304,   A17,1.0,1.0,7.0,20020306.0,-48.351,-53.668, 5990,   1775.0,   2.7080,  34.7390,2.0,    193.3,2.0,    67.73,2.0,    27.69,2.0,     0.13,2.0,     1.74,2.0,   2342.8,2.0,7.6163,    25.00,2.0,   2.5801
7,  29HE20020304,   A17,1.0,1.0,8.0,20020306.0,-48.351,-53.668, 5990,   1581.0,   2.6680,  34.6700,2.0,    183.7,2.0,    74.23,2.0,    32.41,2.0,     0.14,2.0,     2.10,2.0,   2338.6,2.0,7.5883,    25.00,2.0,   2.5571
8,  29HE20020304,   A17,1.0,1.0,9.0,20020306.0,-48.351,-53.668, 5990,   1382.0,   2.6980,  34.6060,2.0,    179.3,2.0,    73.54,2.0,    33.63,2.0,     0.13,2.0,     2.17,2.0,   2335.0,2.0,7.5764,    25.00,2.0,   2.6030
9,  29HE20020304,   A17,1.0,1.0,10.0,20020306.0,-48.351,-53.668, 5990,   1183.0,   2.7460,  34.5270,2.0,    179.4,2.0,    71.91,2.0,    34.01,2.0,     0.09,2.0,     2.13,2.0,   2332.7,2.0,7.5694,    25.00,2.0,   2.6663
10,  29HE20020304,   A17,1.0,1.0,11.0,20020306.0,-48.351,-53.668, 5990,    991.0,   2.7890,  34.4330,2.0,    186.9,2.0,    64.33,2.0,    34.56,2.0,     0.10,2.0,     2.23,2.0,   2322.4,2.0,7.5714,    25.00,2.0,   2.7235
11,  29HE20020304,   A17,1.0,1.0,12.0,20020306.0,-48.351,-53.668, 5990,    789.0,   2.9280,  34.2960,2.0,    218.8,2.0,    51.08,2.0,    33.44,2.0,     0.09,2.0,     2.19,2.0,   2306.4,2.0,7.6014,    25.00,2.0,   2.8765
12,  29HE20020304,   A17,1.0,1.0,13.0,20020306.0,-48.351,-53.668, 5990,    592.0,   3.3440,  34.1970,2.0,    251.1,2.0,    28.81,2.0,    31.21,2.0,     0.05,2.0,     1.98,2.0,   2293.7,2.0,7.6494,    25.00,2.0,   3.3044
13,  29HE20020304,   A17,1.0,1.0,14.0,20020306.0,-48.351,-53.668, 5990,    480.0,   3.5910,  34.1760,2.0,    266.9,2.0,    23.63,2.0,    29.71,2.0,     0.07,2.0,     1.85,2.0,   2289.8,2.0,7.6794,    25.00,2.0,   3.5584
14,  29HE20020304,   A17,1.0,1.0,15.0,20020306.0,-48.351,-53.668, 5990,    393.0,   3.8000,  34.1650,2.0,    276.3,2.0,    11.14,2.0,    25.94,2.0,     0.05,2.0,     1.61,2.0,   2286.9,2.0,7.6894,    25.00,2.0,   3.7729
15,  29HE20020304,   A17,1.0,1.0,16.0,20020306.0,-48.351,-53.668, 5990,    293.0,   4.3000,  34.1710,2.0,    270.3,2.0,    13.18,2.0,    29.14,2.0,     0.02,2.0,     1.75,2.0,   2283.1,2.0,7.7034,    25.00,2.0,   4.2789
16,  29HE20020304,   A17,1.0,1.0,17.0,20020306.0,-48.351,-53.668, 5990,    203.0,   4.9420,  34.2000,2.0,    245.8,2.0,    10.82,2.0,    28.48,2.0,     0.07,2.0,     1.77,2.0,   2279.6,2.0,7.7114,    25.00,2.0,   4.9265
17,  29HE20020304,   A17,1.0,1.0,18.0,20020306.0,-48.351,-53.668, 5990,    147.0,   5.9910,  34.2660,2.0,    255.5,2.0,     5.87,2.0,    20.21,2.0,     0.07,2.0,     1.43,2.0,   2280.7,2.0,7.7144,    25.00,2.0,   5.9786
18,  29HE20020304,   A17,1.0,1.0,19.0,20020306.0,-48.351,-53.668, 5990,    117.0,   6.6930,  34.2920,2.0,    256.8,2.0,     7.09,2.0,    21.53,2.0,     0.08,2.0,     1.56,2.0,   2280.1,2.0,7.7384,    25.00,2.0,   6.6825
19,  29HE20020304,   A17,1.0,1.0,20.0,20020306.0,-48.351,-53.668, 5990,     99.0,   7.2240,  34.3170,2.0,    260.1,2.0,     5.87,2.0,    20.03,2.0,     0.11,2.0,     1.52,2.0,   2280.9,2.0,7.7474,    25.00,2.0,   7.2147
