,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
0,09AR20011029, SR03,7.0,1.0,24.0,24.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,     10.4,  13.3550,  35.3410,2.0,  35.3430,2.0,    266.6,3.0,    258.3,2.0,     1.80,2.0,     4.24,2.0,     4.24,     0.34,2.0,    3.167,3.0,    1.843,3.0,    0.770,4.0,   2075.7,2.0,   2320.7,2.0,  13.3570,2.0
1,09AR20011029, SR03,7.0,1.0,23.0,23.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,     29.6,  13.3630,  35.3420,4.0,  35.3430,2.0,    252.8,2.0,    258.2,2.0,     1.80,2.0,     4.22,2.0,     4.22,     0.34,2.0,    3.144,3.0,    1.827,3.0,    0.800,4.0,   2075.2,2.0,   2321.7,2.0,  13.3620,2.0
2,09AR20011029, SR03,7.0,1.0,22.0,22.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,     60.9,  13.3620,  35.3430,4.0,  35.3430,2.0,    260.0,2.0,    258.1,2.0,     1.80,2.0,     4.60,2.0,     4.60,     0.36,2.0,    3.184,3.0,    1.849,3.0,    0.730,4.0,   2075.0,2.0,   2322.9,2.0,  13.3570,2.0
3,09AR20011029, SR03,7.0,1.0,21.0,21.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,     91.3,  13.2450,  35.3200,4.0,  35.3190,2.0,    258.1,2.0,    257.1,2.0,     2.10,2.0,     7.24,2.0,     7.24,     0.50,2.0,    3.179,3.0,    1.843,3.0,    0.830,4.0,   2076.5,2.0,   2321.1,2.0,  13.2350,2.0
4,09AR20011029, SR03,7.0,1.0,20.0,20.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    131.6,  12.5830,  35.2260,4.0,  35.2260,2.0,    262.1,2.0,    248.4,2.0,     1.40,2.0,     4.82,2.0,     4.82,     0.34,2.0,    3.216,3.0,    1.833,3.0,    0.870,4.0,   2093.0,2.0,   2316.8,2.0,  12.5680,2.0
5,09AR20011029, SR03,7.0,1.0,19.0,19.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    160.0,  12.3680,  35.1980,4.0,  35.2100,3.0,    248.8,2.0,    251.5,2.0,     2.10,2.0,     7.71,2.0,     7.71,     0.53,2.0,    3.284,3.0,    1.883,3.0,    0.870,4.0,   2092.2,2.0,   2315.2,2.0,  12.3500,2.0
6,09AR20011029, SR03,7.0,1.0,18.0,718.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    200.9,  12.1850,  35.1740,3.0,  35.1760,2.0,    252.2,2.0,    254.4,2.0,     2.50,2.0,     9.34,2.0,     9.34,     0.61,2.0,    3.306,6.0,    1.898,6.0,    0.820,4.0,   2092.8,2.0,   -999.0,9.0,  12.1610,2.0
7,09AR20011029, SR03,7.0,1.0,17.0,17.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    254.2,  11.7440,  35.0860,3.0,  35.0890,2.0,    251.0,2.0,    249.1,2.0,     2.30,2.0,     9.42,2.0,     9.42,     0.62,2.0,    3.298,3.0,    1.856,3.0, -999.000,5.0,   2099.9,2.0,   2310.5,2.0,  11.7140,2.0
8,09AR20011029, SR03,7.0,1.0,16.0,16.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    298.9,  10.9680,  34.9340,3.0,  34.9380,2.0,    248.4,2.0,    253.4,2.0,     3.70,2.0,    14.86,2.0,    14.86,     0.95,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2104.1,2.0,   2305.3,2.0,  10.9340,2.0
9,09AR20011029, SR03,7.0,1.0,15.0,15.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    401.8,   9.3850,  34.6560,2.0,  34.6570,2.0,    253.8,2.0,    257.0,2.0,     5.60,2.0,    17.76,2.0,    17.76,     1.11,2.0,    3.745,3.0,    2.093,3.0,    0.920,4.0,   2113.3,2.0,   2293.5,2.0,   9.3420,2.0
10,09AR20011029, SR03,7.0,1.0,14.0,14.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    501.3,   9.1200,  34.6390,2.0,  34.6400,2.0,    233.9,2.0,    236.7,2.0,     6.80,2.0,    19.36,2.0,    19.36,     1.22,2.0,    3.465,3.0,    1.948,3.0,    0.280,4.0,   2128.3,6.0,   2292.6,2.0,   9.0670,2.0
11,09AR20011029, SR03,7.0,1.0,13.0,13.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    600.2,   8.6880,  34.5910,4.0,  34.5920,2.0,    234.6,2.0,    232.1,2.0,    10.40,2.0,    22.39,2.0,    22.39,     1.42,2.0,    3.313,3.0,    1.767,3.0,    0.670,4.0,   2133.7,2.0,   2288.3,6.0,   8.6250,2.0
12,09AR20011029, SR03,7.0,1.0,12.0,12.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    698.1,   8.1470,  34.5560,2.0,  34.5570,2.0,    210.4,2.0,    213.0,2.0,    15.50,2.0,    24.75,2.0,    24.75,     1.57,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   8.0760,2.0
13,09AR20011029, SR03,7.0,1.0,11.0,11.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,    850.9,   7.0790,  34.4870,2.0,  34.5080,4.0,    194.4,2.0,    203.5,2.0,     9.50,4.0,    12.72,4.0,    12.72,     0.80,4.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   6.9970,4.0
14,09AR20011029, SR03,7.0,1.0,10.0,10.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   1000.6,   5.9700,  34.4550,4.0, -999.0000,9.0,    185.5,2.0,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,  -999.00,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   5.8810,9.0
15,09AR20011029, SR03,7.0,1.0,9.0,9.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   1201.0,   4.2190,  34.3970,2.0,  34.3990,2.0,    187.4,2.0,    192.6,2.0,    43.50,2.0,    31.77,2.0,    31.77,     2.07,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   4.1260,2.0
16,09AR20011029, SR03,7.0,1.0,8.0,8.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   1400.1,   3.4570,  34.5020,2.0,  34.5030,2.0,    171.6,2.0,    168.2,2.0,    43.50,4.0,    19.19,4.0,    19.19,     1.51,4.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   3.3530,4.0
17,09AR20011029, SR03,7.0,1.0,7.0,7.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   1599.4,   2.8020,  34.5710,2.0,  34.5710,2.0,    168.9,2.0,    167.2,2.0,    50.60,4.0,    21.00,4.0,    21.00,     1.77,4.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   2.6890,4.0
18,09AR20011029, SR03,7.0,1.0,6.0,6.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   1802.1,   2.5950,  34.6130,2.0,  34.6140,2.0,    170.1,2.0,    169.3,2.0,    79.80,2.0,    33.83,2.0,    33.83,     2.25,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   2.4670,2.0
19,09AR20011029, SR03,7.0,1.0,5.0,5.0,2.0,20011031.0,1738.0,-45.219,145.839, 2808,  -999.00,   2000.4,   2.4410,  34.6540,3.0,  34.6550,2.0,   -999.0,5.0,    171.0,2.0,    86.30,2.0,    33.47,2.0,    33.47,     2.21,2.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,   2.2980,2.0
