,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
0,  740H20090203,  SR01,1.0,1.0,1.0,1.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   4472.2,   1.0650,  34.7122,2.0,  34.7139,2.0,    198.1,    205.6,2.0,   119.58,2.0,    33.53,2.0,     2.23,2.0,   2263.4,2.0,   2365.9,6.0
1,  740H20090203,  SR01,1.0,1.0,2.0,2.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   4421.3,   1.0589,  34.7122,2.0,  34.7137,2.0,    197.3,    200.9,2.0,   118.87,2.0,    33.63,2.0,     2.24,2.0,   2262.3,2.0,   2368.2,6.0
2,  740H20090203,  SR01,1.0,1.0,3.0,3.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   3810.4,   1.1344,  34.7154,2.0,  34.7167,2.0,    193.4,    197.1,2.0,   114.38,2.0,    33.44,2.0,     2.21,2.0,   2262.8,2.0,   -999.0,9.0
3,  740H20090203,  SR01,1.0,1.0,4.0,4.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   3552.7,   1.3022,  34.7187,2.0,  34.7237,2.0,    189.4,    193.5,2.0,   109.92,2.0,    33.36,2.0,     2.20,2.0,   2262.9,2.0,   2371.0,6.0
4,  740H20090203,  SR01,1.0,1.0,5.0,5.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   3294.3,   1.5026,  34.7213,2.0,  34.7229,2.0,    184.8,    189.1,2.0,   104.38,2.0,    33.43,2.0,     2.21,2.0,   2264.2,2.0,   2368.5,6.0
5,  740H20090203,  SR01,1.0,1.0,6.0,6.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   3037.6,   1.6323,  34.7194,2.0,  34.7213,2.0,    180.5,    184.2,2.0,   101.64,2.0,    33.42,2.0,     2.22,2.0,   2258.3,2.0,   2369.3,6.0
6,  740H20090203,  SR01,1.0,1.0,7.0,7.0,3.0,20090205.0,1622.0,-57.13,-68.25, 4482,   2781.1,   1.8086,  34.7115,2.0,-999.0000,9.0,    173.5,   -999.0,9.0,    28.38,4.0,    26.55,4.0,     1.81,4.0,   -999.0,9.0,   -999.0,9.0
7,  740H20090203,  SR01,1.0,1.0,8.0,8.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   2525.4,   1.9254,  34.6963,2.0,  34.6961,2.0,    165.5,    169.1,2.0,   101.57,4.0,    34.89,4.0,     2.31,4.0,   -999.0,9.0,   2376.1,6.0
8,  740H20090203,  SR01,1.0,1.0,9.0,9.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   2269.9,   2.1580,  34.6925,2.0,  34.6940,2.0,    171.0,    175.0,2.0,    86.97,2.0,    34.03,2.0,     2.24,2.0,   2259.9,2.0,   2354.9,6.0
9,  740H20090203,  SR01,1.0,1.0,10.0,10.0,2.0,20090205.0,1622.0,-57.13,-68.25, 4482,   2015.9,   2.2881,  34.6582,2.0,  34.6594,2.0,    166.9,    170.5,2.0,    82.61,2.0,    34.72,2.0,     2.29,2.0,   2261.0,2.0,   2353.8,6.0
