,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
0,  09AR20030103,   UNK,2.0,1.0,24.0,24.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,      9.2,   1.0001,  33.8619,2.0,  33.8609,2.0,   -999.0,5.0,  0.9999,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
1,  09AR20030103,   UNK,2.0,1.0,23.0,23.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,     49.0,   0.3110,  33.8928,2.0,-999.0000,9.0,   -999.0,5.0,  0.3093,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
2,  09AR20030103,   UNK,2.0,1.0,22.0,22.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,     49.1,   0.3097,  33.8925,2.0,-999.0000,9.0,   -999.0,5.0,  0.3080,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
3,  09AR20030103,   UNK,2.0,1.0,21.0,21.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,     49.1,   0.3022,  33.8929,2.0,  33.8914,2.0,   -999.0,5.0,  0.3005,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
4,  09AR20030103,   UNK,2.0,1.0,20.0,20.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    100.0,  -0.1308,  34.2253,2.0,  34.2223,2.0,   -999.0,5.0, -0.1342,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
5,  09AR20030103,   UNK,2.0,1.0,19.0,19.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    150.4,   1.5384,  34.5052,2.0,  34.5022,2.0,   -999.0,5.0,  1.5314,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
6,  09AR20030103,   UNK,2.0,1.0,18.0,18.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    199.4,   1.6999,  34.5823,2.0,  34.5815,2.0,   -999.0,5.0,  1.6901,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
7,  09AR20030103,   UNK,2.0,1.0,17.0,17.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    248.0,   1.6749,  34.6122,2.0,  34.6113,2.0,   -999.0,5.0,  1.6626,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
8,  09AR20030103,   UNK,2.0,1.0,16.0,16.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    298.2,   1.7862,  34.6483,2.0,  34.6464,2.0,   -999.0,5.0,  1.7709,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
9,  09AR20030103,   UNK,2.0,1.0,15.0,15.0,2.0,20030111.0,1141.0,-61.249,104.8963,4250.0,-999.0,    298.2,   1.7872,  34.6486,2.0,  34.6474,2.0,   -999.0,5.0,  1.7719,   -999.0,9.0,  -999.00,9.0,  -999.00,9.0,  -999.00,9.0
