,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
0,  35MF20080207,   A12,55.0,1.0,1.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   4435.8,   0.8620,  34.7040,2.0,  34.7167,2.0,    213.3,2.0,    212.7,2.0,   118.35,2.0,    32.40,2.0,     2.18,2.0,         -999,9.0,    0.363,2.0,    0.144,2.0,    0.001,2.0,    0.366,2.0,   2261.5,2.0,   2364.4,2.0,7.6298,2.0,    25.00,   0.5138
1,  35MF20080207,   A12,55.0,1.0,2.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   4003.0,   0.9610,  34.7140,2.0,  34.7289,2.0,    213.0,2.0,    212.6,2.0,   117.57,2.0,    32.16,2.0,     2.15,2.0,         -999,9.0,    0.302,2.0,    0.133,2.0,   -0.005,2.0,    0.340,2.0,   2257.8,2.0,   2363.3,2.0,7.6354,2.0,    25.00,   0.6567
2,  35MF20080207,   A12,55.0,1.0,3.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   3753.3,   1.1450,  34.7260,2.0,  34.7401,2.0,    211.9,2.0,    211.7,2.0,   108.28,2.0,    31.46,2.0,     2.10,2.0,         -999,9.0,    0.243,2.0,    0.110,2.0,   -0.003,2.0,    0.271,2.0,   2253.3,2.0,   2360.4,2.0,7.6404,2.0,    25.00,   0.8617
3,  35MF20080207,   A12,55.0,1.0,4.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   3499.8,   1.3130,  34.7380,2.0,  34.7391,2.0,    210.0,2.0,    210.0,2.0,   103.25,2.0,    31.46,2.0,     2.06,2.0,         -999,9.0,    0.220,2.0,    0.101,2.0,   -0.005,2.0,    0.259,2.0,   2251.4,2.0,   2356.6,2.0,7.6455,2.0,    25.00,   1.0512
4,  35MF20080207,   A12,55.0,1.0,5.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   3246.6,   1.4690,  34.7483,2.0,  34.7475,2.0,    208.5,2.0,    208.9,2.0,   100.54,2.0,    30.99,2.0,     2.04,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2247.8,2.0,   2356.3,2.0,7.6446,2.0,    25.00,   1.2286
5,  35MF20080207,   A12,55.0,1.0,6.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   2990.7,   1.6450,  34.7619,2.0,  34.7596,2.0,    208.5,2.0,    208.2,2.0,    94.35,2.0,    30.52,2.0,     2.00,2.0,         -999,9.0,    0.219,2.0,    0.082,2.0,   -0.010,2.0,    0.212,2.0,   2247.0,2.0,   2353.6,2.0,7.6522,2.0,    25.00,   1.4254
6,  35MF20080207,   A12,55.0,1.0,7.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   2752.7,   1.8690,  34.7730,2.0,  34.7807,2.0,    208.4,2.0,    208.0,2.0,    87.77,2.0,    30.29,2.0,     1.96,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2245.5,2.0,   2349.5,2.0,7.6486,2.0,    25.00,   1.6673
7,  35MF20080207,   A12,55.0,1.0,8.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   2499.5,   2.0910,  34.7800,2.0,  34.7816,2.0,    206.8,2.0,    206.7,2.0,    81.19,2.0,    29.59,2.0,     1.94,2.0,         -999,9.0,    0.170,2.0,    0.078,2.0,   -0.008,2.0,    0.217,2.0,   2244.2,2.0,   2346.6,2.0,7.6457,2.0,    25.00,   1.9085
8,  35MF20080207,   A12,55.0,1.0,9.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   2251.8,   2.3670,  34.7924,2.0,  34.7943,2.0,    209.0,2.0,    209.4,2.0,    67.02,2.0,    28.88,2.0,     1.84,3.0,         -999,9.0,    0.185,2.0,    0.069,2.0,    0.001,2.0,    0.201,2.0,   -999.0,9.0,   2340.7,2.0,-999.0,9.0,  -999.00,   2.2021
9,  35MF20080207,   A12,55.0,1.0,10.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   2001.4,   2.4860,  34.7730,2.0,  34.7734,2.0,    201.2,2.0,    200.9,2.0,    67.36,2.0,    29.59,2.0,     1.93,2.0,         -999,9.0,    0.207,2.0,    0.069,2.0,    0.001,2.0,    0.274,2.0,   2244.0,2.0,   2339.5,2.0,7.6428,2.0,    25.00,   2.3416
10,  35MF20080207,   A12,55.0,1.0,11.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   1749.6,   2.6150,  34.7300,2.0,  34.7318,2.0,    191.1,2.0,    191.2,2.0,    67.02,2.0,    31.23,2.0,     2.04,2.0,         -999,9.0,    0.272,2.0,    0.118,2.0,   -0.003,2.0,    0.385,2.0,   -999.0,9.0,   2338.0,2.0,-999.0,9.0,  -999.00,   2.4905
11,  35MF20080207,   A12,55.0,1.0,12.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   1497.7,   2.6910,  34.6693,2.0,  34.6711,2.0,    184.0,2.0,    183.9,2.0,    66.32,2.0,    32.63,2.0,     2.14,2.0,         -999,9.0,    1.488,4.0,    0.243,2.0,    0.009,2.0,    0.529,2.0,   -999.0,9.0,   2335.1,2.0,-999.0,9.0,  -999.00,   2.5866
12,  35MF20080207,   A12,55.0,1.0,13.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,   1298.2,   2.6280,  34.5961,2.0,  34.5805,2.0,    179.1,2.0,    177.5,2.0,    68.05,2.0,    34.04,2.0,     2.27,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2243.9,2.0,   2330.6,2.0,7.5891,2.0,    25.00,   2.5404
13,  35MF20080207,   A12,55.0,1.0,14.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,    995.6,   2.7900,  34.4368,2.0,  34.4412,2.0,    189.6,2.0,    189.1,2.0,    57.31,2.0,    34.27,2.0,     2.30,2.0,         -999,9.0,    1.104,2.0,    0.506,2.0,    0.050,2.0,    1.331,2.0,   2224.5,2.0,   2317.7,2.0,7.5955,2.0,    25.00,   2.7242
14,  35MF20080207,   A12,55.0,1.0,15.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,    751.5,   2.9750,  34.2808,2.0,  34.2843,2.0,    218.3,2.0,    217.5,2.0,    41.37,2.0,    33.34,2.0,     2.19,2.0,         -999,9.0,    2.334,2.0,    1.096,2.0,    0.125,2.0,    2.606,2.0,   2203.8,2.0,   2299.2,2.0,7.6209,2.0,    25.00,   2.9259
15,  35MF20080207,   A12,55.0,1.0,16.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,    400.9,   4.0180,  34.1602,2.0,  34.1505,2.0,    257.3,2.0,    259.5,2.0,    17.47,2.0,    29.12,2.0,     1.87,2.0,         -999,9.0,    4.061,2.0,    1.959,2.0,    0.266,2.0,    4.072,2.0,   2163.0,2.0,   2279.9,2.0,7.6814,2.0,    25.00,   3.9897
16,  35MF20080207,   A12,55.0,1.0,17.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,    299.4,   4.5210,  34.1531,2.0,  34.1549,2.0,    262.8,2.0,    262.4,2.0,    12.61,2.0,    27.95,2.0,     1.76,2.0,         -999,9.0,    4.299,2.0,    2.117,2.0,    0.296,2.0,    4.213,2.0,   2157.0,2.0,   2277.2,2.0,7.6975,2.0,    25.00,   4.4989
17,  35MF20080207,   A12,55.0,1.0,18.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,    129.3,   6.0500,  34.1450,2.0,  34.1411,2.0,    288.3,2.0,    287.3,2.0,     4.99,2.0,    22.09,2.0,     1.44,2.0,         -999,9.0,    4.465,2.0,    2.256,2.0,    0.336,2.0,    5.010,2.0,   2120.3,2.0,   2272.3,2.0,7.755,2.0,    25.00,   6.0391
18,  35MF20080207,   A12,55.0,1.0,19.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,     88.5,   7.4180,  34.0341,2.0,  34.0765,2.0,    293.2,2.0,    290.0,2.0,     1.53,2.0,    18.34,2.0,     1.30,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2100.6,2.0,   2271.9,2.0,7.7944,2.0,    25.00,   7.4096
19,  35MF20080207,   A12,55.0,1.0,20.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,     47.9,   8.6420,  33.8340,2.0,  33.8336,2.0,    288.8,2.0,    288.6,2.0,     0.14,2.0,    18.10,2.0,     1.18,2.0,         -999,9.0,    3.906,2.0,    2.012,2.0,    0.280,2.0,    4.564,2.0,   2091.6,2.0,   2262.7,2.0,7.8244,2.0,    25.00,   8.6371
20,  35MF20080207,   A12,55.0,1.0,21.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,     25.5,   8.6510,  33.8340,2.0,  33.8321,2.0,    290.3,2.0,    288.0,2.0,     0.14,2.0,    18.10,2.0,     1.18,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2085.9,2.0,   2262.2,2.0,7.8211,2.0,    25.00,   8.6484
21,  35MF20080207,   A12,55.0,1.0,24.0,2.0,20080302.0,542.0,-45.3295,6.5015, 4380,      8.6,   8.6570,  33.8340,2.0,  33.8306,2.0,    287.0,2.0,    288.1,2.0,     0.14,2.0,    18.34,2.0,     1.18,2.0,         -999,9.0,    3.971,2.0,    2.029,2.0,    0.282,2.0,    4.909,2.0,   2083.1,2.0,   2262.7,2.0,7.8206,2.0,    25.00,   8.6561
22,  35MF20080207,   A12,56.0,1.0,1.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   4332.4,   0.9040,  34.7090,2.0,  34.7104,2.0,    213.4,2.0,    213.1,2.0,   117.28,2.0,    32.43,2.0,     2.23,2.0,         -999,9.0,    0.645,2.0,    0.157,2.0,    0.001,2.0,    0.311,2.0,   2261.1,2.0,   2364.4,2.0,7.6371,2.0,    25.00,   0.5660
23,  35MF20080207,   A12,56.0,1.0,2.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   4003.3,   0.9000,  34.7117,2.0,  34.7133,2.0,    213.7,2.0,    213.9,2.0,   116.46,2.0,    32.43,2.0,     2.21,2.0,         -999,9.0,    0.475,2.0,    0.146,2.0,    0.026,2.0,    0.334,2.0,   2259.7,2.0,   2364.2,2.0,7.6391,2.0,    25.00,   0.5975
24,  35MF20080207,   A12,56.0,1.0,3.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   3753.5,   0.9370,  34.7176,2.0,  34.7181,2.0,    213.6,2.0,    214.4,2.0,   113.21,2.0,    31.73,2.0,     2.18,2.0,         -999,9.0,    0.371,2.0,    0.118,2.0,   -0.003,2.0,    0.280,2.0,   2260.3,2.0,   2364.8,2.0,7.6426,2.0,    25.00,   0.6594
25,  35MF20080207,   A12,56.0,1.0,4.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   3497.7,   1.0970,  34.7330,2.0,  34.7332,2.0,    214.0,2.0,    215.0,2.0,   109.95,2.0,    31.49,2.0,     2.11,2.0,         -999,9.0,    0.282,2.0,    0.094,2.0,   -0.001,2.0,    0.201,2.0,   2254.0,2.0,   2362.1,2.0,7.644,2.0,    25.00,   0.8409
26,  35MF20080207,   A12,56.0,1.0,5.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   3254.6,   1.3250,  34.7410,2.0,  34.7421,2.0,    210.0,2.0,    211.2,2.0,   101.81,2.0,    31.49,2.0,     2.09,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2250.2,2.0,   2358.7,2.0,7.6445,2.0,    25.00,   1.0873
27,  35MF20080207,   A12,56.0,1.0,6.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   3003.4,   1.5300,  34.7510,2.0,  34.7524,2.0,    208.2,2.0,    208.3,2.0,    96.92,2.0,    31.02,2.0,     2.04,2.0,         -999,9.0,    0.414,2.0,    0.097,2.0,    0.001,2.0,    0.179,2.0,   2250.6,2.0,   2355.4,2.0,7.6509,2.0,    25.00,   1.3118
28,  35MF20080207,   A12,56.0,1.0,7.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   2749.6,   1.7630,  34.7650,2.0,  34.7692,2.0,    208.3,2.0,    208.9,2.0,    87.97,2.0,    30.31,2.0,     2.01,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2243.7,2.0,   2352.7,2.0,7.6546,2.0,    25.00,   1.5638
29,  35MF20080207,   A12,56.0,1.0,8.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   2497.5,   1.9890,  34.7800,2.0,  34.7793,2.0,    208.1,2.0,    209.0,2.0,    79.83,2.0,    29.84,2.0,     2.00,2.0,         -999,9.0,    0.256,2.0,    0.081,2.0,    0.006,2.0,    0.117,2.0,   2239.4,2.0,   2348.2,2.0,7.6617,2.0,    25.00,   1.8086
30,  35MF20080207,   A12,56.0,1.0,9.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   2248.3,   2.1840,  34.7790,2.0,  34.7806,2.0,    204.6,2.0,    204.6,2.0,    74.94,2.0,    29.84,2.0,     2.01,2.0,         -999,9.0,    0.520,2.0,    0.102,2.0,    0.014,2.0,    0.150,2.0,   2238.3,2.0,   -999.0,9.0,7.6583,2.0,    25.00,   2.0226
31,  35MF20080207,   A12,56.0,1.0,10.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   1999.7,   2.3510,  34.7680,2.0,  34.7457,2.0,    199.3,2.0,    200.1,2.0,    70.46,2.0,    30.07,2.0,     2.00,2.0,         -999,9.0,    0.444,2.0,    0.133,2.0,    0.023,2.0,    0.267,2.0,   2235.9,2.0,   2342.3,2.0,7.6454,2.0,    25.00,   2.2089
32,  35MF20080207,   A12,56.0,1.0,11.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   1758.3,   2.5170,  34.7398,2.0,  34.7276,2.0,    191.8,2.0,    192.9,2.0,    70.82,2.0,    31.02,2.0,     2.05,2.0,         -999,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0, -999.000,9.0,   2239.4,2.0,   2339.6,2.0,7.6374,2.0,    25.00,   2.3931
33,  35MF20080207,   A12,56.0,1.0,12.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   1494.7,   2.6300,  34.6794,2.0,  34.6759,2.0,    183.1,2.0,    183.8,2.0,    67.94,2.0,    32.67,2.0,     2.21,2.0,         -999,9.0,    0.364,2.0,    0.148,2.0,   -0.003,2.0,    0.372,2.0,   2244.2,2.0,   2337.9,2.0,7.6158,2.0,    25.00,   2.5266
34,  35MF20080207,   A12,56.0,1.0,13.0,2.0,20080302.0,1527.0,-45.6117,6.2315, 4280,   1204.8,   2.5950,  34.5494,2.0,  34.5453,2.0,    177.1,2.0,    177.8,2.0,    67.22,2.0,    34.79,2.0,     2.36,2.0,         -999,9.0,    0.710,2.0,    0.319,2.0,    0.020,2.0,    0.810,2.0,   2248.4,2.0,   2330.9,2.0,7.594,2.0,    25.00,   2.5150
