,EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,THETA
0,  06AQ20080210,   A12,103.0,1.0,1.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   3148.2,   1.3200,  34.7380,2.0,    198.1,2.0,    98.77,2.0,    30.59,2.0,     0.01,2.0,     2.11,2.0, -999.000,9.0, -999.000,9.0,   2253.1,2.0,   2362.8,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   1.0927
1,  06AQ20080210,   A12,103.0,1.0,2.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   3047.7,   1.3840,  34.7420,2.0,    206.0,2.0,    96.43,2.0,    30.46,2.0,     0.01,2.0,     2.10,2.0, -999.000,9.0, -999.000,9.0,   2250.0,2.0,   2365.4,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   1.1649
2,  06AQ20080210,   A12,103.0,1.0,3.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   2536.6,   1.8110,  34.7690,2.0,    206.6,2.0,    82.08,2.0,    29.15,2.0,     0.02,2.0,     1.99,2.0, -999.000,9.0, -999.000,9.0,   2241.3,2.0,   2353.8,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   1.6304
3,  06AQ20080210,   A12,103.0,1.0,4.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   2026.8,   2.3340,  34.7800,2.0,    198.3,2.0,    69.10,2.0,    28.56,2.0,     0.02,2.0,     1.95,2.0, -999.000,9.0, -999.000,9.0,   2233.5,2.0,   2350.2,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.1896
4,  06AQ20080210,   A12,103.0,1.0,5.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   1768.4,   2.4850,  34.7500,2.0,    187.4,2.0,    68.42,2.0,    30.23,2.0,     0.02,2.0,     2.03,2.0, -999.000,9.0, -999.000,9.0,   2240.3,3.0,   2348.6,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.3606
5,  06AQ20080210,   A12,103.0,1.0,6.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   1768.9,   2.4850,  34.7500,2.0,    187.2,2.0,    68.61,2.0,    29.52,2.0,     0.01,2.0,     2.03,2.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.3606
6,  06AQ20080210,   A12,103.0,1.0,7.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   1518.8,   2.5690,  34.7040,2.0,    176.4,2.0,    67.84,2.0,    30.95,2.0,     0.01,2.0,     2.13,2.0, -999.000,9.0, -999.000,9.0,   2243.2,2.0,   2343.7,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.4643
7,  06AQ20080210,   A12,103.0,1.0,8.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   1267.5,   2.5510,  34.6110,2.0,    179.0,2.0,    68.82,2.0,    32.92,2.0,     0.02,2.0,     2.27,2.0, -999.000,9.0, -999.000,9.0,   2249.1,2.0,   2341.6,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.4665
8,  06AQ20080210,   A12,103.0,1.0,9.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,   1011.7,   2.6580,  34.4880,2.0,    177.1,2.0,    60.92,2.0,    33.78,2.0,     0.01,2.0,     2.33,2.0, -999.000,9.0, -999.000,9.0,   2242.5,2.0,   2329.2,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.5919
9,  06AQ20080210,   A12,103.0,1.0,10.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    758.5,   2.8460,  34.3270,2.0,    207.6,2.0,    44.81,2.0,    40.96,3.0,     0.02,2.0,     2.26,2.0, -999.000,9.0, -999.000,9.0,   2218.6,2.0,   2312.6,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   2.7971
10,  06AQ20080210,   A12,103.0,1.0,11.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    504.1,   3.2020,  34.1840,2.0,    231.4,2.0,    26.56,2.0,    36.16,3.0,     0.02,2.0,     2.06,2.0, -999.000,9.0, -999.000,9.0,   2187.2,2.0,   2295.1,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.1692
11,  06AQ20080210,   A12,103.0,1.0,12.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    503.4,   3.2030,  34.1850,2.0,    232.2,2.0,    26.27,2.0,    30.16,2.0,     0.02,2.0,     2.06,2.0, -999.000,9.0, -999.000,9.0,   2187.4,2.0,   2294.9,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.1703
12,  06AQ20080210,   A12,103.0,1.0,13.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    407.9,   3.4450,  34.1610,2.0,    230.9,2.0,    21.77,2.0,    28.92,2.0,     0.02,2.0,     1.99,2.0, -999.000,9.0, -999.000,9.0,   2177.0,2.0,   2289.3,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.4180
13,  06AQ20080210,   A12,103.0,1.0,14.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    302.8,   3.9710,  34.1370,2.0,    246.6,2.0,    15.53,2.0,    27.25,2.0,     0.02,2.0,     1.88,2.0, -999.000,9.0, -999.000,9.0,   2164.6,2.0,   2284.4,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   3.9500
14,  06AQ20080210,   A12,103.0,1.0,15.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    253.6,   4.2300,  34.1250,2.0,    233.6,2.0,    12.69,2.0,    26.04,2.0,     0.02,2.0,     1.81,2.0, -999.000,9.0, -999.000,9.0,   2157.0,2.0,   2281.4,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.2120
15,  06AQ20080210,   A12,103.0,1.0,16.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    203.1,   4.4270,  34.0780,2.0,    260.6,2.0,     9.08,2.0,    23.96,2.0,     0.02,2.0,     1.67,2.0, -999.000,9.0, -999.000,9.0,   2141.8,2.0,   2278.9,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4123
16,  06AQ20080210,   A12,103.0,1.0,17.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    204.9,   4.4310,  34.0780,2.0,    264.2,2.0,     8.98,2.0,    23.93,2.0,     0.02,2.0,     1.66,2.0, -999.000,9.0, -999.000,9.0,   -999.0,9.0,   -999.0,9.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.4162
17,  06AQ20080210,   A12,103.0,1.0,18.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    152.2,   4.8320,  33.9840,2.0,    257.0,2.0,     6.84,2.0,    22.50,2.0,     0.05,2.0,     1.57,2.0, -999.000,9.0, -999.000,9.0,   2129.9,2.0,   2274.7,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.8206
18,  06AQ20080210,   A12,103.0,1.0,19.0,2.0,20080216.0,401.0,-45.9999,5.881, 3312,    100.8,   4.9340,  33.8690,2.0,    267.0,2.0,     5.66,2.0,    21.02,2.0,     0.51,2.0,     1.61,2.0, -999.000,9.0, -999.000,9.0,   2129.4,2.0,   2274.5,2.0,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,   4.9264
