,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CHLORA,CHLORA_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,HELIER,DELHE3,DELHE3_FLAG_W,DELHER,NEON,NEON_FLAG_W,NEONER,DELC13,DELC13_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM555,CDOM555_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,THETA
0,  33RO20071215,   P18,128.0,1.0,36.0,12017.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,      5.4,  12.7232,  34.0191,  34.0179,2.0,    268.0,2.0,    267.1,2.0,     0.80,2.0,    13.80,2.0,     0.25,2.0,     1.03,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2068.0,6.0,   2260.6,2.0,    543.1,2.0,       20,7.8467,2.0,    25.00,     50.8,2.0,    17.96,2.0,     0.12,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0804,2.0,   0.0516,2.0,   0.0152,2.0,   0.0109,2.0,   0.0069,2.0,   0.0017,2.0,  -0.0006,4.0,   0.0228,2.0,   0.0302,2.0,  12.7225
1,  33RO20071215,   P18,128.0,1.0,35.0,12029.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,      9.4,  12.7226,  34.0247,  34.0269,2.0,    268.2,2.0,    267.3,2.0,     0.80,2.0,    13.70,2.0,     0.25,2.0,     1.03,2.0,    3.269,2.0,    1.904,2.0,    1.548,2.0, -999.000,9.0,   2069.5,2.0,   2265.9,2.0,   -999.0,9.0,     -999,7.8489,2.0,    25.00,     50.8,2.0,    18.28,2.0,     0.12,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,     1.62,2.0,   0.0717,2.0,   0.0447,2.0,   0.0120,2.0,   0.0084,2.0,   0.0047,2.0,   0.0000,4.0,  -0.0015,4.0,   0.0303,2.0,   0.0343,2.0,  12.7213
2,  33RO20071215,   P18,128.0,1.0,34.0,12049.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,     33.1,  12.2685,  34.0715,  34.0715,2.0,    270.3,2.0,    270.0,2.0,     0.80,2.0,    13.90,2.0,     0.23,2.0,     1.04,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2073.2,2.0,   2265.8,2.0,   -999.0,9.0,     -999,7.8431,2.0,    25.00,     49.3,2.0,    18.70,2.0,     0.13,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,  12.2642
3,  33RO20071215,   P18,128.0,1.0,33.0,12027.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,     58.6,  10.9659,  34.0901,  34.0927,2.0,    276.8,2.0,    278.0,2.0,     1.20,2.0,    14.20,2.0,     0.21,2.0,     1.07,2.0,    3.591,2.0,    2.062,2.0,   1.5702,2.0, -999.000,9.0,   2078.1,2.0,   2267.8,2.0,    566.2,6.0,       20,7.8329,2.0,    25.00,     48.6,2.0,    17.74,2.0,     0.13,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0679,2.0,   0.0410,2.0,   0.0151,2.0,   0.0100,2.0,   0.0056,2.0,   0.0005,3.0,  -0.0012,4.0,   0.0225,2.0,   0.0280,2.0,  10.9588
4,  33RO20071215,   P18,128.0,1.0,32.0,12023.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,     83.8,   9.5681,  34.1083,  34.1097,2.0,    282.2,2.0,    282.2,2.0,     1.60,2.0,    14.50,2.0,     0.25,2.0,     1.10,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2084.7,2.0,   2267.9,2.0,   -999.0,9.0,     -999,7.8234,2.0,    25.00,     48.2,2.0,    17.63,2.0,     0.12,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0692,2.0,   0.0426,2.0,   0.0176,2.0,   0.0118,2.0,   0.0065,2.0,   0.0011,2.0,  -0.0008,4.0,   0.0195,2.0,   0.0244,2.0,   9.5588
5,  33RO20071215,   P18,128.0,1.0,31.0,12037.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    107.6,   8.6335,  34.1321,  34.1310,2.0,    272.6,2.0,    273.4,2.0,     1.80,2.0,    15.50,2.0,     0.36,2.0,     1.17,2.0,    3.929,2.0,    2.214,2.0,   1.7136,2.0, -999.000,9.0,   2094.7,2.0,   2269.6,2.0,    626.1,2.0,       20,7.7977,2.0,    25.00,     47.9,2.0,    18.29,2.0,     0.13,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,-999.0000,5.0,   8.6223
6,  33RO20071215,   P18,128.0,1.0,30.0,12036.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    133.1,   8.0147,  34.1410,  34.1465,2.0,    278.9,2.0,    278.0,2.0,     2.40,2.0,    16.70,2.0,     0.25,2.0,     1.24,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2101.1,2.0,   2272.5,2.0,   -999.0,9.0,     -999,7.7895,2.0,    25.00,     47.8,2.0,    19.08,2.0,     0.08,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0691,2.0,   0.0431,2.0,   0.0196,2.0,   0.0142,2.0,   0.0080,2.0,   0.0021,2.0,  -0.0002,4.0,   0.0166,2.0,   0.0214,2.0,   8.0014
7,  33RO20071215,   P18,128.0,1.0,29.0,12044.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    157.6,   7.6340,  34.1873,  34.2001,2.0,    268.1,2.0,    264.0,2.0,     3.40,2.0,    19.00,2.0,     0.08,2.0,     1.35,2.0,    4.175,2.0,    2.301,2.0,   1.6371,2.0, -999.000,9.0,   2114.7,2.0,   2268.1,2.0,    702.2,2.0,       20,7.7584,2.0,    25.00,     47.6,2.0,    21.23,2.0,     0.07,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0697,2.0,   0.0428,2.0,   0.0195,2.0,   0.0146,2.0,   0.0077,2.0,   0.0017,2.0,  -0.0004,4.0,   0.0164,2.0,   0.0215,2.0,   7.6187
8,  33RO20071215,   P18,128.0,1.0,28.0,12057.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    182.0,   7.1972,  34.2363,  34.2337,2.0,    263.1,2.0,    260.5,2.0,     4.10,2.0,    20.00,2.0,     0.02,2.0,     1.41,2.0, -999.000,9.0, -999.000,9.0,     -999,9.0, -999.000,9.0,   2122.5,2.0,   2270.9,2.0,   -999.0,9.0,     -999,7.7422,2.0,    25.00,     47.5,2.0,    22.20,2.0,     0.05,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0748,2.0,   0.0470,2.0,   0.0220,2.0,   0.0166,2.0,   0.0093,2.0,   0.0028,2.0,   0.0002,3.0,   0.0157,2.0,   0.0202,2.0,   7.1801
9,  33RO20071215,   P18,128.0,1.0,27.0,12026.0,2.0,20080131.0,1223.0,-45.5842,-102.9998, 3879,    216.7,   6.8914,  34.2704,  34.2718,2.0,    258.9,2.0,    258.8,2.0,     5.30,2.0,    21.00,2.0,     0.01,2.0,     1.47,2.0,    4.238,2.0,    2.289,2.0,   1.4459,2.0, -999.000,9.0,   2129.5,2.0,   2272.7,2.0,    746.0,2.0,       20,7.737,2.0,    25.00,     46.8,2.0,    23.05,2.0,     0.02,2.0, -999.000,9.0, -999.000,-999.0000,9.0,-999.0000,  -999.00,9.0,  -999.00, -999.000,9.0, -999.000,  -999.00,9.0,   0.0692,2.0,   0.0421,2.0,   0.0182,2.0,   0.0130,2.0,   0.0066,2.0,   0.0011,2.0,  -0.0008,4.0,   0.0181,2.0,   0.0235,2.0,   6.8715
