,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,ALUMIN,ALUMIN_FLAG_W,DELO18,DELO18_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,BTL_LAT,BTL_LON,DELSI30,DELSI30_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM443,CDOM443_FLAG_W,CDOMSN,CDOMSN_FLAG_W,BLACKC,BLACKC_FLAG_W,CDOM490,CDOM490_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOM555,CDOM555_FLAG_W,DELHER,HELIER
0,33RR20080204,       I06S,37.0,3.0,36.0,36.0,2.0,20080217.0,125.0,-45.499,29.9984,       5863,     4.7,   9.4566,  34.0153,2.0,  34.0149,2.0,    285.2,2.0,   285.6,2.0,    1.01,2.0,   15.30,2.0,    0.23,2.0,    1.11,2.0,   3.961,2.0,   2.266,2.0,   0.372,2.0,  2090.4,6.0,  2274.5,2.0,8.0291,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   9.4554,2.0,    1.65,2.0,    -3.6,2.0,     2.8,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   45.46,2.0, -999.00,1.0,-45.4984,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
1,33RR20080204,       I06S,37.0,3.0,35.0,35.0,2.0,20080217.0,123.0,-45.499,29.9984,       5863,    29.7,   9.4309,  34.0124,2.0,  34.0124,2.0,    287.3,2.0,   286.0,2.0,    0.82,2.0,   15.31,2.0,    0.23,2.0,    1.11,2.0,   3.961,2.0,   2.268,2.0,   0.374,2.0,  2090.6,2.0,  2274.0,2.0,8.0304,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   9.4275,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   46.34,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
2,33RR20080204,       I06S,37.0,3.0,34.0,34.0,2.0,20080217.0,122.0,-45.499,29.9984,       5863,    49.4,   9.3792,  34.0104,2.0,  34.0120,2.0,    287.4,2.0,   286.6,2.0,    0.82,2.0,   15.31,2.0,    0.23,2.0,    1.11,2.0,   3.989,2.0,   2.290,2.0,   0.375,2.0,  2090.5,2.0,  2273.5,2.0,8.0311,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   9.3789,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   48.10,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
3,33RR20080204,       I06S,37.0,3.0,33.0,33.0,2.0,20080217.0,120.0,-45.499,29.9984,       5863,    79.8,   7.8918,  34.0491,2.0,  34.0587,2.0,    293.5,2.0,   293.8,2.0,    1.18,2.0,   15.93,2.0,    0.25,2.0,    1.21,2.0,   4.292,2.0,   2.447,2.0,   0.387,2.0,  2098.9,2.0,  2274.0,2.0,8.0096,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   7.9811,3.0,    1.70,2.0,    -0.8,2.0,     2.7,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   46.54,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
4,33RR20080204,       I06S,37.0,3.0,32.0,32.0,2.0,20080217.0,119.0,-45.499,29.9984,       5863,   109.7,   6.0512,  33.9832,2.0,  33.9809,2.0,    295.0,2.0,   299.7,2.0,    3.37,2.0,   18.60,2.0,    0.31,2.0,    1.44,2.0,   4.772,2.0,   2.659,2.0,   0.423,2.0,  2117.2,2.0,  2270.4,2.0,7.9585,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   6.0518,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   47.32,2.0, -999.00,1.0,-45.4983,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
5,33RR20080204,       I06S,37.0,3.0,31.0,31.0,2.0,20080217.0,117.0,-45.499,29.9984,       5863,   155.9,   6.2272,  34.0749,2.0,  34.0726,2.0,    287.2,2.0,   291.1,2.0,    4.46,2.0,   18.67,2.0,    0.69,2.0,    1.41,2.0,   4.572,2.0,   2.587,2.0,   0.435,2.0,  2119.0,2.0,  2272.5,2.0,7.9531,3.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   6.2242,2.0,    1.49,2.0,     5.3,2.0,     3.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   45.76,2.0, -999.00,1.0,-45.4984,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
6,33RR20080204,       I06S,37.0,3.0,30.0,30.0,2.0,20080217.0,115.0,-45.499,29.9984,       5863,   209.5,   5.7578,  34.1115,2.0,  34.1214,2.0,    284.7,2.0,   282.5,2.0,    5.74,2.0,   20.67,2.0,    0.03,2.0,    1.46,2.0,   4.533,2.0,   2.557,2.0,   0.410,2.0,  -999.0,9.0,  2272.6,2.0,7.9377,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   5.7751,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   45.76,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
7,33RR20080204,       I06S,37.0,3.0,29.0,29.0,2.0,20080217.0,112.0,-45.499,29.9984,       5863,   258.9,   6.2123,  34.3003,2.0,  34.2981,2.0,    242.2,2.0,   245.7,2.0,   10.12,2.0,   23.03,2.0,    0.02,2.0,    1.60,2.0,   3.958,2.0,   2.193,2.0,   0.340,2.0,  2146.5,2.0,  2281.8,2.0,7.8996,3.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   6.2200,2.0,    1.14,2.0,     4.1,2.0,     3.6,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   45.37,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
8,33RR20080204,       I06S,37.0,3.0,28.0,28.0,2.0,20080217.0,110.0,-45.499,29.9984,       5863,   309.2,   5.4328,  34.2370,2.0,  34.2342,2.0,    250.1,2.0,   250.3,2.0,   10.49,2.0,   24.74,2.0,    0.02,2.0,    1.70,2.0,   4.243,2.0,   2.324,2.0,   0.381,2.0,  -999.0,9.0,  2278.2,2.0,7.8792,3.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   5.4343,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   44.29,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
9,33RR20080204,       I06S,37.0,3.0,27.0,27.0,2.0,20080217.0,108.0,-45.499,29.9984,       5863,   359.4,   4.8483,  34.1860,2.0,  34.1842,2.0,    230.5,2.0,   255.3,2.0,   11.58,2.0,   25.89,2.0,    0.01,2.0,    1.78,2.0,   4.385,2.0,   2.393,2.0,   0.387,2.0,  2154.4,2.0,  2275.6,2.0,7.8714,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   4.8477,2.0,    1.14,2.0,   -11.3,2.0,     3.2,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   42.73,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
10,33RR20080204,       I06S,37.0,3.0,26.0,26.0,2.0,20080217.0,106.0,-45.499,29.9984,       5863,   409.5,   5.3957,  34.3174,2.0,  34.3180,2.0,    254.1,2.0,   226.1,2.0,   18.18,2.0,   26.85,2.0,    0.01,2.0,    1.85,2.0,   3.380,2.0,   1.806,2.0,   0.280,2.0,  -999.0,9.0,  2288.3,2.0,7.8556,3.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   5.3866,2.0,    1.03,2.0,   -15.5,2.0,     3.0,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-45.4983,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
11,33RR20080204,       I06S,37.0,3.0,25.0,25.0,2.0,20080217.0,103.0,-45.499,29.9984,       5863,   460.0,   4.3933,  34.1852,2.0,  34.1953,2.0,    251.7,2.0,   250.1,2.0,   15.60,2.0,   27.10,2.0,    0.01,2.0,    1.86,2.0,   4.063,2.0,   2.201,2.0,   0.366,2.0,  2161.0,2.0,  2280.7,2.0,7.8593,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   4.4030,2.0,    1.15,2.0,   -20.6,2.0,     2.9,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   41.56,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
12,33RR20080204,       I06S,37.0,3.0,24.0,24.0,2.0,20080217.0,101.0,-45.499,29.9984,       5863,   509.9,   4.5974,  34.2570,2.0,  34.2572,2.0,    248.6,2.0,   235.4,2.0,   20.38,2.0,   27.91,2.0,    0.01,2.0,    1.92,2.0,   3.461,2.0,   1.849,2.0,   0.268,2.0,  -999.0,9.0,  2287.6,2.0,7.8461,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   4.6045,2.0,    1.09,2.0,   -39.6,2.0,     2.8,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0, -999.00,9.0, -999.00,9.0,-45.4983,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
13,33RR20080204,       I06S,37.0,3.0,23.0,23.0,2.0,20080217.0,58.0,-45.499,29.9984,       5863,   610.6,   4.0415,  34.2517,2.0,  34.2502,2.0,    233.8,2.0,   233.5,2.0,   25.34,2.0,   29.22,2.0,    0.01,2.0,    2.01,2.0,   3.182,2.0,   1.683,2.0,   0.237,2.0,  2180.0,2.0,  2291.4,2.0,7.8336,3.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   4.0423,2.0,    1.06,2.0,   -52.1,2.0,     3.2,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   42.34,2.0, -999.00,1.0,-45.4984,29.9991,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
14,33RR20080204,       I06S,37.0,3.0,22.0,22.0,2.0,20080217.0,53.0,-45.499,29.9984,       5863,   811.9,   3.4991,  34.3296,2.0,  34.3279,2.0,    207.6,2.0,   208.1,2.0,   39.36,2.0,   31.65,2.0,    0.00,2.0,    2.19,2.0,   2.128,2.0,   1.070,2.0,   0.152,2.0,  -999.0,9.0,  2304.1,2.0,7.7961,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   3.5039,2.0,    0.87,2.0,   -83.8,2.0,     3.2,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   33.95,4.0, -999.00,1.0,-45.4982,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
15,33RR20080204,       I06S,37.0,3.0,21.0,21.0,2.0,20080217.0,48.0,-45.499,29.9984,       5863,  1010.9,   3.0713,  34.4193,2.0,  34.4127,3.0,    188.1,2.0,   190.1,2.0,   52.71,2.0,   33.17,2.0,    0.00,2.0,    2.30,2.0,   1.277,2.0,   0.643,2.0,   0.075,2.0,  2233.3,6.0,  2315.6,2.0,7.7674,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   3.0646,2.0,    0.67,2.0,   -91.8,2.0,     3.1,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   39.32,2.0, -999.00,1.0,-45.4983,29.9991,-999.0,1.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
16,33RR20080204,       I06S,37.0,3.0,20.0,20.0,2.0,20080217.0,44.0,-45.499,29.9984,       5863,  1212.7,   2.8961,  34.5386,2.0,  34.5366,2.0,    176.8,2.0,   176.5,2.0,   63.11,2.0,   33.21,2.0,    0.00,2.0,    2.31,2.0,   0.526,2.0,   0.287,2.0,   0.027,2.0,  -999.0,9.0,  2329.3,2.0,7.7616,2.0,    13.00,-999.000,9.0,-999.000,-999.000,9.0, -999.00,9.0,   2.8965,2.0,    0.57,2.0,  -106.2,2.0,     3.5,-999.000,9.0,-999.000,  -999.0,9.0, -999.00,9.0,   38.44,2.0, -999.00,1.0,-45.4983,29.9992,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0,-999.0,9.0,-999.0000,9.0,-999.0000,9.0,-999.0000,9.0, -999.00,-999.000
