,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,SF6,SF6_FLAG_W
0,33RO20161119,        P18,158.0,1.0,1.0,11010.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  3891.1,   1.1803,  34.7094,2.0,  34.7084,2.0,    192.7,2.0,   192.8,2.0,   122.0,2.0,    32.9,2.0,    0.01,2.0,   2.295,2.0,   0.0057,2.0,   0.0035,2.0,  2279.8,6.0,  2391.3,3.0,7.6036,6.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0413,2.0
1,33RO20161119,        P18,158.0,1.0,2.0,11101.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  3591.5,   1.2023,  34.7097,2.0,  34.7086,2.0,    191.3,2.0,   191.2,2.0,   121.0,2.0,    32.8,2.0,    0.00,2.0,   2.288,2.0,   0.0067,2.0,   0.0038,2.0,  2277.9,2.0,  2382.7,6.0,7.603,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0000,2.0
2,33RO20161119,        P18,158.0,1.0,3.0,11102.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  3289.8,   1.5117,  34.7108,2.0,  34.7098,2.0,    183.6,2.0,   184.6,2.0,   112.7,6.0,    32.9,6.0,    0.00,6.0,   2.293,6.0,   0.0163,2.0,   0.0088,2.0,  2275.1,2.0,  2378.0,2.0,7.5942,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0000,2.0
3,33RO20161119,        P18,158.0,1.0,4.0,11103.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  3025.6,   1.6433,  34.7068,2.0,  34.7062,2.0,    178.3,2.0,   178.3,2.0,   110.4,6.0,    33.1,6.0,    0.01,6.0,   2.316,6.0,   0.0147,2.0,   0.0067,2.0,  2276.3,2.0,  2377.4,2.0,7.5857,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0436,2.0
4,33RO20161119,        P18,158.0,1.0,5.0,11104.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  2719.1,   1.7834,  34.7012,2.0,  34.7005,2.0,    173.3,2.0,   173.6,2.0,   107.0,6.0,    33.4,6.0,    0.01,6.0,   2.337,6.0,   0.0224,2.0,   0.0111,2.0,  2278.6,2.0,  2374.2,2.0,7.5814,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0000,2.0
5,33RO20161119,        P18,158.0,1.0,6.0,11105.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  2440.5,   1.9763,  34.6922,2.0,  34.6940,2.0,    170.3,2.0,   170.5,2.0,   100.0,6.0,    33.3,6.0,    0.01,6.0,   2.330,6.0,   0.0427,2.0,   0.0202,2.0,  2276.7,2.0,  2370.7,2.0,7.575,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0588,2.0
6,33RO20161119,        P18,158.0,1.0,7.0,11106.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  2135.1,   2.1978,  34.6598,2.0,  34.6582,2.0,    165.1,2.0,   165.3,2.0,    92.8,2.0,    33.7,2.0,    0.01,2.0,   2.368,2.0,   0.0654,2.0,   0.0309,2.0,  2272.6,2.0,  2362.7,2.0,7.5627,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0606,2.0
7,33RO20161119,        P18,158.0,1.0,8.0,11107.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  1845.5,   2.4435,  34.6062,2.0,  34.6112,2.0,    161.9,2.0,   162.7,2.0,    83.4,2.0,    34.4,2.0,    0.00,2.0,   2.411,2.0,   0.1821,2.0,   0.0870,2.0,  2267.5,2.0,  2351.7,2.0,7.5544,6.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0456,2.0
8,33RO20161119,        P18,158.0,1.0,9.0,11108.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  1525.5,   2.8165,  34.4994,2.0,  34.4993,2.0,    166.0,2.0,   167.0,2.0,    67.9,2.0,    34.8,2.0,    0.00,2.0,   2.425,2.0,   0.5631,3.0,   0.2717,3.0,  2253.2,6.0,  2331.2,2.0,7.5464,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.1039,3.0
9,33RO20161119,        P18,158.0,1.0,10.0,11109.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  1315.7,   3.2138,  34.4280,2.0,-999.0000,9.0,    165.8,2.0,   165.4,2.0,    58.1,2.0,    35.2,2.0,    0.01,2.0,   2.459,2.0,   0.4880,2.0,   0.2362,2.0,  2242.7,2.0,  2323.7,6.0,7.5423,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.0961,2.0
10,33RO20161119,        P18,158.0,1.0,11.0,11110.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  1184.8,   3.5290,  34.3617,2.0,  34.3632,2.0,    185.1,2.0,   187.3,6.0,    45.1,2.0,    33.4,2.0,    0.01,2.0,   2.328,2.0,   1.1798,2.0,   0.5716,2.0,  2220.6,2.0,  2311.0,2.0,7.572,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.2662,2.0
11,33RO20161119,        P18,158.0,1.0,12.0,11111.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,  1050.6,   4.0877,  34.3158,2.0,  34.3148,2.0,    201.0,2.0,   201.2,2.0,    33.7,2.0,    31.6,2.0,    0.01,2.0,   2.198,2.0,   1.7255,6.0,   0.8505,6.0,  2200.5,2.0,  2297.7,2.0,7.5977,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.3589,6.0
12,33RO20161119,        P18,158.0,1.0,13.0,11112.0,2.0,20170112.0,2.0,-45.0017,-103.0006,       3776,   930.3,   4.5667,  34.2892,2.0,  34.2885,2.0,    210.9,2.0,   211.2,2.0,    25.7,2.0,    30.0,2.0,    0.01,2.0,   2.087,2.0,   2.2370,2.0,   1.1191,2.0,  2189.0,2.0,  2289.8,2.0,7.617,2.0,    25.00, -999.00,9.0, -999.00,9.0,     0.5574,2.0
