,EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,PH_SWS,PH_SWS_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,N2O,N2O_FLAG_W,SALTREF,SALTREF_FLAG_W,HELIUM,HELIUM_FLAG_W,14C_DIC,14C_DIC_FLAG_W,OXY_18,OXY_18_FLAG_W,SIG0,SIGMA-1,SIGMA-2,SIGMA-3,SIGMA-4,CCL4,CCL4_FLAG_W
0,33RO20131223,       A16S,79.0,1.0,24.0,24.0,2.0,20140119.0,1544.0,-45.0,-30.9042,       4817,     4.2,   9.0611,  34.1301,2.0,  34.1314,2.0,    286.5,2.0,   286.3,2.0,     1.3,2.0,    14.5,2.0,    0.18,2.0,   1.079,2.0,   3.741,2.0,   2.122,2.0,   2.287,2.0,  2095.2,6.0, 2277.29,2.0,-999.0000,9.0, -999.00,7.8254,2.0,       25,-999.000,9.0,   9.0608,2.0,    1.80,2.0,    -6.5,2.0,     3.1,  52.90164957,2.0,        17.94,2.0,     4.2,     10.778,2.0,    34.2923,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     26.425,30.906999999999996,35.289,39.573,43.762,     -999.0,9.0
1,33RO20131223,       A16S,79.0,1.0,23.0,23.0,2.0,20140119.0,1543.0,-45.0,-30.9042,       4817,     9.6,   9.0575,  34.1304,2.0,  34.1302,2.0,    286.7,2.0,   286.3,2.0,     1.3,2.0,    14.5,2.0,    0.18,2.0,   1.080,2.0,   3.782,2.0,   2.146,2.0,   2.277,2.0,  2095.9,2.0, 2280.22,6.0,-999.0000,9.0, -999.00,7.8282,2.0,       25,-999.000,9.0,   9.0541,2.0, -999.00,9.0,  -999.0,9.0,  -999.0,  52.85694227,2.0,        17.87,2.0,     9.6,     10.816,2.0,    34.2911,2.0,     -999.0,9.0,-999.0,9.0,-999.0,9.0,     26.427,30.909000000000002,35.291,39.576,43.765,     -999.0,9.0
2,33RO20131223,       A16S,79.0,1.0,22.0,22.0,2.0,20140119.0,1541.0,-45.0,-30.9042,       4817,    37.7,   8.9875,  34.1363,2.0,  34.1358,2.0,    286.4,2.0,   286.7,2.0,     1.4,2.0,    14.6,2.0,    0.18,2.0,   1.093,2.0,   3.759,2.0,   2.144,2.0,   2.301,2.0,  2097.7,2.0, 2282.14,2.0,-999.0000,9.0, -999.00,7.825,2.0,       25,-999.000,9.0,    8.987,2.0,    1.75,2.0,    -8.6,2.0,     2.1,  50.77060164,2.0,        17.85,2.0,    37.7,     10.842,2.0,    34.2968,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     26.443,30.926,35.309,39.595,43.786,     -999.0,9.0
3,33RO20131223,       A16S,79.0,1.0,21.0,21.0,2.0,20140119.0,1539.0,-45.0,-30.9042,       4817,    68.2,   7.2306,  34.0269,2.0,  34.0326,2.0,    291.1,2.0,   294.3,2.0,     1.8,2.0,    17.3,2.0,    0.17,2.0,   1.274,2.0,   4.167,6.0,   2.338,2.0,   2.411,6.0,  2109.1,2.0, 2280.91,2.0,-999.0000,9.0, -999.00,7.7929,2.0,       25,-999.000,9.0,   7.2406,2.0,    1.73,2.0,   -26.1,6.0,     1.4,  48.95250481,2.0,        20.85,2.0,    68.2,     11.722,6.0,    34.1931,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,      26.62,31.145,35.568000000000005,39.893,44.121,     -999.0,9.0
4,33RO20131223,       A16S,79.0,1.0,20.0,20.0,2.0,20140119.0,1537.0,-45.0,-30.9042,       4817,     118,   5.6729,  34.1216,2.0,  34.1210,2.0,    289.2,2.0,   282.5,2.0,     5.9,2.0,    21.3,2.0,    0.28,2.0,   1.538,2.0,   4.380,2.0,   2.425,2.0,   2.327,2.0,  2136.4,2.0, 2282.13,2.0,-999.0000,9.0, -999.00,7.7241,2.0,       25,-999.000,9.0,   5.6704,2.0,    1.37,6.0,   -21.3,6.0,     2.2,  45.73357927,2.0,        25.06,2.0,   118.0,     12.794,2.0,    34.2819,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,       26.9,31.461,35.921,40.28,44.542,     -999.0,9.0
5,33RO20131223,       A16S,79.0,1.0,19.0,19.0,2.0,20140119.0,1534.0,-45.0,-30.9042,       4817,   197.9,   4.2410,  34.1007,2.0,  34.1011,2.0,      283,2.0,   279.6,2.0,    10.6,2.0,    25.3,2.0,    0.02,2.0,   1.742,2.0,   4.481,2.0,   2.456,2.0,   2.226,2.0,  2152.2,2.0, 2279.53,2.0,-999.0000,9.0, -999.00,7.6775,2.0,       25,-999.000,9.0,   4.2427,2.0,    1.20,6.0,   -25.9,6.0,     4.5,  44.24333596,2.0,        28.34,2.0,   197.9,     13.892,2.0,    34.2619,6.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     27.046,31.644000000000002,36.139,40.533,44.828,     -999.0,9.0
6,33RO20131223,       A16S,79.0,1.0,18.0,18.0,2.0,20140119.0,1531.0,-45.0,-30.9042,       4817,   298.5,   3.7433,  34.1188,2.0,  34.1197,2.0,    276.8,2.0,     268,2.0,    15.6,2.0,    27.0,2.0,    0.01,2.0,   1.864,2.0,   4.263,2.0,   2.304,2.0,   1.910,2.0,    2164,2.0, 2282.47,2.0,-999.0000,9.0, -999.00,7.655,2.0,       25,-999.000,9.0,   3.7451,2.0,    1.11,2.0,   -32.9,2.0,     2.1,  43.37154363,2.0,        29.87,2.0,   298.5,     15.408,2.0,    34.2806,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     27.111,31.721999999999998,36.23,40.635999999999996,44.943000000000005,     -999.0,9.0
7,33RO20131223,       A16S,79.0,1.0,17.0,17.0,2.0,20140119.0,1528.0,-45.0,-30.9042,       4817,   398.2,   3.1225,  34.0978,2.0,  34.1885,2.0,    276.7,2.0,   210.3,4.0,    31.1,2.0,    29.4,2.0,    0.01,4.0,   2.021,4.0,   0.451,4.0,   0.221,4.0,   0.112,4.0,  2217.1,4.0, 2312.91,4.0,-999.0000,9.0, -999.00,7.591,3.0,       25,-999.000,9.0,   3.1226,2.0,    0.84,6.0,   -93.0,6.0,     1.4,  42.62642197,2.0,        32.13,2.0,   398.2,     20.988,4.0,    34.3497,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     27.154,31.781999999999996,36.306999999999995,40.729,45.051,     -999.0,9.0
8,33RO20131223,       A16S,79.0,1.0,16.0,16.0,2.0,20140119.0,1525.0,-45.0,-30.9042,       4817,   518.3,   2.9832,  34.1735,2.0,  34.1719,2.0,      248,2.0,   246.2,2.0,    28.0,2.0,    30.0,2.0,    0.01,2.0,   2.053,2.0,   3.557,2.0,   1.885,2.0,   1.414,2.0,  2189.6,2.0, 2294.18,2.0,-999.0000,9.0, -999.00,7.6137,2.0,       25,-999.000,9.0,   2.9823,2.0,    0.94,2.0,   -92.0,2.0,     3.4,  42.08248317,2.0,        32.58,2.0,   518.3,     17.880,2.0,     34.333,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     27.228,31.859,36.387,40.812,45.137,     -999.0,9.0
9,33RO20131223,       A16S,79.0,1.0,15.0,15.0,2.0,20140119.0,1521.0,-45.0,-30.9042,       4817,   667.9,   2.7867,  34.2706,2.0,  34.2705,2.0,    215.2,2.0,   217.9,2.0,    40.3,2.0,    31.9,2.0,    0.01,2.0,   2.190,2.0,   2.614,2.0,   1.356,2.0,   0.891,2.0,  2211.8,2.0, 2306.46,2.0,-999.0000,9.0, -999.00,7.5778,2.0,       25,-999.000,9.0,   2.7872,2.0,    0.73,6.0,   -89.7,6.0,     1.8,  41.60560531,2.0,        34.52,2.0,   667.9,     20.103,2.0,    34.4321,2.0,     -999.0,9.0,-999.0,1.0,-999.0,9.0,     27.324,31.96,36.492,40.922,45.251000000000005,     -999.0,9.0
