BOTTLE,20201109CCHSIOCBG
# Merged parameters: DOC, BRDU, CTDRAW
# 20150511CCHSIOCBG
# Merged parameters: EXPOCODE, TRITUM, TRITUM_FLAG_W, TRITER
# 20141021CCHSIOCBG
# Merged parameters: THETA, HELIUM, HELIUM_FLAG_W, DELHE3, DELHE3_FLAG_W, NEON, NEON_FLAG_W, NEONER, HELIER, DELHER
# BOTTLE,20140926PRINUNIVRMK
# UPdate from CCHDO 1/19/09
# 9/26/14 Initialized README file
# Data source: CCHDO 11/07/06
# SHIP: R/V Revelle
# Cruise: P16S_2005
# Region: Southcentral Pacific
# EXPOCODE: 33RR20050106
# DATES: Jan 6 - Feb 19, 2005
# Chief Scientist:B. Sloyan, J. Swift
# 111 stations with 36 place Rosette
# Hydro: Who - J.Swift ; Status - final
#       Notes:
# Nuts: Who - J.Swift; Status -final
#       Notes:
# O2: Who - J.Swift; Status - final
#       Notes:
# TCO2: Who - R.Feely&C.Sabine; Status -final
#       Notes:
# TA: Who - A.Dickson; Status - final
#       Notes:
# CFC: Who - R.Fine; Status - final
#       Notes:
# C14: Who - R.Key&A.Mcnichol; Status - final
#       Notes:
# H3/He3: Who - P.Schlosser; Status -final
#       Notes:
# DOC/DON: Who - D.Hansell&C.Carlson; Status -
#       Notes:
# References:
# 20130943SIOCCHRJL
# Added instructions for citation use
# BOTTLE,20090504CCHDOSIODBK
# code : Justin Fields hyd_to_exchange.rb 
# original files copied from HTML directory: 2009-01-13
# original HYD file: /Users/danie/CLIVAR/p16s/mrg_vrsns/p16s_2005ahy.txt  2009-01-13
# original SUM file: /Users/danie/CLIVAR/p16s/mrg_vrsns/p16s_2005asu.txt  2009-01-09
#
#|CCHDO Citation Information
#|
#|Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#|
#|For example: Swift, J. and Becker, S. 2019. CTD data from Cruise 33RR20160321, exchange version. Accessed from CCHDO https://cchdo.ucsd.edu/cruise/33RR20160321. Access date 2019-08-21. CCHDO cruise DOI: 10.7942/C2008W
#|
#|Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#|
#|Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#|
#|For data citation, please use the data providers listed below. 
#|
#|Programs and Principal Investigators
#|
#| PARAMETER                PRINCIPAL INVESTIGATOR-       EMAIL ADDRESS
#|                          INSTITUTION               
#|-----------------------  ----------------------------    --------------------------
#| CTDO/S/O2/Nutrients      Jim Swift-UCSD/SIO            jswift@ucsd.edu                       
#| Transmissometer          Wilf Gardner-TAMU             wgardner@ocean.tamu.edu
#| CO2-Alkalinity           Andrew Dickson-UCSD/SIO       adickson@ucsd.edu                
#| CO2-DIC + Underway pCO2  Dick Feely-NOAA               Richard.A.Feely@pmel.noaa.gov
#|                          Chris Sabine-NOAA             chris.sabine@noaa.gov
#| DOC/DON                  Dennis Hansell-RSMAS-UMiami   dhansell@rsmas.miami.edu
#|                          Craig Carlson-UCSB            carlson@lifesci.ucsb.edu
#| CDOM                     Dave Siegel-UCSB              davey@icess.ucsb.edu
#|                          Norm Nelson-UCSB              norm@icess.ucsb.edu
#|                          Craig Carlson-UCSB            carlson@lifesci.ucsb.edu
#| C-13/C-14                Ann McNichol-WHOI             amcnichol@whoi.edu
#|                          Robert Key-Princeton          key@princeton.edu
#| CFCs                     Rana Fine-RSMAS-UMiami        rfine@rsmas.miami.edu   
#| He-3/Tritium             Peter Schlosser-LDEO          schlosser@ldeo.columbia.edu
#| ADCP/LADCP               Eric Firing-UHawaii           firing@hawaii.edu               
#| Trace Elements           Chris Measures-UHawaii        chrism@soest.hawaii.edu
#|                          Bill Landing- FSU             landing@ocean.fsu.edu
#| ARGO Floats              Greg Johnson-NOAA             gregory.c.johsnon@noaa.gov
#|                          Elizabeth Steffen-NOAA        elizabeth.steffen@noaa.gov
#| 15N                      Daniel Sigman-Princeton       sigman@princeton.edu
#|                          Peter DiFiore-Princeton       pdifiore@princeton.edu
#|
#|
#| Following American Geophysical Union recommendations, the data should be
#| cited as: "data provider(s), cruise name or cruise ID, data file name(s),
#| CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
#| file date." For further information, please contact one of the parties
#| listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
#| the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
#| from their use.
#|
#|
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,NEON,NEON_FLAG_W,NEONER,DOC,DOC_FLAG_W,CTDRAW,TRITER,THETA,FUCO,FUCO_FLAG_W,RHAM,RHAM_FLAG_W,ARABA,ARABA_FLAG_W,GALA,GALA_FLAG_W,GLUC,GLUC_FLAG_W,MAN,MAN_FLAG_W,DCNS,DCNS_FLAG_W,BRDU,BRDU_FLAG_W,CDOM325,CDOM325_FLAG_W,CDOM340,CDOM340_FLAG_W,CDOM380,CDOM380_FLAG_W,CDOM412,CDOM412_FLAG_W,CDOMSL,CDOMSL_FLAG_W,CDOMSN,CDOMSN_FLAG_W,HELIER,DELHER
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,NMOL/KG,UMOL/KG,,DBAR,TU,DEG C,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,NMOL/KG,,PMOL/L/H,,1/M,,1/M,,1/M,,1/M,,1/NM,,1/NM,,NMOL/KG,PERCNT
33RR20050106,       P16S,       1,          3,         36,         36,2,20050110,       1233,   -16.0000,  -149.9925,       4252,     5.0,  28.4883,  36.1133,2,  36.1023,2,   -999.0,5,   214.0,2,    0.43,2,    0.11,2,    0.00,2,    0.18,2,   1.552,2,   1.074,2,   0.148,2,  2010.4,6,  2372.4,6,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  71.2715,2,     5.0,-999.000,  28.4871,        515,2,        334,2,        279,2,        899,2,        621,2,       1081,2,       3729,2,    0.01,4,   0.0520,2,   0.0420,2,   0.0190,2,   0.0120,2,   0.0166,2,   0.0164,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         35,         35,2,20050110,       1233,   -16.0000,  -149.9925,       4252,     5.0,  28.4797,  36.1143,2,-999.0000,9,   -999.0,5,  -999.0,9, -999.00,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,-999.0000,9,     5.0,-999.000,  28.4785,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9, -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         34,         34,2,20050110,       1233,   -16.0000,  -149.9925,       4252,    55.9,  27.0036,  36.2672,2,  36.2544,2,   -999.0,5,   206.3,2,    0.42,2,    0.06,2,    0.00,2,    0.19,2,   1.715,2,   1.114,2,   0.178,2,  2015.0,2,  2380.6,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  72.9545,2,    55.9,-999.000,  26.9907,        458,2,        267,2,        258,2,        789,2,        508,2,        730,2,       3011,2,    0.04,4,   0.0630,2,   0.0550,2,   0.0360,2,   0.0220,2,   0.0106,2,   0.0103,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         33,         33,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   105.8,  25.7283,  36.2231,2,  36.2104,2,   -999.0,5,   205.3,2,    0.42,2,    0.06,2,    0.00,2,    0.19,2,   1.731,2,   1.158,2,   0.165,2,  2013.3,2,  2378.9,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  69.4449,2,   105.8,-999.000,  25.7048,        448,2,        239,2,         95,2,        725,2,        515,2,        856,2,       2878,2,    0.03,4,   0.0540,2,   0.0420,2,   0.0200,2,   0.0130,2,   0.0168,2,   0.0170,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         32,         32,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   155.5,  23.9434,  36.0726,2,  36.0492,2,   -999.0,5,   193.5,2,    0.42,2,    0.46,2,    0.10,2,    0.27,2,   1.901,2,   1.281,2,   0.157,2,  2038.3,2,  2367.1,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  58.5479,2,   155.5,-999.000,  23.9106,        173,2,        131,2,         87,2,        274,2,        594,3,        269,2,       1528,3,    0.04,4,   0.1540,2,   0.1270,2,   0.0750,2,   0.0530,2,   0.0125,2,   0.0126,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         31,         31,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   205.5,  21.2406,  35.8793,2,  35.8771,2,   -999.0,5,   172.9,2,    0.64,2,    3.10,2,    0.01,2,    0.44,2,   2.124,2,   1.411,2,   0.079,2,  2070.7,2,  2355.5,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  49.5859,2,   205.5,-999.000,  21.2007,         66,2,         45,2,         34,2,        114,2,        129,2,        114,2,        502,2,    0.05,4,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000,9,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         30,         30,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   255.4,  18.5185,  35.5372,2,  35.5229,2,   -999.0,5,   175.5,2,    1.27,2,    5.01,2,    0.00,2,    0.56,2,   2.253,2,   1.373,2,   0.029,2,  2083.7,2,  2331.6,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  48.9545,2,   255.4,-999.000,  18.4735,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    0.01,4,   0.1130,2,   0.0920,2,   0.0520,2,   0.0360,2,   0.0132,2,   0.0135,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         29,         29,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   305.3,  16.4071,  35.2547,2,  35.2491,2,   -999.0,5,   174.6,2,    2.11,2,    7.35,2,    0.00,2,    0.71,2,   2.310,2,   1.327,2,   0.013,2,  2096.7,2,  2314.4,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  46.6156,2,   305.3,-999.000,  16.3577,         45,2,         35,2,         42,2,         89,2,        169,2,         94,2,        475,2,    0.18,4,   0.0750,2,   0.0600,2,   0.0310,2,   0.0240,2,   0.0162,2,   0.0159,2,-999.0000, -999.00
33RR20050106,       P16S,       1,          3,         28,         28,2,20050110,       1233,   -16.0000,  -149.9925,       4252,   355.6,  13.1612,  34.8861,2,  34.8808,2,   -999.0,5,   166.4,2,    5.06,2,   13.30,2,    0.00,2,    1.13,2,   2.001,2,   1.198,2,   0.015,2,  2125.7,2,  2297.1,2,-999.000,9,-999.0000,9, -999.00,9, -999.00,9,  -999.0,9,  -999.0,-999.000,9,-999.000,  45.3799,2,   355.6,-999.000,  13.1117,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    0.01,4,   0.0940,2,   0.0740,2,   0.0420,2,   0.0310,2,   0.0129,2,   0.0138,2,-999.0000, -999.00
