BOTTLE,20210219CCHSIOCBG
# Merged parameters: CTDOXY, OXYGEN, OXYGEN_FLAG_W
# note: further update could be expected for CTDOXY, OXYGEN, and flags
# Merged parameters: TDN, TDN_FLAG_W, DOC, DOC_FLAG_W, CTDOXY_FLAG_W
# 20181118CCHSIOCBG
# Merged parameters: TCARBN, TCARBN_FLAG_W, ALKALI, ALKALI_FLAG_W, PH_TOT, PH_TOT_FLAG_W, PH_TMP
# SF6 at station 214, cast 1, sample 28, value 99.0000 with flag 5 changed to -999.0000; PH_TMP units from DEGC to DEG C; removed decimal from DEPTH
#20171120SIO
# CTDOXY Values are non final
# DEPTH is reported as meters, corrected pressures, pressures converted to meters using the p_to_z method of the TOES-10 toolbox, the height above bottom as reported by the altimiter was then added to the calculated pressure
#BOTTLE,20180417PRINUNIVRMK
#BOTTLE,20210125PRINUNIVRMK
# 3/21/2017 Initialized README file   
# Data source: CCHDO copy of 11/20/2017  
# SHIP: N.B. Palmer  
# Cruise: P06.2017  
# Region: trans-Pacific, west to east at 32S  
# EXPOCODE: 320620170820  
# DATES: 20170820 - 20170930   
# Chief Scientist: Kevin Speer & Lena Schulze; Papeete to Valparaiso: stations 144:250  
# SOCCOM Biogeochemical floats deployed by   
# No. Sta   WMO_ID       Lat       Lon       Date      UWID  
#  1   99   5905108   -32.4650 -174.7583    20170729  12380  
#  2  134   5905107   -32.4150 -154.9733    20170810  12372  
#  3  160   5905104   -32.5833 -134.8733    20170901  12396  
#  4  185   5905109   -32.5183 -114.6967    20170910   8204  
#  5  223   5905106   -32.4817  -84.5467    20170922  12369  
#  6  235   5905105   -32.4883  -73.9950    20170926  12540  
# Supported by NSF Award PLR-1425989 to J.L. Sarmiento et al.  
# CTD: Who - J.Swift,E.Boss; Status - final  
#       Includes: CTDSAL, CTDOXY,FLBB  
#       36 place Rosette  
# Salinty: Who - J.Swift; Status - final  
#       Notes:  
# Nutrients: Who - J.Swift; Status - final  
#       Includes: nitrate, nitrite, silicate, phopshpate  
# O2: Who - J.Swift; Status - preliminary  
#       Notes:   
# TCO2: Who - R.Feely & R.Wanninkhof; Status - final  
#       Notes: Final data from Greely 4/10/18  
#       Merged and QC'ed  
# ALKALI: Who - F.Millero; Status - final  
#       Notes: data from Millero 8/28/18, merge & QC, Key  
# pH_TOT: Who - F.Millero; Status - final  
#       Notes: data from Millero 8/28/18, merge & QC, Key  
# pCO2: Who - R.Wanninkhof; Status - underway only  
#       Notes:   
# CFC: Who - R.Fine; D.Min; Status - preliminary  
#       Notes:   
# C14/C13: Who - R.Key; A.McNichol; Status - collected  
#       Notes: Surface only  
# HPLC:  Who - A.Manino; Status - whatever  
#       Notes: supported by NASA grant NNX14AP49G  
# POC: Who - A.Manino; Status - collected  
#       Notes:  
# DOC: Who - C.Carson; Status - final  
#       Notes: merged 1/30/2020 
# TDN: Who - C.Carson; Status - final  
#       Notes: rcd from Carlson 1/18/21 
#       merged with QC 1/25/21 
# Other: Who - ; Status -  
#       Notes:   
#
#|CCHDO Citation Information
#|
#|Please cite data downloaded from CCHDO as: [Data providers of the parameter(s) used]. [Year of file access]. [CTD/Bottle] data from cruise [expocode], [format version used]. Accessed from CCHDO [url of cruise data page]. Access date [date of download]. [Applicable CCHDO cruise DOI if provided].
#|
#|For example: Swift, J. and Becker, S. 2019. CTD data from Cruise 33RR20160321, exchange version. Accessed from CCHDO https://cchdo.ucsd.edu/cruise/33RR20160321. Access date 2019-08-21. CCHDO cruise DOI: 10.7942/C2008W
#|
#|Information on the scientists who provided the different parameters can be found in the cruise report. Additionally, for US GO-SHIP cruises, this information is usually in the comments section in the text headers of the Exchange bottle files.
#|
#|Users are also encouraged to acknowledge the funding program that supported the data collection in their publication. For US GO-SHIP data this is the NSF/NOAA funded U.S Repeat Hydrography Program.
#|
#|For data citation, please use the data providers listed below. 
#|
#| Programs and Principal Investigators
#| 
#| Chief Scientist        Kevin Speer          *FSU*         kspeer@fsu.edu          
#| ---------------------  -------------------  ------------  ------------------------
#| Co-Chief Scientist     Lena Schulze         *FSU*         lschulze@fsu.edu        
#| ---------------------  -------------------  ------------  ------------------------
#| 
#|                                           Principal 
#| Program                  Affiliation      Investigator       Email 
#| -----------------------  ----------------------------------  --------------------------
#| *CTDO* Data, Salinity,   *UCSD*, *SIO*    Susan Becker,      sbecker@ucsd.edu,         
#| Nutrients, Dissolved O2                   Jim Swift          jswift@ucsd.edu           
#| -----------------------  ----------------------------------  --------------------------
#| Total CO2 (DIC)          *PMEL*, *AOML*,  Richard Feely,     Richard.A.Feely@noaa.gov, 
#|                           *NOAA*          Rik Wanninkhof     Rik.Wanninkhof@noaa.gov   
#| -----------------------  ----------------------------------  --------------------------
#| Underway Temperature,    *AOML*, *NOAA*,  Rik Wanninkhof,    Rik.Wanninkhof@noaa.gov,  
#| Salinity, and pCO2       *ASC*            *ASC*              admin@nbp.usap.gov        
#| -----------------------  ----------------------------------  --------------------------
#| Total Alkalinity, pH     *U Miami*        Frank Millero      fmillero@rsmas.miami.edu  
#| -----------------------  ----------------------------------  --------------------------
#| ADCP                     *UH*             Eric Firing        efiring@soest.hawaii.edu  
#| -----------------------  ----------------------------------  --------------------------
#| *LADCP*                  *LDEO*           Andreas Thurnherr  ant@ldeo.columbia.edu     
#| -----------------------  ---------------  -----------------  --------------------------
