BOTTLE,20131017PRINUNIVRMK
# 10/28/2013 Initialized README file  
# Data source: CCHDO 10/17/13 
# SHIP: Aurora Australis 
# Cruise: I09S 
# Region: South of Australia on 117E 
# EXPOCODE: 09AR20120105 
# DATES: 1/5 - 2/12/2012 
# Chief Scientist: S. Rintoul 
# 88 stations with 24 place Rosette 
# Hydro: Who - S.Rintoul; Status - final 
# 	Notes: 	 
# Nuts: Who - S.Rintoul; Status - final  
# 	Notes: nitrate is really NO3+NO2 
# O2: Who - S.Rintoul; Status - final 
# 	Notes: 
# TCO2: Who - ; Status - 
# 	Notes:  
# Other: CTD values for fluorescence, par and transmiss.  
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,XMISS,XMISS_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,%TRANS,,VOLTS,,VOLTS,
  09AR20120105,  I09S,     1,  1,     24,     24,2,20120108,0756,-55.9960, 145.1910, 2856,      6.8,   2.6434,  33.7877,2,  33.7875,2,    333.6,2,    333.5,2,    21.30,2,    27.12,2,     1.83,2,    95.45,2,    0.618,2,   13.930,2
  09AR20120105,  I09S,     1,  1,     23,     23,2,20120108,0756,-55.9960, 145.1910, 2856,     50.5,   2.5099,  33.7892,2,-999.0000,9,    333.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    95.33,2,    0.869,2,    1.490,2
  09AR20120105,  I09S,     1,  1,     22,     22,2,20120108,0756,-55.9960, 145.1910, 2856,     50.5,   2.5100,  33.7891,2,-999.0000,9,    333.2,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    95.32,2,    0.865,2,    1.497,2
  09AR20120105,  I09S,     1,  1,     21,     21,2,20120108,0756,-55.9960, 145.1910, 2856,     50.5,   2.5084,  33.7889,2,  33.7915,2,    333.2,2,    334.5,2,    21.30,2,    27.09,2,     1.83,2,    95.35,2,    0.853,2,    1.493,2
  09AR20120105,  I09S,     1,  1,     20,     20,2,20120108,0756,-55.9960, 145.1910, 2856,     98.4,  -0.4648,  33.8460,2,  33.8435,2,    345.0,2,    346.4,2,    29.10,2,    28.34,2,     2.01,2,    97.34,2,    0.387,2,    0.111,2
  09AR20120105,  I09S,     1,  1,     19,     19,2,20120108,0756,-55.9960, 145.1910, 2856,    149.9,   0.3292,  34.1575,2,  34.1583,2,    246.5,2,    264.6,2,    50.00,2,    33.05,2,     2.26,2,    97.58,2,   -0.071,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     18,     18,2,20120108,0756,-55.9960, 145.1910, 2856,    199.9,   2.0091,  34.3983,2,  34.3986,2,    189.4,2,    191.2,2,    64.70,2,    35.16,2,     2.40,2,    97.70,2,   -0.181,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     17,     17,2,20120108,0756,-55.9960, 145.1910, 2856,    298.7,   2.2648,  34.5202,2,  34.5191,2,    173.6,2,    173.2,2,    72.90,2,    34.99,2,     2.40,2,    97.72,2,   -0.176,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     16,     16,2,20120108,0756,-55.9960, 145.1910, 2856,    400.4,   2.2745,  34.5869,2,  34.5881,2,    171.8,2,    170.9,2,    76.60,2,    34.33,2,     2.35,2,    97.72,2,   -0.175,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     15,     15,2,20120108,0756,-55.9960, 145.1910, 2856,    550.2,   2.2406,  34.6550,2,  34.6541,2,    175.4,2,    174.9,2,    79.10,2,    33.20,2,     2.27,2,    97.71,2,   -0.182,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     14,     14,2,20120108,0756,-55.9960, 145.1910, 2856,    700.0,   2.1565,  34.6966,2,  34.6958,2,    180.3,2,    180.4,2,    81.30,2,    32.18,2,     2.21,2,    97.69,2,   -0.176,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     13,     13,2,20120108,0756,-55.9960, 145.1910, 2856,    850.3,   2.0662,  34.7206,2,  34.7205,2,    184.3,2,    184.6,2,    83.20,2,    31.53,2,     2.16,2,    97.67,2,   -0.174,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     12,     12,2,20120108,0756,-55.9960, 145.1910, 2856,    999.4,   1.9661,  34.7366,2,-999.0000,9,    189.1,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    97.65,2,   -0.177,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     11,     11,2,20120108,0756,-55.9960, 145.1910, 2856,    999.1,   1.9663,  34.7367,2,  34.7366,2,    189.1,2,    189.7,2,    85.60,2,    31.00,2,     2.13,2,    97.64,2,   -0.176,2,    0.000,2
  09AR20120105,  I09S,     1,  1,     10,     10,2,20120108,0756,-55.9960, 145.1910, 2856,   1201.2,   1.8346,  34.7451,2,  34.7447,2,    193.8,2,    193.9,2,    89.10,2,    30.68,2,     2.10,2,    97.60,2,   -0.182,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      9,      9,2,20120108,0756,-55.9960, 145.1910, 2856,   1399.0,   1.6657,  34.7459,2,  34.7455,2,    197.4,2,    197.2,2,    93.60,2,    30.70,2,     2.10,2,    97.55,2,   -0.180,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      8,      8,2,20120108,0756,-55.9960, 145.1910, 2856,   1600.8,   1.4551,  34.7408,2,  34.7400,2,    200.4,2,    200.2,2,    99.40,2,    30.95,2,     2.12,2,    97.52,2,   -0.188,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      7,      7,2,20120108,0756,-55.9960, 145.1910, 2856,   1799.0,   1.2917,  34.7343,2,  34.7368,2,    202.5,2,    202.5,2,   104.40,2,  -999.00,9,     2.14,2,    97.49,2,   -0.184,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      6,      6,2,20120108,0756,-55.9960, 145.1910, 2856,   2000.0,   1.1052,  34.7255,2,  34.7256,2,    204.4,2,    204.6,2,   109.90,2,    31.56,2,     2.17,2,    97.44,2,   -0.186,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      5,      5,2,20120108,0756,-55.9960, 145.1910, 2856,   2198.7,   0.9507,  34.7177,2,  34.7188,2,    206.7,2,    206.7,2,   115.20,2,    31.76,2,     2.19,2,    97.41,2,   -0.177,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      4,      4,2,20120108,0756,-55.9960, 145.1910, 2856,   2399.3,   0.7921,  34.7098,2,  34.7089,2,    209.4,2,    209.4,2,   119.70,2,    31.95,2,     2.21,2,    97.39,2,   -0.176,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      3,      3,2,20120108,0756,-55.9960, 145.1910, 2856,   2599.5,   0.6379,  34.7023,2,  34.7030,2,    211.9,2,    211.7,2,   125.50,2,    32.18,2,     2.23,2,    97.36,2,   -0.186,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      2,      2,2,20120108,0756,-55.9960, 145.1910, 2856,   2801.0,   0.5129,  34.6964,2,  34.6971,2,    214.5,2,    214.9,2,   131.30,2,    32.45,2,     2.24,2,    97.36,2,   -0.183,2,    0.000,2
  09AR20120105,  I09S,     1,  1,      1,      1,2,20120108,0756,-55.9960, 145.1910, 2856,   2886.2,   0.4947,  34.6954,2,  34.6942,2,    214.9,2,    214.6,2,   132.80,2,  -999.00,9,     2.22,2,    97.38,2,   -0.185,2,    0.000,2
  09AR20120105,  I09S,     2,  1,     24,     24,2,20120110,1846,-66.9103, 145.3840,  708,      3.9,  -1.0773,  34.0452,2,-999.0000,9,   -999.0,5,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    73.55,2,   19.542,2,   52.560,2
  09AR20120105,  I09S,     2,  1,     23,     23,2,20120110,1846,-66.9103, 145.3840,  708,      3.8,  -1.0774,  34.0454,2,-999.0000,9,   -999.0,5,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    73.59,2,   19.938,2,   52.520,2
  09AR20120105,  I09S,     2,  1,     22,     22,2,20120110,1846,-66.9103, 145.3840,  708,      3.8,  -1.0784,  34.0454,2,-999.0000,9,   -999.0,5,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    72.36,2,   20.016,2,   51.890,2
  09AR20120105,  I09S,     2,  1,     21,     21,2,20120110,1846,-66.9103, 145.3840,  708,      3.8,  -1.0794,  34.0456,2,-999.0000,9,   -999.0,5,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    73.47,2,   18.887,2,   52.460,2
