BOTTLE,20140303SIOCCHRJL
# NITRAT empty data value flag 2 changed to flag 9
# PHAEO changed to PPHYTN
# BOTTLE,20140206PRINUNIVRMK
# 2/6/2014 Initialized README file  
# Data source: cchdo.ucsd.edu/cruise/49RY20120726/20131206_40n_hy1.csv 
# SHIP: Ryofu Maru 
# Cruise: RF12_06 
# Region: NW Pacific on 40N 
# EXPOCODE: 49RY20120726 
# DATES: 7/26 - 9/13/2012 
# Chief Scientist: Kamiyaa/JMA 
# 74 stations with 36 place Rosette 
# Bucket samples assigned bottle number 9999 and bottle flag of 2 
# Leg 1: 7/26 - 8/16 
# Leg 2: 8/21 - 9/13 
# Hydro: Who - K.Nemoto; Status - final 
# 	Notes: 	 
# Nuts: Who - K.Nemoto; Status - final 
# 	Notes: Reported NO3+NO2 converted to nitrate by subtraction 
# O2: Who - K.Nemoto; Status - final 
# 	Notes: 
# TCO2: Who - K.Nemoto; Status - final 
# 	Notes:  
# TA: Who - K.Nemoto; Status - final 
# 	Notes:  
# pH: Who - K.Nemoto; Status - final 
# 	Notes: Total scale at 25C 
# 	Flag value of 1 reset to 2 
# CFC: Who - K.Nemoto; Status - no data in file 
# 	Notes: CFC-11 and CFC-12 measured 
# Other: ChloroA and Phaeophytin  
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,SBE35,SBE35_FLAG_W,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/KG,,UG/KG,,ITS-90,,
  49RY20120726,   40N,     1,  1,      0,   9999,2,20120728,0200, 39.9995, 142.3222,  514,      0.0,  19.4680,  33.6429,2,  33.6463,2,    243.5,2,    242.5,2,     0.94,2,     0.00,2,     0.00,2,     0.06,2,   1988.2,2,   2246.9,2,   8.0015,2,    25.00,     0.25,2,     0.04,2,-999.0000,9,      205
  49RY20120726,   40N,     1,  1,     36,    109,2,20120728,0200, 39.9995, 142.3222,  514,     12.1,  17.2967,  33.7397,2,  33.7527,2,    258.7,2,    259.2,6,     0.46,6,     0.00,6,     0.00,6,     0.04,6,   1982.9,2,   2252.9,2,   8.0120,2,    25.00,     0.20,2,     0.05,2,  17.2984,2,      229
  49RY20120726,   40N,     1,  1,     35,    112,2,20120728,0200, 39.9995, 142.3222,  514,     27.1,  16.4226,  33.8256,2,  33.8292,2,    268.3,2,    269.6,2,     0.38,2,     0.00,2,     0.00,2,     0.03,2,   1986.8,6,   2258.5,2,   8.0154,2,    25.00,     0.32,2,     0.11,2,  16.4066,2,      227
  49RY20120726,   40N,     1,  1,     34,     83,4,20120728,0200, 39.9995, 142.3222,  514,     52.6,  11.1283,  33.6542,2,-999.0000,9,    292.9,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  11.1461,2,      224
  49RY20120726,   40N,     1,  1,     33,     86,2,20120728,0200, 39.9995, 142.3222,  514,     77.1,   8.9978,  33.8015,2,  33.7773,2,    260.4,2,    262.8,2,    10.47,2,     8.70,2,     0.23,2,     0.75,2,   2080.8,2,   2253.7,2,   7.8318,2,    25.00,     0.25,2,     0.23,2,   8.9946,2,      222
  49RY20120726,   40N,     1,  1,     32,    105,2,20120728,0200, 39.9995, 142.3222,  514,    103.6,   8.4459,  33.9458,2,  33.9461,2,    252.6,2,    252.9,2,    15.29,2,    11.31,2,     0.07,2,     0.87,2,   2099.5,2,   2268.4,2,   7.8037,2,    25.00,  -999.00,9,  -999.00,9,   8.4476,2,      220
  49RY20120726,   40N,     1,  1,     31,     76,2,20120728,0200, 39.9995, 142.3222,  514,    103.6,   8.4459,  33.9458,2,  33.9458,6,    252.6,2,    253.2,2,    15.18,2,    11.23,2,     0.07,2,     0.86,2,   2099.8,2,   2267.4,2,   7.8054,2,    25.00,     0.05,2,     0.09,2,   8.4476,2,      220
  49RY20120726,   40N,     1,  1,     30,    103,2,20120728,0200, 39.9995, 142.3222,  514,    129.0,   8.3707,  33.9793,2,  33.9778,2,    252.2,2,    252.4,2,    17.29,2,    12.35,2,     0.02,2,     0.93,3,   2102.8,2,   2266.4,2,   7.7944,2,    25.00,     0.02,2,     0.06,2,   8.3695,2,      219
  49RY20120726,   40N,     1,  1,     29,    102,3,20120728,0200, 39.9995, 142.3222,  514,    153.2,   7.8867,  33.9177,2,  33.9070,2,    253.4,2,    253.5,2,    18.22,2,    12.82,2,     0.02,2,     0.97,2,   2106.8,2,   2268.8,2,   7.7821,2,    25.00,     0.02,2,     0.06,2,   7.8939,2,      217
  49RY20120726,   40N,     1,  1,     28,     91,2,20120728,0200, 39.9995, 142.3222,  514,    203.9,   2.6113,  33.2860,2,  33.2881,2,    302.7,2,    301.6,2,    34.95,2,    21.92,2,     0.01,2,     1.74,2,   2141.5,2,   2254.7,2,   7.6496,2,    25.00,     0.06,2,     0.07,2,   2.6108,2,      215
  49RY20120726,   40N,     1,  1,     27,    998,2,20120728,0200, 39.9995, 142.3222,  514,    254.4,   2.9403,  33.3813,2,  33.3661,2,    284.9,2,    284.5,2,    39.28,2,    22.66,2,     0.01,2,     1.77,2,   2155.4,2,   2251.8,2,   7.6244,2,    25.00,  -999.00,9,  -999.00,9,   2.9005,2,      214
  49RY20120726,   40N,     1,  1,     26,     99,3,20120728,0200, 39.9995, 142.3222,  514,    285.5,   2.1349,  33.3469,2,  33.3484,2,    269.7,2,    268.0,2,    47.35,2,    25.61,2,     0.01,2,     1.99,2,   2172.3,2,   2255.1,2,   7.5700,2,    25.00,  -999.00,9,  -999.00,9,   2.1347,2,      212
  49RY20120726,   40N,     1,  1,     25,     98,2,20120728,0200, 39.9995, 142.3222,  514,    376.4,   2.8604,  33.5948,2,  33.5964,2,    181.2,2,    179.9,2,    68.11,2,    32.31,2,     0.01,2,     2.43,2,   2238.6,2,   2280.9,6,   7.4542,2,    25.00,  -999.00,9,  -999.00,9,   2.8536,2,      209
  49RY20120726,   40N,     1,  1,     24,    110,2,20120728,0200, 39.9995, 142.3222,  514,    476.3,   3.3115,  33.8067,2,  33.8066,2,    113.9,2,    113.3,2,    84.73,2,    37.11,2,     0.00,2,     2.72,2,   2281.6,2,   2305.0,2,   7.3717,2,    25.00,  -999.00,9,  -999.00,9,   3.3116,2,      207
  49RY20120726,   40N,     1,  1,      3,    104,9,20120728,0200, 39.9995, 142.3222,  514,    498.2,   3.2916,  33.8258,2,-999.0000,9,    107.7,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   3.2910,2,      201
  49RY20120726,   40N,     1,  1,      2,     75,9,20120728,0200, 39.9995, 142.3222,  514,    498.3,   3.2919,  33.8251,2,-999.0000,9,    107.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   3.2928,2,      201
