BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2009015 
# Region: Labrador Sea and off Halifax; AR07W 
# 	Southern end of Labrador Sea section inaccessible due to ice cover 
# EXPOCODE: 18HU20090517 
# DATES: 5/17 - 6/1/2009 
# Chief Scientist: Ross Hendry 
# 40 stations with 24 place Rosette 
# Hydro: Who - I.Yasha;yaev; Status - final 
# 	Notes: Salt calibration with IAPSO Batch P149 & P150 
# 	Calibration check: 
# 	Bottle Salinity = 1.00191*CTDSAL - 0.064136; RSE=0.0043 
# Nuts: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Nitrate is NO3+NO2 
# 	Nutrients run in duplicate 
# O2: Who - K.Azetsu-Scott; Status - final 
# 	Notes: CTDOXY values not yet calibrated; flag all 3 
# 	Oxygen precision +/-2.5umol/kg 
# 	Erratic blank values throughout cruise 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes: significant scatter 
# CFC: Who - K.Azetsu-Scott; Status - final 
# 	Notes: includes CFC-113 and CCl4 
# 	All CFC-12 flagged 3/4 
# Other:	C1-C9 aldehydes and keytones 
# 	I-129 
# 	O3 and NOx in air 
# 	O-18 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
  18HU20090517, AR07W,     3,  1, 351467,      1,2,20090517,1435, 47.5500, -52.5893,  178,    167.6,  -1.0863,  33.0127,2,-999.0000,9,    382.1,3,    318.3,6,    11.56,6,     9.08,6,     0.98,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.0904
  18HU20090517, AR07W,     3,  1, 351468,      2,2,20090517,1435, 47.5500, -52.5893,  178,    150.1,  -1.2274,  32.9653,2,-999.0000,9,    392.1,3,   -999.0,9,     9.78,6,     8.67,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.2308
  18HU20090517, AR07W,     3,  1, 351469,      3,2,20090517,1435, 47.5500, -52.5893,  178,    101.1,  -1.5123,  32.7561,2,-999.0000,9,    409.0,3,   -999.0,9,     5.10,6,     7.21,6,     0.86,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.5143
  18HU20090517, AR07W,     3,  1, 351470,      4,2,20090517,1435, 47.5500, -52.5893,  178,     75.5,  -1.4745,  32.6418,2,-999.0000,9,    417.5,3,   -999.0,9,     1.21,6,     5.50,6,     0.77,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.4760
  18HU20090517, AR07W,     3,  1, 351471,      5,2,20090517,1435, 47.5500, -52.5893,  178,     48.9,  -1.0472,  32.4568,2,  32.4360,6,    431.4,3,   -999.0,9,     0.17,6,     2.51,6,     0.58,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.0483
  18HU20090517, AR07W,     3,  1, 351472,      6,2,20090517,1435, 47.5500, -52.5893,  178,     39.8,   0.4465,  32.2839,2,-999.0000,9,    437.9,3,   -999.0,9,     0.00,6,     0.22,6,     0.38,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.4451
  18HU20090517, AR07W,     3,  1, 351473,      7,2,20090517,1435, 47.5500, -52.5893,  178,     29.7,   1.6690,  32.1204,2,-999.0000,9,    426.6,3,   -999.0,9,     0.08,6,     0.00,6,     0.34,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.6677
  18HU20090517, AR07W,     3,  1, 351474,      8,2,20090517,1435, 47.5500, -52.5893,  178,     20.4,   1.7815,  32.0865,2,-999.0000,9,    425.6,3,   -999.0,9,     0.00,6,     0.00,6,     0.33,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.7806
  18HU20090517, AR07W,     3,  1, 351475,      9,2,20090517,1435, 47.5500, -52.5893,  178,     10.2,   1.9399,  32.0691,2,-999.0000,9,    423.9,3,   -999.0,9,     0.00,6,     0.00,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.9394
