BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2008009 
# Region: Labrador Sea and off Halifax; AR07W 
# EXPOCODE: 18HU20080520 
# DATES: 5/20 - 6/4/2008 
# Chief Scientist: Glen Harrison 
# 45 stations with 24 place Rosette 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO Batch P147 
# 	Calibration check: 
# 	Bottle Salinity = 1.0059*CTDSAL - 0.2081; RSE=0.0062 
# Nuts: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Nitrate is NO3+NO2 
# 	Nutrients run in duplicate 
# O2: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Replicate analyses imply precision of ~3.5umol/kg 
# 	Calibration Check: 
# 	Bottle Oxygen = 0.9798*CTDOXY + 6.936; RSE=2.32 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes: significant scatter 
# CFC: Who - K.Azetsu-Scott; Status - final 
# 	Notes: includes CFC-113 and CCl4 
# 	All flags for CFC-11, CFC-12, CFC-113 and CCl4 set to 4 
# Other:	I-129 
# 	TOC 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,,
  18HU20080520, AR07W,     3,  1, 331536,      1,2,20080520,1730, 47.5532, -52.5917,  169,    163.0,  -0.6576,  33.1073,2,  33.0961,2,    314.9,2,    347.0,3,    10.90,6,     8.97,6,     0.96,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   2237.6,2,  -0.6436, 20080520,     1730
  18HU20080520, AR07W,     3,  1, 331537,      2,2,20080520,1730, 47.5532, -52.5917,  169,    150.0,  -0.9431,  33.0061,2,  33.0051,2,    326.6,2,    327.7,2,     9.46,6,     8.36,6,     0.94,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -0.9489, 20080520,     1730
  18HU20080520, AR07W,     3,  1, 331538,      3,2,20080520,1730, 47.5532, -52.5917,  169,     99.0,  -1.6223,  32.7551,2,  32.7517,2,    353.2,2,    350.2,2,     5.33,6,     6.74,6,     0.82,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.6318, 20080520,     1732
  18HU20080520, AR07W,     3,  1, 331539,      4,2,20080520,1730, 47.5532, -52.5917,  169,     73.0,  -1.6369,  32.6744,2,  32.6716,2,    357.1,2,    353.1,2,     4.44,6,     6.19,6,     0.80,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -1.6305, 20080520,     1733
  18HU20080520, AR07W,     3,  1, 331540,      5,2,20080520,1730, 47.5532, -52.5917,  169,     49.0,  -1.3243,  32.5659,2,  32.5620,2,    356.5,2,    353.3,2,     2.16,6,     5.13,6,     0.75,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   2207.0,2,  -1.2765, 20080520,     1734
  18HU20080520, AR07W,     3,  1, 331541,      6,2,20080520,1730, 47.5532, -52.5917,  169,     40.0,  -1.0387,  32.5268,2,  32.5099,2,    361.3,2,    357.8,2,     1.22,6,     3.71,6,     0.67,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  -0.9250, 20080520,     1735
  18HU20080520, AR07W,     3,  1, 331542,      7,2,20080520,1730, 47.5532, -52.5917,  169,     31.0,  -0.2536,  32.4597,2,  32.4387,2,    373.3,2,    367.6,2,     0.47,6,     0.49,6,     0.45,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.2162, 20080520,     1735
  18HU20080520, AR07W,     3,  1, 331543,      8,2,20080520,1730, 47.5532, -52.5917,  169,     19.0,   1.1744,  32.3694,2,  32.3719,2,    373.3,2,    368.9,2,     0.34,6,     0.00,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.1639, 20080520,     1736
  18HU20080520, AR07W,     3,  1, 331544,      9,2,20080520,1730, 47.5532, -52.5917,  169,     10.0,   2.2301,  32.1731,2,  32.1967,2,    361.2,2,    358.1,2,     0.00,6,     0.00,6,     0.30,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   2189.3,2,   2.2100, 20080520,     1737
  18HU20080520, AR07W,     3,  1, 331545,     10,2,20080520,1730, 47.5532, -52.5917,  169,      6.0,   2.1748,  32.1766,2,  32.1782,2,    362.0,2,    355.8,6,     0.00,6,     0.00,6,     0.29,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.2119, 20080520,     1737
  18HU20080520, AR07W,    17,  1, 331546,      1,2,20080522,1143, 55.6787, -50.4415, 3531,    199.0,   3.5037,  34.8267,2,  34.8243,2,    302.9,2,    306.9,2,     8.16,6,    15.29,6,     1.03,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.4913, 20080522,     1143
  18HU20080520, AR07W,    17,  1, 331547,      2,2,20080522,1143, 55.6787, -50.4415, 3531,    150.0,   3.5356,  34.8209,2,  34.8202,2,    304.0,2,    301.9,2,     8.08,6,    15.19,6,     1.03,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.5235, 20080522,     1144
  18HU20080520, AR07W,    17,  1, 331548,      3,2,20080522,1143, 55.6787, -50.4415, 3531,    101.0,   3.8644,  34.8029,2,  34.8005,2,    311.5,2,    309.5,2,     7.71,6,    13.47,6,     0.94,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.9419, 20080522,     1145
  18HU20080520, AR07W,    17,  1, 331549,      4,2,20080522,1143, 55.6787, -50.4415, 3531,     81.0,   4.2426,  34.7873,2,-999.0000,9,    320.5,2,   -999.0,9,     7.28,6,    11.70,6,     0.84,6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   4.2433, 20080522,     1146
