BOTTLE,20120305CCHDOSIOCBG
# added line names under SECT_ID and all comments below
#BOTTLE,20100602ACECRC
# NOTE: all data here are finalised
# The data originators (ACE CRC, Australia for CTD data and bottle data other than CFC's;
#  Mark Warner, University of Washington for CFC data) should be acknowledged in any publication,
#  including internal reports, published reports, journal articles, presentations etc.
# The following reference can be used for the data:
#  Rosenberg, M. and Rintoul, S. (unpublished) Aurora Australis Marine Science Cruise AU0803 and
#   AU0806 - oceanographic field measurements and analysis. ACECRC, Hobart, unpublished report.
# contact: Mark Rosenberg, mark.rosenberg@utas.edu.au
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,MG/M^3,,VOLTS,
  09AR20071216,    PULSE,     1,  1,     24,     24,2,20071217,0615,-44.8797, 145.5405, 3527,      8.3,  13.2671,  35.0261,2,  35.0238,2,  -999.00,5,   279.43,2,      0.3,2,     2.87,2,     0.30,2,   3.1917,2,   1.8057,2,   0.2674,2,    2.840,2,    2.738,2
  09AR20071216,    PULSE,     1,  1,     23,     23,2,20071217,0615,-44.8797, 145.5405, 3527,     16.8,  13.1474,  35.0326,2,-999.0000,9,   279.00,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,    4.176,2,    2.293,2
  09AR20071216,    PULSE,     1,  1,     22,     22,2,20071217,0615,-44.8797, 145.5405, 3527,     32.3,  12.9949,  35.1024,2,-999.0000,9,   275.93,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,-999.0000,9,-999.0000,9,-999.0000,9,    2.305,2,    1.535,2
  09AR20071216,    PULSE,     1,  1,     21,     21,2,20071217,0615,-44.8797, 145.5405, 3527,     38.7,  12.9200,  35.1419,2,  35.1421,2,   274.38,2,   263.34,2,      0.8,2,     4.28,2,     0.39,2,   3.2866,2,   1.7968,2,   0.3063,2,    1.783,2,    1.287,2
  09AR20071216,    PULSE,     1,  1,     20,     20,2,20071217,0615,-44.8797, 145.5405, 3527,     78.7,  12.0005,  35.0662,2,  35.0653,2,   253.19,2,   255.17,2,      2.1,2,     8.12,2,     0.62,2,   3.3201,2,   1.8541,2,   0.2569,2,    0.371,2,    0.155,2
  09AR20071216,    PULSE,     1,  1,     19,     19,2,20071217,0615,-44.8797, 145.5405, 3527,    119.5,  11.4188,  35.0283,2,  35.0269,2,   256.21,2,   254.46,2,      2.6,2,     9.49,2,     0.68,2,   3.4344,2,   1.8387,2,   0.3003,2,    0.051,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     18,     17,2,20071217,0615,-44.8797, 145.5405, 3527,    159.5,  11.1809,  34.9887,2,  34.7025,4,   256.93,2,   254.85,2,      2.6,2,     9.68,2,     0.71,2,   3.3895,6,   1.8667,6,   0.2848,6,   -0.005,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     17,     18,2,20071217,0615,-44.8797, 145.5405, 3527,    199.1,  10.8586,  34.9245,2,  34.9904,4,   258.43,2,   258.80,2,      2.8,2,     9.91,2,     0.70,2,   3.4872,2,   1.9091,2,   0.2715,2,   -0.009,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     16,     16,2,20071217,0615,-44.8797, 145.5405, 3527,    297.1,  10.3343,  34.8377,2,  34.8423,2,   245.61,2,   248.05,2,      3.7,2,    12.21,2,     0.88,2,   3.4493,2,   1.8473,2,   0.2619,2,   -0.029,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     15,     15,2,20071217,0615,-44.8797, 145.5405, 3527,    399.8,   9.2602,  34.6596,2,  34.6621,2,   250.09,2,   252.13,2,      4.5,2,    14.66,2,     1.03,2,   3.6206,2,   1.9639,2,   0.2654,2,   -0.040,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     14,     14,2,20071217,0615,-44.8797, 145.5405, 3527,    598.3,   8.4128,  34.5645,2,  34.5662,2,   236.16,2,   234.67,2,      7.6,2,    18.49,2,     1.30,2,   3.2965,2,   1.7236,2,   0.2037,2,   -0.038,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     13,     13,2,20071217,0615,-44.8797, 145.5405, 3527,    802.5,   7.1897,  34.4899,2,  34.4913,2,   202.53,2,   199.43,2,     16.6,2,    24.10,2,     1.66,2,   1.8610,2,   0.9688,2,   0.0683,2,   -0.039,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     12,     12,2,20071217,0615,-44.8797, 145.5405, 3527,    997.2,   5.5016,  34.4144,2,  34.4154,2,   193.67,2,   193.52,2,     30.4,2,    28.83,2,     1.95,2,-999.0000,9,-999.0000,9,-999.0000,9,   -0.039,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     11,     11,2,20071217,0615,-44.8797, 145.5405, 3527,   1099.8,   4.3256,  34.3355,2,  34.3384,2,   204.63,2,   206.64,2,     34.1,2,    30.87,2,     2.05,2,   2.1615,2,   1.0438,2,   0.1510,2,   -0.037,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,     10,     10,2,20071217,0615,-44.8797, 145.5405, 3527,   1199.7,   3.8120,  34.3541,2,  34.3566,2,   196.74,2,   199.45,2,     41.7,2,    32.12,2,     2.16,2,   1.7214,2,   0.8308,2,   0.1008,2,   -0.033,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      9,      9,2,20071217,0615,-44.8797, 145.5405, 3527,   1399.2,   3.4618,  34.4896,2,  34.4911,2,   170.44,2,   169.39,2,     67.1,2,    33.82,2,     2.32,2,   0.4563,2,   0.2275,2,   0.0256,2,   -0.028,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      8,      8,2,20071217,0615,-44.8797, 145.5405, 3527,   1601.2,   2.8801,  34.5604,2,  34.5617,2,   165.21,2,   165.46,2,     78.3,2,    34.17,2,     2.38,2,   0.3108,2,   0.1622,2,   0.0000,3,   -0.025,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      7,      7,2,20071217,0615,-44.8797, 145.5405, 3527,   1801.4,   2.5610,  34.6294,2,  34.4634,4,   168.24,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,   1.0227,2,   0.5066,2,   0.0531,2,   -0.026,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      6,      6,2,20071217,0615,-44.8797, 145.5405, 3527,   2001.0,   2.3832,  34.6733,2,  34.6756,2,   173.73,2,   174.74,2,     85.1,2,    32.80,2,     2.26,2,   0.1221,2,   0.0597,2,   0.0139,2,   -0.025,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      5,      5,2,20071217,0615,-44.8797, 145.5405, 3527,   2198.1,   2.2584,  34.7033,2,  34.7052,2,   177.63,2,   177.86,2,     88.2,2,    32.17,2,     2.24,2,   0.0842,2,   0.0410,2,   0.0000,2,   -0.027,2,    0.001,2
  09AR20071216,    PULSE,     1,  1,      4,      4,2,20071217,0615,-44.8797, 145.5405, 3527,   2402.0,   2.1242,  34.7230,2,  34.7251,2,   181.12,2,   181.20,2,     92.5,2,    31.63,2,     2.22,2,   0.0757,2,   0.0381,2,   0.0000,2,   -0.029,2,    0.001,2
