BOTTLE,20140325SIOCCHRJL
# Changed NH4 STNNBR 999, CASTNO 1, BTLNBR 1-24 from flag 1 to 2
# BOTTLE,20140324SIOCCHRJL
# Changed empty data values -9 to -999 
# AMMONI changed to NH4
# SILCAT empty data values flag 2 changed to flag 9
# BOTTLE,20111115PRINUNIVRMK
# 5/4/11 Initialized README file  
# Data source: D. Greeley 4/5/11; final 6/16/11 
# SHIP: Thomas G. Thompson 
# Cruise: TN224; Student cruise 
# Region: NE Pacific mostly along P16N line 
# EXPOCODE: 325020080826 
# DATES: 8/26-9/17/2008 
# Chief Scientist:S. Emerson & P. Quay 
# 38 stations with 24 place Rosette 
# Hydro: Who - S. Emerson; Status - final 
# Nuts/O2: Who - K.Krogslund & S. Emerson; Status - final 
# 	Notes: CTD oxygen values are not calibrated 
# 	Almost all oxygen run in duplicate 
# 	Includes NH4 
# 	See Howard et al., 2010. 
# TCO2: Who - C. Sabine; Status - final 
# 	Notes: values corrected to CRM batch 89 
# 	Estimnated precision ~1umol/kg 
# 	See Emerson et al., 2010. 
# TA: Who - C. Sabine; Status - final 
# 	Notes: values corrected to CRM batch 84 
# 	Estimated precision less than 3umol/kg 
# CFC: Who - J. Bullister & R. Sonnerup; Status - final 
# 	Notes: Includes SF6 
# C-13: Who - P. Quay; Status - samples collected 
# 	NOtes: No data in file 
# Other: O-17 P. Quay Status - no data in file 
# 	Transmissometer ? 
# References: 
# Howard, E., S. Emerson, S. Bushinsky (2010) Net biological oxygen production at the subarctic-subtropical boundary in the North Pacific, Limnology and Oceanography, 53: 2226-2236. 
# Emerson, S., C. Sabine, M. F. Cronin, R. Feely, S. E. Cullison Gray, and M. DeGrandpre (2011), Quantifying the flux of CaCO3 and organic carbon from the surface ocean using in situ measurements of O2, N2, pCO2, and pH, Global Biogeochem. Cycles, 25, GB3008, doi:10.1029/2010GB003924. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FLUOR,XMISS
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,UG/L,%TRANS
  325020080826,  P16N,   999,  1,      1,      1,2,20080828,2147, 49.2000,-133.8300, 3298,   2025.9,   1.9720,  34.5820,2,  34.5840,3,     57.6,3,     56.1,6,   168.55,3,    39.75,3,     0.19,3,     3.00,3,     0.08,2, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   2414.8,2,    0.025,    99.36
  325020080826,  P16N,   999,  1,      2,      2,2,20080828,2148, 49.2000,-133.8300, 3298,   2027.0,   1.9700,  34.5820,2,  34.5820,3,     57.6,3,     55.5,6,   165.46,3,    40.16,3,     0.18,3,     3.00,3,     0.13,2,    0.005,2,    0.016,6,        0,2,   -999.0,9,   2413.4,2,     0.03,    99.36
  325020080826,  P16N,   999,  1,      3,      3,2,20080828,2148, 49.2000,-133.8300, 3298,   2026.7,   1.9710,  34.5820,2,  34.5830,3,     57.6,3,     55.5,6,   166.42,3,    40.31,3,     0.63,3,     3.00,3,     1.02,2,    0.023,2,    0.030,4,        0,2,   -999.0,9,   2408.9,2,    0.029,    99.37
  325020080826,  P16N,   999,  1,      4,      4,2,20080828,2148, 49.2000,-133.8300, 3298,   2026.2,   1.9710,  34.5820,2,  34.5830,3,     57.7,3,     55.0,6,   168.27,3,    40.31,3,     0.64,3,     3.00,3,     1.01,2,    0.015,6,    0.004,2,        0,2,   -999.0,9,   2414.6,2,    0.032,    99.36
  325020080826,  P16N,   999,  1,      5,      5,2,20080828,2148, 49.2000,-133.8300, 3298,   2027.2,   1.9700,  34.5820,2,  34.8530,3,     57.7,3,     56.4,6,   171.26,3,    40.06,3,     0.23,3,     2.99,3,        0,2,    0.010,2,    0.005,2,    0.015,2,   -999.0,9,   2410.7,2,     0.03,    99.37
  325020080826,  P16N,   999,  1,      6,      6,2,20080828,2148, 49.2000,-133.8300, 3298,   2026.6,   1.9700,  34.5820,2,  34.5810,3,     57.6,3,     55.1,6,   170.64,3,    39.60,3,     0.23,3,     2.98,3,        0,2, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   2413.7,2,    0.024,    99.32
  325020080826,  P16N,   999,  1,      7,      7,2,20080828,2158, 49.2000,-133.8300, 3298,   1518.8,   2.3370,  34.5130,2,  34.5100,3,     28.6,3,     27.2,6,   159.64,3,    40.61,3,     0.13,3,     3.13,3,        0,2,    0.009,2,    0.006,2,        0,2,   -999.0,9,   2401.3,2,    0.042,    99.20
  325020080826,  P16N,   999,  1,      8,      8,2,20080828,2158, 49.2000,-133.8300, 3298,   1518.5,   2.3370,  34.5130,2,  34.5120,3,     28.6,3,     27.0,6,   158.11,3,    42.74,3,     0.13,3,     3.10,3,        0,2,    0.023,2,    0.035,2,    0.395,3,   -999.0,9,   2401.6,2,    0.028,    99.34
  325020080826,  P16N,   999,  1,      9,      9,2,20080828,2208, 49.2000,-133.8300, 3298,   1010.1,   3.0340,  34.3820,2,  34.3820,3,     11.1,3,     10.0,6,   139.40,3,    44.75,3,     0.12,3,     3.30,3,        0,2,    0.035,2,    0.020,2,    0.042,2,   -999.0,9,   2374.2,2,     0.04,    99.30
  325020080826,  P16N,   999,  1,     10,     10,2,20080828,2208, 49.2000,-133.8300, 3298,   1010.9,   3.0380,  34.3830,2,  34.3810,3,     11.1,3,     10.6,6,   142.14,3,    44.30,3,     0.12,3,     3.22,3,        0,2,    0.022,2,    0.015,2,        0,2,   -999.0,9,   2371.1,2,    0.033,    99.30
  325020080826,  P16N,   999,  1,     11,     11,2,20080828,2214, 49.2000,-133.8300, 3298,    757.9,   3.5200,  34.2550,2,  34.2540,3,     16.3,3,     15.8,6,   123.83,3,    43.40,3,     0.11,3,     3.14,3,        0,2, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   2349.5,2,    0.031,    99.30
  325020080826,  P16N,   999,  1,     12,     12,2,20080828,2214, 49.2000,-133.8300, 3298,    758.2,   3.5200,  34.2550,2,  34.2540,3,     16.3,3,     15.9,6,   124.31,3,    43.00,3,     0.12,3,     3.15,3,        0,2,    0.190,2,    0.089,2,        0,2,   -999.0,9,   2353.3,3,    0.036,    99.30
  325020080826,  P16N,   999,  1,     13,     13,2,20080828,2219, 49.2000,-133.8300, 3298,    504.8,   4.1210,  34.0800,2,  34.0790,3,     32.0,3,     31.2,6,    98.46,3,    40.69,3,     0.11,3,     3.04,3,        0,2,    1.007,2,    0.500,2,    0.137,2,   -999.0,9,   2315.2,2,    0.029,    99.26
  325020080826,  P16N,   999,  1,     14,     14,2,20080828,2219, 49.2000,-133.8300, 3298,    504.9,   4.1230,  34.0800,2,  34.0790,3,     32.0,3,     31.7,6,    96.86,3,    41.23,3,     0.10,3,     3.05,3,        0,2,    0.983,2,    0.499,2,    0.138,2,   -999.0,9,   2314.0,2,    0.031,    99.27
