BOTTLE,20100830CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2010-08-30
#original HYD file: /Users/cberys/Work/Data/2010.08.30_P142007_1_PH_header_CBG/working/original_hy1.csv  2010-08-30
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,PH_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,DM/.1MG,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20071008, P01, 28, 2, 0, -999, 9, 20071010, 1149, 42.3303, 152.0905, 5119,   -999.0, 9, -999.0000, 9, -999.0000, 9,  32.9445, 2,   -999.0, 9,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0, -999.0000, -999.0000, -999.0000, 9, 9, -999.00, -999.00, -999.00, -999.000,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 36, X12042, 2, 20071010, 1149, 42.3303, 152.0905, 5119,      9.9, 2,  15.1265, 2,  32.9237, 2,  32.9250, 2,    257.9, 2,    257.5, 2,     3.56, 2,     3.70, 2,     0.11, 2,     0.60, 2,    2.769, 2,    1.594, 2,    0.309, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  15.1250, 24.3446,  15.1238, 2, 9, 0.13, 0.04, 0.01, 0.013,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 35, X12041, 2, 20071010, 1149, 42.3303, 152.0905, 5119,     49.6, 2,   4.9994, 2,  33.2907, 2,  33.2914, 2,    290.0, 2,    291.4, 2,    34.98, 2,    21.04, 2,     0.13, 2,     1.73, 2,    4.894, 2,    2.572, 2,    0.445, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   4.9957, 26.3207,   5.0065, 2, 9, 0.20, 0.09, 0.01, 0.014,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 34, X12016, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    100.3, 2,   2.8797, 2,  33.3599, 2,  33.3553, 2,    266.3, 2,    260.5, 2,    46.09, 2,    25.33, 2,     0.03, 2,     1.99, 2,    4.810, 2,    2.519, 2,    0.404, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.8739, 26.5869,   2.8758, 2, 9, 0.22, 0.10, 0.01, 0.015,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 33, X12033, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    150.9, 2,   2.7382, 2,  33.4865, 2,  33.4884, 2,    222.6, 2,    216.4, 2,    65.93, 2,    32.48, 2,     0.02, 2,     2.46, 2,    4.240, 6,    2.175, 6,    0.345, 6, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.7296, 26.7004,   2.7418, 2, 9, 0.26, 0.12, 0.01, 0.016,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 32, X12038, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    199.7, 2,   2.7231, 2,  33.5806, 2,  33.5806, 2,    186.6, 2,    182.5, 2,    76.98, 2,    35.66, 2,     0.03, 2,     2.66, 2,    3.808, 2,    1.956, 2,    0.294, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.7116, 26.7771,   2.7222, 2, 9, 0.29, 0.13, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 31, X12003, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    250.7, 2,   2.8226, 2,  33.6809, 2,  33.6797, 6,    138.5, 2,    141.6, 2,    84.02, 2,    36.95, 2,     0.02, 2,     2.73, 2,    3.273, 2,    1.674, 2,    0.241, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   2.8078, 26.8490,   2.7950, 2, 9, 0.30, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 30, X12008, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    299.4, 2,   3.2239, 2,  33.7897, 2,  33.7889, 2,    109.6, 2,    119.7, 2,    93.42, 2,    39.64, 2,     0.02, 2,     2.90, 2,    2.770, 2,    1.396, 2,    0.195, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   3.2051, 26.9004,   3.2279, 2, 9, 0.32, 0.14, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
49NZ20071008, P01, 28, 2, 29, X12035, 2, 20071010, 1149, 42.3303, 152.0905, 5119,    399.9, 2,   3.1571, 2,  33.9339, 2,  33.9391, 2,     75.4, 2,     73.8, 2,   105.49, 2,    41.49, 2,     0.02, 2,     3.00, 2,    1.937, 2,    0.957, 2,    0.143, 2, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000,   -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,   3.1317, 27.0221,   3.1588, 2, 9, 0.35, 0.15, 0.01, 0.017,  -999.00, 9, -999.00, -999.00, 9, -999.00
