BOTTLE,20081104CCHDOSIODBK
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,FLUOR,FLUOR_FLAG_W,PAR,PAR_FLAG_W,XMISS,XMISS_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,,,,
  09AR20060102,  TEST,     1,  1,     24,     24,2,20060106,0640,-43.6350,  93.0825, 2679,      8.9,  10.2970,  34.4208,2,  34.4203,2,   284.73,2,   284.96,2,      0.9,2,    13.31,2,  -999.00,9,    0.213,2,    0.616,2,    0.960,2
  09AR20060102,  TEST,     1,  1,     23,     23,2,20060106,0640,-43.6350,  93.0825, 2679,      8.8,  10.2955,  34.4205,2,-999.0000,9,   284.73,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,    0.190,2,    1.144,2,    0.959,2
  09AR20060102,  TEST,     1,  1,     22,     22,2,20060106,0640,-43.6350,  93.0825, 2679,      8.6,  10.2956,  34.4204,2,-999.0000,9,   284.73,2,  -999.00,9,   -999.0,9,  -999.00,9,  -999.00,9,    0.200,2,    1.396,2,    0.960,2
  09AR20060102,  TEST,     1,  1,     21,     21,2,20060106,0640,-43.6350,  93.0825, 2679,     19.1,  10.2938,  34.4203,2,  34.4205,2,   285.49,2,  -999.00,9,      0.9,2,    13.24,2,  -999.00,9,    0.543,2,    0.521,2,    0.960,2
  09AR20060102,  TEST,     1,  1,     20,     20,2,20060106,0640,-43.6350,  93.0825, 2679,     29.4,  10.2429,  34.4183,2,  34.4187,2,   285.92,2,  -999.00,9,      0.9,2,    13.20,2,  -999.00,9,    0.836,2,    0.168,2,    0.959,2
  09AR20060102,  TEST,     1,  1,     19,     19,2,20060106,0640,-43.6350,  93.0825, 2679,     38.2,  10.2215,  34.4184,2,  34.4178,2,   286.49,2,   286.91,2,      0.9,2,    13.14,2,  -999.00,9,    0.972,2,    0.120,2,    0.958,2
  09AR20060102,  TEST,     1,  1,     18,     18,2,20060106,0640,-43.6350,  93.0825, 2679,     48.2,  10.2000,  34.4277,2,  34.4272,2,   287.47,2,   285.74,2,      1.0,2,    13.02,2,  -999.00,9,    1.184,2,    0.088,2,    0.956,2
  09AR20060102,  TEST,     1,  1,     17,     17,2,20060106,0640,-43.6350,  93.0825, 2679,     59.7,   9.9101,  34.4713,2,  34.4579,2,   282.09,2,   288.73,2,      1.0,2,    12.91,2,  -999.00,9,    1.948,2,    0.047,2,    0.954,2
  09AR20060102,  TEST,     1,  1,     16,     16,2,20060106,0640,-43.6350,  93.0825, 2679,     68.8,  11.0070,  34.7850,2,  34.7735,2,   280.49,2,   277.42,2,      2.4,2,    10.49,2,  -999.00,9,    1.317,2,    0.023,2,    0.966,2
