BOTTLE,20121018CDIACAK
# reported values with flag "1" replaced with flag "2"
#BOTTLE,20120829SIOCCHCBG
#BOTTLE,20070702JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v2.0 (ogc_group)
#ORIGINAL_SUM_FILE: 49MR99K05_1_sum.txt Fri Mar 16 17:23:56 +0900 2007
#ORIGINAL_HYD_FILE: 49MR99K05_1_sea.txt Mon Jul 02 17:30:32 +0900 2007
#DEPTH_TYPE: UNC
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,SF6,SF6_FLAG_W,PH,PH_FLAG_W,ALKALI,ALKALI_FLAG_W,TCARBN,TCARBN_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,BARIUM,BARIUM_FLAG_W,CALCIUM,CALCIUM_FLAG_W,CHLORA,CHLORA_FLAG_W,TOC,TOC_FLAG_W,CU,CU_FLAG_W,NI,NI_FLAG_W,THETA,SIG0
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,,/MILLE,NMOL/KG,,MMOL/KG,,UG/KG,,UMOL/L,,UMOL/L,,UMOL/L,,ITS-90,KG/M^3
   49NZ199905_1,   P01C,4,1,0,0,9,19990825,111,42.8038,145.5538,1470,-999,9,13.3,3,-999,9,33.0453,2,-999,9,258.25,2,0.55,2,0.2,3,0.01,2,0,2,-999,9,-999,9,-999,9,-999,9,7.969,2,-999,9,-999,9,-999,1,-999,9,-999,-999,1,-999,1,0.43,1,-999,1,-999,1,-999,1,13.3,24.8199
   49NZ199905_1,   P01C,4,1,24,24,2,19990825,111,42.8038,145.5538,1470,11.4,2,18.2084,2,33.0183,2,33.0393,2,212.19,2,259.09,2,0.98,2,0.21,3,0.04,2,0,2,-999,9,-999,9,-999,9,-999,9,7.962,2,2227.8,2,1955.7,2,-999,1,-999,9,-999,-999,1,-999,1,0.28,1,-999,1,-999,1,-999,1,18.2065,23.7216
   49NZ199905_1,   P01C,4,1,23,23,2,19990825,111,42.8038,145.5538,1470,50.2,2,6.8728,2,33.3178,2,33.3271,2,229.41,2,-999,4,28.12,2,14.12,3,0.24,2,1.2,2,-999,9,-999,9,-999,9,-999,9,7.716,2,2246.5,2,2097.7,2,-999,1,-999,9,-999,-999,1,-999,1,0.11,1,-999,1,-999,1,-999,1,6.8683,26.119
   49NZ199905_1,   P01C,4,1,22,22,2,19990825,111,42.8038,145.5538,1470,101,2,3.7259,2,33.3476,2,33.3668,3,243.11,2,278.01,2,29.95,3,19.31,3,0.03,3,1.5,3,-999,9,-999,9,-999,9,-999,9,7.664,2,2243,3,2125.4,3,-999,1,-999,9,-999,-999,1,-999,1,0.02,1,-999,1,-999,1,-999,1,3.7194,26.5149
   49NZ199905_1,   P01C,4,1,21,21,2,19990825,111,42.8038,145.5538,1470,150,2,1.6737,2,33.2123,2,33.2254,2,240.53,2,273.56,2,45.23,2,24.93,3,0.03,2,1.93,2,-999,9,-999,9,-999,9,-999,9,7.587,2,2243.7,2,2159,2,-999,1,-999,9,-999,-999,1,-999,1,0.01,1,-999,1,-999,1,-999,1,1.6665,26.5743
   49NZ199905_1,   P01C,4,1,20,20,2,19990825,111,42.8038,145.5538,1470,201.4,2,1.8138,2,33.3104,2,33.3119,2,220.29,2,253.35,2,52.23,2,27.22,3,0.02,2,2.07,2,-999,9,-999,9,-999,9,-999,9,7.545,2,2256.8,2,2171.9,2,-999,1,-999,9,-999,-999,1,-999,1,0.01,1,-999,1,-999,1,-999,1,1.8038,26.6338
   49NZ199905_1,   P01C,4,1,19,19,2,19990825,111,42.8038,145.5538,1470,249.4,2,2.4558,2,33.443,2,33.4531,2,187.31,2,217.84,2,57.84,2,29.75,3,0.02,2,2.23,2,-999,9,-999,9,-999,9,-999,9,7.512,2,2260.8,2,2192.6,2,-999,1,-999,9,-999,-999,1,-999,1,0.01,1,-999,1,-999,1,-999,1,2.4419,26.6977
   49NZ199905_1,   P01C,4,1,18,18,2,19990825,111,42.8038,145.5538,1470,299.4,2,2.3043,2,33.5034,2,33.5084,4,158.33,2,184.16,2,68.89,3,33.19,3,0.04,3,2.48,3,-999,9,-999,9,-999,9,-999,9,7.464,3,2274.5,3,2222.8,3,-999,1,-999,9,-999,-999,1,-999,1,0.01,1,-999,1,-999,1,-999,1,2.2879,26.7544
   49NZ199905_1,   P01C,4,1,17,17,2,19990825,111,42.8038,145.5538,1470,351.3,2,3.0072,2,33.6805,2,33.6764,2,114.6,2,139.53,2,31.67,4,16.24,4,0.08,4,1.28,4,-999,9,-999,9,-999,9,-999,9,7.413,3,2269.9,2,2245.1,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,1,-999,1,2.9856,26.8299
   49NZ199905_1,   P01C,4,1,16,16,2,19990825,111,42.8038,145.5538,1470,400.7,2,2.8864,2,33.7329,2,33.7392,6,94.59,2,111.6,2,87.69,2,39.15,3,0.03,2,2.83,2,-999,9,-999,9,-999,9,-999,9,7.393,3,2286.6,2,2269.9,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,9,-999,9,2.862,26.8909
   49NZ199905_1,   P01C,4,1,15,15,2,19990825,111,42.8038,145.5538,1470,500.8,2,3.017,2,33.9207,2,33.9254,2,50.88,2,62.71,2,106.28,2,43.15,3,0.02,2,3.06,2,-999,9,-999,9,-999,9,-999,9,7.341,2,2306.5,2,2303.4,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,1,-999,1,2.9854,27.0286
   49NZ199905_1,   P01C,4,1,14,14,2,19990825,111,42.8038,145.5538,1470,601.6,2,3.3042,2,34.072,2,34.0778,2,29.31,2,-999,4,116.22,2,44.56,3,0.02,2,3.16,2,-999,9,-999,9,-999,9,-999,9,7.308,2,2321.8,2,2325.2,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,9,-999,9,3.2642,27.1247
   49NZ199905_1,   P01C,4,1,13,13,2,19990825,111,42.8038,145.5538,1470,801.2,2,3.104,2,34.2435,2,34.2487,2,21.82,2,-999,4,133.9,2,44.87,3,0.03,2,3.18,2,-999,9,-999,9,-999,9,-999,9,7.332,2,2348,2,2348.8,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,9,-999,9,3.0505,27.2808
   49NZ199905_1,   P01C,4,1,12,12,2,19990825,111,42.8038,145.5538,1470,1002,2,2.8788,2,34.38,2,-999,9,26.96,2,-999,9,0.58,4,0.18,4,0.03,4,0.17,4,-999,9,-999,9,-999,9,-999,9,-999,2,-999,9,-999,9,-999,1,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999
   49NZ199905_1,   P01C,4,1,11,11,2,19990825,111,42.8038,145.5538,1470,1249.9,2,2.4929,2,34.4496,2,34.4557,6,32.12,2,-999,4,153.13,2,44.42,3,0.02,2,3.11,2,-999,9,-999,9,-999,9,-999,9,7.372,2,2378.2,2,2380,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,9,-999,9,2.4106,27.5023
   49NZ199905_1,   P01C,4,1,10,10,2,19990825,111,42.8038,145.5538,1470,1470.3,2,2.3083,2,34.4976,2,34.5029,2,40.03,2,48.33,2,158.33,2,44,3,0.03,2,3.1,2,-999,9,-999,9,-999,9,-999,9,7.395,2,2383.6,2,2383.4,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,1,-999,1,2.2109,27.5565
   49NZ199905_1,   P01C,4,1,9,9,2,19990825,111,42.8038,145.5538,1470,1471.1,2,2.3097,2,34.4971,2,34.5031,2,39.81,2,47.38,2,158.8,2,44.16,3,0.03,2,3.11,2,-999,9,-999,9,-999,9,-999,9,7.386,2,2385.2,2,2393.9,2,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,9,-999,9,2.2123,27.5566
   49NZ199905_1,   P01C,4,1,8,8,2,19990825,111,42.8038,145.5538,1470,1471.7,2,2.3171,2,34.496,2,34.5032,2,39.81,2,53.76,2,159,2,44.02,3,0.01,2,3.1,2,-999,9,-999,9,-999,9,-999,9,7.388,2,-999,2,2397.9,9,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,1,-999,1,2.2195,27.5561
   49NZ199905_1,   P01C,4,1,7,7,2,19990825,111,42.8038,145.5538,1470,1468.7,2,2.3173,2,34.4962,2,34.4952,3,39.86,2,55.85,2,158.54,3,44.03,3,0.02,3,3.1,3,-999,9,-999,9,-999,9,-999,9,7.386,2,2383.8,3,2401.8,3,-999,1,-999,9,-999,-999,1,-999,1,-999,9,-999,1,-999,1,-999,1,2.22,27.5496
   49NZ199905_1,   P01C,5,1,0,0,9,19990825,548,42.6497,145.6995,2408,-999,9,19.9,3,-999,9,32.8112,2,-999,9,238.77,2,0.97,2,0,3,0.01,2,0.05,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,19.9,23.1203
   49NZ199905_1,   P01C,5,1,24,24,2,19990825,548,42.6497,145.6995,2408,10.1,2,20.1557,2,32.784,2,32.7991,3,197.93,2,239.27,2,1.69,3,0,3,0,3,0.09,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,20.1539,23.045
