BOTTLE,20131213PRINUNIVRMK
# 12/15/11 Initialized README file  
# Data source: Libby Jones, 3/28/13 
# SHIP: Polarstern 
# Cruise: ANT XXVII/2 
# Region: far South Atlantic; Capetown to Punta Arenas; A12 
# EXPOCODE: 06AQ20101128 
# DATES: 11/28/2010-2/5/2011 
# Chief Scientist: E.Fahrbach 
# 85 stations with 24 place Rosette 
# Hydro: Who - G.Rohardt; Status -  final 
# 	Notes: CTDSAL only 
# Nuts: Who - H.de Baar; M. Hoppema; Status -  final 
# 	Notes: see cruise report for replicate precision 
# 	JRM Kanso reference material used 
# O2: Who - A.Kortzinger; Status - final 
# 	Notes: CTDOXY only 
# 	converted from umol/l to umol/kg with constant value of 1.028 
# TCO2: Who - L.Jones;M.Hoppema; Status - final 
# 	Notes:  
# TA: Who - L.Jones;M.Hoppema; Status - final 
# 	Notes:  
# CFC: Who - M.Rhein;O.Huhn; Status - unknown 
# 	Notes: includes SF6 and CFC-12, but no CFC-11 
# 	no data in file 
# C14: Who - R.Key/A.Mcnichol; Status - NYA   
# 	Notes:  measurements not yet completed 
# H3/He3: Who - ??; Status - unknown 
# 	Notes: collected 
# 	no data in file 
# O-18: Who - E.Fahrbach;O.Huhn; Status - unknown 
# 	Notes: no data in file 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,/MILLE,,DEG C
  06AQ20101128,   A12,    21,  2,     24,2,20101207,1036,-50.2602,   1.4440, 3870,     25.1,   3.9175,  33.8811,2,    334.8,2,     9.70,2,    20.91,2,     0.20,2,     1.33,2,   2124.5,6,   2287.2,6,   -999.0,9,   -999.0,  -999.00,9,   3.9158
  06AQ20101128,   A12,    21,  2,     23,2,20101207,2143,-50.2602,   1.4440, 3870,     50.4,   3.8914,  33.8806,2,    332.7,2,     9.67,2,    21.11,2,     0.19,2,     1.33,2,   2124.9,6,   2286.3,6,   -999.0,9,   -999.0,  -999.00,9,   3.8880
  06AQ20101128,   A12,    21,  2,     22,2,20101207,2225,-50.2602,   1.4440, 3870,     76.2,   3.7879,  33.8853,2,    329.5,2,    10.87,2,    21.56,2,     0.19,2,     1.38,2,   2130.6,2,   2288.7,2,   -999.0,9,   -999.0,  -999.00,9,   3.7829
  06AQ20101128,   A12,    21,  2,     21,2,20101207,2246,-50.2602,   1.4440, 3870,    101.7,   2.5523,  33.9266,2,    319.5,2,    15.58,2,    24.26,2,     0.17,2,     1.70,2,   2145.4,2,   2278.3,2,   -999.0,9,   -999.0,  -999.00,9,   2.5466
  06AQ20101128,   A12,    21,  2,     20,2,20101207,2307,-50.2602,   1.4440, 3870,    150.8,   2.1235,  33.9891,2,    304.1,2,    21.45,2,    27.61,2,     0.03,2,     1.89,2,   2168.4,2,   2282.6,2,   -999.0,9,   -999.0,  -999.00,9,   2.1155
  06AQ20101128,   A12,    21,  2,     19,2,20101207,2327,-50.2602,   1.4440, 3870,    202.3,   1.9178,  34.0527,2,    280.8,2,    26.78,2,    29.27,2,     0.02,2,     2.00,2,   2172.6,2,   2308.0,2,   -999.0,9,   -999.0,  -999.00,9,   1.9073
  06AQ20101128,   A12,    21,  2,     18,2,20101207,0009,-50.2602,   1.4440, 3870,    203.1,   1.9157,  34.0548,2,    282.3,2,    27.10,2,    29.30,2,     0.02,2,     2.01,2,   2174.3,2,   2298.4,2,   -999.0,9,   -999.0,  -999.00,9,   1.9052
  06AQ20101128,   A12,    21,  2,     17,2,20101207,0030,-50.2602,   1.4440, 3870,    301.2,   2.1663,  34.2292,2,    229.4,2,    41.66,2,    32.29,2,     0.01,2,     2.23,2,   2198.5,2,   2303.6,2,   -999.0,9,   -999.0,  -999.00,9,   2.1497
  06AQ20101128,   A12,    21,  2,     15,2,20101207,0050,-50.2602,   1.4440, 3870,    505.5,   2.4300,  34.4462,2,    181.1,2,    61.68,2,    34.24,2,     0.00,2,     2.38,2,   2240.7,2,   2339.9,2,   -999.0,9,   -999.0,  -999.00,9,   2.4000
  06AQ20101128,   A12,    21,  2,     14,2,20101207,0111,-50.2602,   1.4440, 3870,    606.1,   2.3921,  34.5132,2,    174.7,2,    67.73,2,    34.21,2,     0.00,2,     2.38,2,   2245.6,2,   2335.8,2,   -999.0,9,   -999.0,  -999.00,9,   2.3558
  06AQ20101128,   A12,    21,  2,     12,2,20101207,0133,-50.2602,   1.4440, 3870,    808.1,   2.2733,  34.6003,2,    173.9,2,    75.99,2,    33.50,2,     0.00,2,     2.32,2,   2250.2,2,   2348.2,2,   -999.0,9,   -999.0,  -999.00,9,   2.2242
  06AQ20101128,   A12,    21,  2,     11,2,20101207,0154,-50.2602,   1.4440, 3870,   1011.4,   2.2939,  34.6920,2,    182.3,2,    76.52,2,    31.51,2,     0.00,2,     2.19,2,   2244.4,2,   2350.0,2,   -999.0,9,   -999.0,  -999.00,9,   2.2304
  06AQ20101128,   A12,    21,  2,     10,2,20101207,0222,-50.2602,   1.4440, 3870,   1265.5,   2.1597,  34.7405,2,    191.7,2,    75.42,2,    29.73,2,     0.00,2,     2.06,2,   2235.6,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0789
  06AQ20101128,   A12,    21,  2,      8,2,20101207,0244,-50.2602,   1.4440, 3870,   2030.0,   1.4981,  34.7434,2,    204.6,2,    93.25,2,    29.86,2,     0.00,2,     2.08,2,   2245.7,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.3665
  06AQ20101128,   A12,    21,  2,      7,2,20101207,0305,-50.2602,   1.4440, 3870,   2536.1,   1.0387,  34.7154,2,    206.6,2,   107.24,2,    30.98,2,     0.00,2,     2.17,2,   2253.0,2,   2363.7,2,   -999.0,9,   -999.0,  -999.00,9,   0.8731
  06AQ20101128,   A12,    21,  2,      6,2,20101207,0326,-50.2602,   1.4440, 3870,   3049.4,   0.6983,  34.6959,2,    211.0,2,   117.34,2,    31.77,2,     0.00,2,     2.22,2,   2258.2,2,   2363.4,2,   -999.0,9,   -999.0,  -999.00,9,   0.4947
  06AQ20101128,   A12,    21,  2,      5,2,20101207,0348,-50.2602,   1.4440, 3870,   3375.2,   0.6162,  34.6905,2,    213.2,2,   120.85,2,    32.05,2,     0.00,2,     2.24,2,   2259.8,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.3843
  06AQ20101128,   A12,    21,  2,      4,2,20101207,0411,-50.2602,   1.4440, 3870,   3629.4,   0.5973,  34.6888,2,    212.9,2,   122.91,2,    32.08,2,     0.00,2,     2.24,2,   2258.6,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.3413
  06AQ20101128,   A12,    21,  2,      2,2,20101207,0432,-50.2602,   1.4440, 3870,   3834.0,   0.6006,  34.6876,2,    213.4,2,   123.63,2,    32.02,2,     0.00,2,     2.25,2,   2259.3,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.3241
  06AQ20101128,   A12,    21,  2,      1,2,20101207,0453,-50.2602,   1.4440, 3870,   3886.5,   0.6042,  34.6878,2,    213.0,2,   123.45,2,    32.17,2,     0.00,2,     2.25,2,   2259.9,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.3223
  06AQ20101128,   A12,    22,  2,     24,2,20101208,0536,-51.4195,   0.0055, 2711,     24.6,   2.8301,  33.8514,2,    338.1,2,    22.78,2,    23.60,2,     0.21,2,     1.60,2,   2151.8,2,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.8287
  06AQ20101128,   A12,    22,  2,     23,2,20101208,0617,-51.4195,   0.0055, 2711,     50.2,   2.7506,  33.8547,2,    336.8,2,    22.82,2,    23.71,2,     0.21,2,     1.60,2,   2150.8,2,   2282.5,2,   -999.0,9,   -999.0,  -999.00,9,   2.7477
  06AQ20101128,   A12,    22,  2,     20,2,20101208,0637,-51.4195,   0.0055, 2711,     75.3,   1.9801,  33.9038,2,    338.0,2,    23.07,2,    23.98,2,     0.22,2,     1.64,2,   2153.1,6,   2283.1,6,   -999.0,9,   -999.0,  -999.00,9,   1.9763
  06AQ20101128,   A12,    22,  2,     19,2,20101208,0718,-51.4195,   0.0055, 2711,    100.6,   1.5322,  33.9458,2,    324.8,2,    23.53,2,    25.18,2,     0.27,2,     1.80,2,   2162.2,2,   2283.7,2,   -999.0,9,   -999.0,  -999.00,9,   1.5274
  06AQ20101128,   A12,    22,  2,     18,2,20101208,0753,-51.4195,   0.0055, 2711,    151.4,   1.4922,  34.0246,2,    298.1,2,    29.36,2,    28.05,2,     0.06,2,     1.96,2,   2176.9,6,   2287.6,6,   -999.0,9,   -999.0,  -999.00,9,   1.4849
  06AQ20101128,   A12,    22,  2,     17,2,20101208,0834,-51.4195,   0.0055, 2711,    201.2,   1.6507,  34.1717,2,    250.7,2,    50.03,2,    32.84,2,     0.00,2,     2.28,2,   2213.6,2,   2300.5,2,   -999.0,9,   -999.0,  -999.00,9,   1.6407
