BOTTLE,20140401SIOCCHCBG
# NITRAT changed to NO2+NO3
# TCARBN changed from 999.0 flag 4 to -999.0 flag 9
#BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2003-038 
# Region: Labrador Sea and off Halifax; AR07W 
# EXPOCODE: 18HU20040713 
# DATES: 7/13 - 8/4/2003 
# Chief Scientist: Allyn Clarke 
# 55 stations with 24 place Rosette 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO 
# 	Calibration check: 
# 	CTD Salinity = 0.9978*Salinity + 0.0772; RSE= 0.00313 
# Nuts: Who - G.Harrison; Status - final 
# 	Notes: 
# 	Nutrients run in duplicate 
# O2: Who - R.Hendry; Status - final 
# 	Notes:  
# 	CTDoxy =  1.64 + 0.9944*Oxygen; RESE=1.83 
# TCO2: Who - P.Jones/R.Gershey; Status - final 
# 	Notes:  
# TA: Who - P.Jones/R.Gershey; Status - final 
# 	Notes: ~5umol/kg scatter on average 
# CFC: Who - P.Jones; Status - final 
# 	Notes: includes CFC-113  
# 	All CFC-113 and CCL4 flagged 3/4 
# Other:	Chloro-A 
# 	I-129 (J.Smith) 
# 	TOC (P. Kepkay) 
# 	No data in file for any of these 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,,
  18HU20030713, AR07W,     4,  1, 265601,      1,2,20030713,1909, 44.4000, -63.4675,   95,     85.1,   0.8880,  32.3273,2,  32.3241,2,    296.9,2,   -999.0,9,     7.61,6,     7.00,6,     1.05, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.8847, 20030713,     1909
  18HU20030713, AR07W,     4,  1, 265602,      2,2,20030713,1909, 44.4000, -63.4675,   95,     61.2,   0.7490,  32.2260,2,-999.0000,9,    303.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00, 9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.7467, 20030713,     1911
  18HU20030713, AR07W,     4,  1, 265603,      3,2,20030713,1909, 44.4000, -63.4675,   95,     50.4,   0.9372,  32.1196,2,  32.0875,2,    319.0,2,   -999.0,9,     3.42,6,     4.53,6,     0.85, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   0.9352, 20030713,     1912
  18HU20030713, AR07W,     4,  1, 265604,      4,2,20030713,1909, 44.4000, -63.4675,   95,     40.4,   1.0119,  31.9127,2,  31.9121,2,    332.5,2,   -999.0,9,     3.12,6,     3.26,6,     0.76, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.0103, 20030713,     1913
  18HU20030713, AR07W,     4,  1, 265605,      5,2,20030713,1909, 44.4000, -63.4675,   95,     30.6,   1.7420,  31.7976,2,  31.8103,2,    342.1,2,   -999.0,9,     2.59,6,     2.24,6,     0.64, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.7406, 20030713,     1914
  18HU20030713, AR07W,     4,  1, 265606,      6,2,20030713,1909, 44.4000, -63.4675,   95,     20.1,   2.7334,  31.6992,2,  31.6564,2,    359.6,2,   -999.0,9,     1.71,6,     0.52,6,     0.47, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.7323, 20030713,     1915
  18HU20030713, AR07W,     4,  1, 265607,      7,2,20030713,1909, 44.4000, -63.4675,   95,     10.2,   7.9520,  31.4199,2,  31.5589,3,    329.4,2,   -999.0,9,     0.76,6,     0.09,6,     0.31, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   7.9510, 20030713,     1916
  18HU20030713, AR07W,     4,  1, 265608,      8,2,20030713,1909, 44.4000, -63.4675,   95,      2.4,  11.1928,  31.1871,2,  31.2075,2,    302.2,2,   -999.0,9,     0.72,6,     0.09,6,     0.37, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,  11.1925, 20030713,     1917
  18HU20030713, AR07W,     9,  1, 265609,      1,2,20030713,2139, 44.2695, -63.3193,  145,    150.8,   7.7039,  34.2296,2,-999.0000,9,    166.2,2,   -999.0,9,    15.25,6,    16.36,6,     1.30, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   7.6892, 20030713,     2139
  18HU20030713, AR07W,     9,  1, 265610,      2,2,20030713,2139, 44.2695, -63.3193,  145,    101.4,   3.2614,  33.0805,2,-999.0000,9,    245.1,2,   -999.0,9,     9.67,6,    11.60,6,     1.18, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   3.2553, 20030713,     2142
  18HU20030713, AR07W,     9,  1, 265611,      3,2,20030713,2139, 44.2695, -63.3193,  145,     80.9,   1.2269,  32.5876,2,-999.0000,9,    290.8,2,   -999.0,9,     7.27,6,     8.12,6,     0.95, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.2235, 20030713,     2143
  18HU20030713, AR07W,     9,  1, 265612,      4,2,20030713,2139, 44.2695, -63.3193,  145,     60.1,   1.1251,  32.4364,2,-999.0000,9,    307.9,2,   -999.0,9,     4.74,6,     6.22,6,     0.86, 6, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   1.1226, 20030713,     2144
