BOTTLE,20090511PRINUNIVRMK
# 9/26/07 this file initialized 
# Data from Rios 9/5/07 and 9/12/07 
# Ship: Hesperides 
# Cruise: HE081; FICARAM IV 
# Dates: 3/4-4/9/2002 
# EXPOCODE 29HE20020304 
# Region:Southwest Atlantic along A17 line 
# Chief Scientist: F.Perez 
# 19 full depth stations with 24 place Rosette 
# Hydro: Who - ; Status - final  
# 	Notes: Bottom depths estimated from global topography 
# Nuts/O2: Who - C. Castro; Status - final 
# 	Notes:The analytical error was  
# 		0.05 umole/kg for nitrate, 
# 		0.05 umole/kg for silicic acid and  
# 		0.01 umole/kg for phosphate. 
# TA: Who - A. Rios; Status - final 
# 	Notes: CRM batch 54, uncertainty of 0.7umol/kg 
# pH: Who - A. Rios; Status - final   
# 	Notes: Converted to SWS@25C. Originally reported as pHTot@25 
# 	spectrophotometrically following Clayton and Byrne (1993) 
# 	CRM batch 54, uncertainty of 0.002 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,DEGC,,DEGC
  29HE20020304,   A17,     1,  1,      1,20020306,-48.3510, -53.6680, 5990,   2975.0,   1.6310,  34.7350,2,    202.1,2,    98.99,2,    31.92,2,     0.19,2,     2.16,2,   2360.3,2,   7.6103,    25.00,2,   1.4134
  29HE20020304,   A17,     1,  1,      2,20020306,-48.3510, -53.6680, 5990,   2758.0,   1.9260,  34.7650,2,    203.7,2,    87.96,2,    30.76,2,     0.17,2,     2.01,2,   2354.1,2,   7.6283,    25.00,2,   1.7227
  29HE20020304,   A17,     1,  1,      3,20020306,-48.3510, -53.6680, 5990,   2561.0,   2.1870,  34.7840,2,    209.0,2,    80.44,2,    29.91,2,     0.14,2,     2.00,2,   2351.0,2,   7.6403,    25.00,2,   1.9970
  29HE20020304,   A17,     1,  1,      4,20020306,-48.3510, -53.6680, 5990,   2361.0,   2.3410,  34.7850,2,    209.7,2,    76.90,2,    29.63,2,     0.11,2,     2.04,2,   2344.6,2,   7.6433,    25.00,2,   2.1667
  29HE20020304,   A17,     1,  1,      5,20020306,-48.3510, -53.6680, 5990,   2171.0,   2.5990,  34.8020,2,    212.5,2,    67.31,2,    29.08,2,     0.09,2,     1.89,2,   2335.2,2,   7.6513,    25.00,2,   2.4376
  29HE20020304,   A17,     1,  1,      6,20020306,-48.3510, -53.6680, 5990,   1971.0,   2.6810,  34.7810,2,    206.7,2,    65.96,2,    29.06,2,     0.15,2,     1.90,2,   2336.3,2,   7.6433,    25.00,2,   2.5363
  29HE20020304,   A17,     1,  1,      7,20020306,-48.3510, -53.6680, 5990,   1775.0,   2.7080,  34.7390,2,    193.3,2,    67.73,2,    27.69,2,     0.13,2,     1.74,2,   2342.8,2,   7.6163,    25.00,2,   2.5801
  29HE20020304,   A17,     1,  1,      8,20020306,-48.3510, -53.6680, 5990,   1581.0,   2.6680,  34.6700,2,    183.7,2,    74.23,2,    32.41,2,     0.14,2,     2.10,2,   2338.6,2,   7.5883,    25.00,2,   2.5571
  29HE20020304,   A17,     1,  1,      9,20020306,-48.3510, -53.6680, 5990,   1382.0,   2.6980,  34.6060,2,    179.3,2,    73.54,2,    33.63,2,     0.13,2,     2.17,2,   2335.0,2,   7.5764,    25.00,2,   2.6030
  29HE20020304,   A17,     1,  1,     10,20020306,-48.3510, -53.6680, 5990,   1183.0,   2.7460,  34.5270,2,    179.4,2,    71.91,2,    34.01,2,     0.09,2,     2.13,2,   2332.7,2,   7.5694,    25.00,2,   2.6663
  29HE20020304,   A17,     1,  1,     11,20020306,-48.3510, -53.6680, 5990,    991.0,   2.7890,  34.4330,2,    186.9,2,    64.33,2,    34.56,2,     0.10,2,     2.23,2,   2322.4,2,   7.5714,    25.00,2,   2.7235
  29HE20020304,   A17,     1,  1,     12,20020306,-48.3510, -53.6680, 5990,    789.0,   2.9280,  34.2960,2,    218.8,2,    51.08,2,    33.44,2,     0.09,2,     2.19,2,   2306.4,2,   7.6014,    25.00,2,   2.8765
  29HE20020304,   A17,     1,  1,     13,20020306,-48.3510, -53.6680, 5990,    592.0,   3.3440,  34.1970,2,    251.1,2,    28.81,2,    31.21,2,     0.05,2,     1.98,2,   2293.7,2,   7.6494,    25.00,2,   3.3044
  29HE20020304,   A17,     1,  1,     14,20020306,-48.3510, -53.6680, 5990,    480.0,   3.5910,  34.1760,2,    266.9,2,    23.63,2,    29.71,2,     0.07,2,     1.85,2,   2289.8,2,   7.6794,    25.00,2,   3.5584
  29HE20020304,   A17,     1,  1,     15,20020306,-48.3510, -53.6680, 5990,    393.0,   3.8000,  34.1650,2,    276.3,2,    11.14,2,    25.94,2,     0.05,2,     1.61,2,   2286.9,2,   7.6894,    25.00,2,   3.7729
  29HE20020304,   A17,     1,  1,     16,20020306,-48.3510, -53.6680, 5990,    293.0,   4.3000,  34.1710,2,    270.3,2,    13.18,2,    29.14,2,     0.02,2,     1.75,2,   2283.1,2,   7.7034,    25.00,2,   4.2789
  29HE20020304,   A17,     1,  1,     17,20020306,-48.3510, -53.6680, 5990,    203.0,   4.9420,  34.2000,2,    245.8,2,    10.82,2,    28.48,2,     0.07,2,     1.77,2,   2279.6,2,   7.7114,    25.00,2,   4.9265
  29HE20020304,   A17,     1,  1,     18,20020306,-48.3510, -53.6680, 5990,    147.0,   5.9910,  34.2660,2,    255.5,2,     5.87,2,    20.21,2,     0.07,2,     1.43,2,   2280.7,2,   7.7144,    25.00,2,   5.9786
  29HE20020304,   A17,     1,  1,     19,20020306,-48.3510, -53.6680, 5990,    117.0,   6.6930,  34.2920,2,    256.8,2,     7.09,2,    21.53,2,     0.08,2,     1.56,2,   2280.1,2,   7.7384,    25.00,2,   6.6825
