BOTTLE,20081219PRINUNIVRMKPRINUNIVRMK
# DATE this file initialized 9/4/07 
# Data from M. Ishii 
# Ship:Tangaroa 
# Cruise: JARE43; SR03 
# Dates: 2/6-3/7/2002 
# EXPOCODE: 61TG20020206 
# Region:SR03 line; Meridional section at 140E from Antarctica to 60S 
# Chief Scientist: T. Odate 
# 8 stations  
# Hydro: Who - S.Aoki; Status - final 
# 	Notes:  
# Nuts/O2: Who - S.Watanabe; Status - final 
# 	Notes: O2 converted from mL/L to umol/Kg with theta at sampling pressure (by provider) 
# 	Nuts converted from umol/L to umol/kg assuming T=25C (by provider) 
# 	Includes ammonium 
# TCO2: Who - M. Ishii; Status - final 
# 	Notes: Corrected to Japanese prepared CRM which were back-referenced to Dickson CRM batch #54 
# CFC: Who - ; Status - no data yet  
# 	Notes: samples returned to shore for analysis 
# Other: Chloroa 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,CHLORA,CHLORA_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UG/L,,DEGC
  61TG20020206,  SR03,     8,  3,     23,     23,2,20020213,-66.4217, 139.9930,  964,     10.8,  -0.6248,  34.2403,2,  34.2480,2,    381.1,   2,    54.70,   2,    22.38,   2,     0.16,   2,     1.37,2,     0.12,   2,   2178.7,2,     3.78,5,  -0.6251
  61TG20020206,  SR03,     8,  3,     22,     22,2,20020213,-66.4217, 139.9930,  964,     21.2,  -0.6186,  34.2393,2,-999.0000,9,    383.6,   2,    55.10,   2,    22.59,   2,     0.14,   2,     1.33,2,     0.13,   2,   2180.4,2,     4.45,5,  -0.6192
  61TG20020206,  SR03,     8,  3,     21,     21,2,20020213,-66.4217, 139.9930,  964,     29.6,  -0.6923,  34.2949,2,-999.0000,9,   -999.0,-999,    57.30,   2,    24.54,   2,     0.14,   2,     1.48,2,     0.36,   2,   2188.3,2,     3.65,5,  -0.6932
  61TG20020206,  SR03,     8,  3,     20,     20,2,20020213,-66.4217, 139.9930,  964,     41.0,  -0.7188,  34.3391,2,-999.0000,9,   -999.0,-999,    57.30,   2,    25.19,   2,     0.14,   2,     1.50,2,     0.43,   2,   2198.4,2,     3.64,5,  -0.7200
  61TG20020206,  SR03,     8,  3,     19,     19,2,20020213,-66.4217, 139.9930,  964,     50.9,  -0.7465,  34.3609,2,  34.3680,2,    347.9,   2,    58.30,   2,    25.82,   2,     0.14,   2,     1.59,2,     0.68,   2,   2206.2,2,     3.05,5,  -0.7480
  61TG20020206,  SR03,     8,  3,     18,     18,2,20020213,-66.4217, 139.9930,  964,     60.8,  -0.8233,  34.3891,2,  34.3880,2,    341.2,   2,    60.70,   2,    26.86,   2,     0.14,   2,     1.70,2,     1.13,   2,   2200.7,2,     2.03,5,  -0.8250
  61TG20020206,  SR03,     8,  3,     17,     17,2,20020213,-66.4217, 139.9930,  964,     71.2,  -0.7941,  34.4023,2,  34.4090,2,    344.1,   2,    59.90,   2,    26.83,   2,     0.14,   2,     1.72,2,     1.23,   2,   2205.8,2,     1.75,5,  -0.7961
  61TG20020206,  SR03,     8,  3,     16,     16,2,20020213,-66.4217, 139.9930,  964,     80.4,  -0.8038,  34.4045,2,  34.4130,2,   -999.0,-999,    60.10,   2,    26.88,   2,     0.15,   2,     1.64,2,     1.21,   2,   2204.5,2,     1.75,5,  -0.8061
  61TG20020206,  SR03,     8,  3,     15,     15,2,20020213,-66.4217, 139.9930,  964,    101.1,  -0.8466,  34.4190,2,  34.4260,2,    341.4,   2,    61.20,   2,    27.27,   2,     0.14,   2,  -999.00,9,     0.97,   2,   2206.4,2,     1.81,5,  -0.8495
  61TG20020206,  SR03,     8,  3,     14,     14,2,20020213,-66.4217, 139.9930,  964,    127.1,  -0.8966,  34.4276,2,  34.4350,2,   -999.0,-999,    62.50,   2,    27.83,   2,     0.14,   2,     1.66,2,        1,   2,   2208.8,2,     1.64,5,  -0.9002
  61TG20020206,  SR03,     8,  3,     13,     13,2,20020213,-66.4217, 139.9930,  964,    151.0,  -0.9983,  34.4447,2,  34.4520,2,    335.0,   2,    65.00,   2,    28.69,   2,     0.14,   2,     1.80,2,     1.03,   2,   2212.8,2,     1.20,5,  -1.0025
  61TG20020206,  SR03,     8,  3,     12,     12,2,20020213,-66.4217, 139.9930,  964,    202.3,  -1.1646,  34.4949,2,  34.4990,2,    309.2,   2,    71.60,   2,    30.86,   2,     0.13,   2,     1.93,2,     0.71,   2,   2227.2,2,     0.66,5,  -1.1700
  61TG20020206,  SR03,     8,  3,     11,     11,2,20020213,-66.4217, 139.9930,  964,    253.7,  -1.0517,  34.5213,2,  34.5270,2,    289.0,   2,    75.90,   2,    32.00,   2,     0.13,   2,     1.99,2,     0.36,   2,   2230.7,2,  -999.00,9,  -1.0589
  61TG20020206,  SR03,     8,  3,     10,     10,2,20020213,-66.4217, 139.9930,  964,    303.3,  -0.9758,  34.5336,2,  34.5410,2,    289.4,   2,    77.50,   2,    32.30,   2,     0.14,   2,     2.02,2,     0.28,   2,   2236.9,2,  -999.00,9,  -0.9847
  61TG20020206,  SR03,     8,  3,     24,     24,2,20020213,-66.4217, 139.9930,  964,    335.0,  -1.0080,  34.5391,2,  34.5480,2,    297.4,   2,    77.20,   2,    32.12,   2,     0.13,   2,     1.96,2,     0.26,   2,   2244.9,2,  -999.00,9,  -1.0179
  61TG20020206,  SR03,     8,  3,      9,      9,2,20020213,-66.4217, 139.9930,  964,    404.8,  -1.1796,  34.5475,2,  34.5520,2,    300.6,   2,    76.10,   2,    32.01,   2,     0.14,   2,     1.99,2,     0.39,   2,   2237.6,2,  -999.00,9,  -1.1912
  61TG20020206,  SR03,     8,  3,      8,      8,2,20020213,-66.4217, 139.9930,  964,    506.6,  -1.0289,  34.5675,2,  34.5730,2,    293.4,   2,    79.60,   2,    32.44,   2,     0.13,   2,     2.01,2,     0.21,   2,   2237.9,2,  -999.00,9,  -1.0446
  61TG20020206,  SR03,     8,  3,      5,      5,2,20020213,-66.4217, 139.9930,  964,    608.8,  -1.1713,  34.5671,2,  34.5720,2,    297.2,   2,    78.00,   2,    32.38,   2,     0.13,   2,     1.99,2,     0.23,   2,   2238.7,2,  -999.00,9,  -1.1900
  61TG20020206,  SR03,     8,  3,      4,      4,2,20020213,-66.4217, 139.9930,  964,    809.5,  -1.4997,  34.5623,2,  34.5660,2,    307.2,   2,    73.50,   2,    32.31,   2,     0.14,   2,     2.01,2,     0.18,   2,   2238.0,2,  -999.00,9,  -1.5238
  61TG20020206,  SR03,     8,  3,      1,      1,2,20020213,-66.4217, 139.9930,  964,    954.0,  -1.5798,  34.5629,2,  34.5670,2,    315.9,   2,    73.40,   2,    32.18,   2,     0.13,   2,     2.05,2,     0.15,   2,   2239.8,2,  -999.00,9,  -1.6089
  61TG20020206,  SR03,     5,  7,     24,     24,2,20020216,-64.0000, 139.9980, 3721,      9.4,   1.0620,  33.7440,2,  33.7490,2,   -999.0,-999,    23.50,   2,    25.22,   2,     0.21,   2,  -999.00,9,     0.28,   2,   -999.0,9,  -999.00,9,   1.0616
  61TG20020206,  SR03,     5,  7,     23,     23,2,20020216,-64.0000, 139.9980, 3721,     10.1,   1.0600,  33.7450,2,  33.7480,2,    356.9,   2,    23.40,   2,    25.25,   2,     0.21,   2,     1.51,2,     0.28,   2,   2151.1,2,     0.43,5,   1.0596
  61TG20020206,  SR03,     5,  7,     21,     21,2,20020216,-64.0000, 139.9980, 3721,     19.1,   1.0590,  33.7450,2,  33.7560,2,    384.6,   2,    23.30,   2,    25.33,   2,     0.20,   2,     1.51,2,     0.28,   2,   2147.9,2,     0.44,5,   1.0582
