BOTTLE,20111028CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2011-10-28
#original HYD file: /data/co2clivar/atlantic/a10/a10_2003a/original/2011.10.28_jamstec_update_cberys/processing/original_hy1.csv  2011-10-28
#Header from merged file
#BOTTLE,20070629JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group)
#ORIGINAL_SUM_FILE: sum_leg4_050201.csv Fri Apr 08 13:19:10 +0900 2005
#ORIGINAL_HYD_FILE: sea_leg4_070629.csv Fri Jun 29 17:56:52 +0900 2007
#DEPTH_TYPE: COR
#EVENT_CODE: BO
#BOTTLE,20111027CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb
#original files copied from HTML directory: 2011-10-27
#original HYD file: /data/co2clivar/atlantic/a10/a10_2003a/original/2011.10.25_ph_headers_cberys/temp/original_hy1.csv  2011-10-27
#BOTTLE,20051012WHPSIOSA
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Oct. 12, 2005
#original HYD file: a10_2003ahy.txt   Wed Oct 12 10:47:17 2005
#original SUM file: a10_2003asu.txt   Wed Oct 12 10:49:19 2005
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,TRITER,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,C13ERR,THETA,SIG0,SBE35,SBE35_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,SILUNC,NRAUNC,NRIUNC,PHPUNC,TOC,TOC_FLAG_W,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER
,,,,,,,,,,,METERS,DBAR,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,TU,,TU,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C,KG/M^3,ITS-90,,DBAR,,UMOL/KG,,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,,,BQ/M^3,,BQ/M^3,MBQ/M^3,,MBQ/M^3
49NZ20031106, A10, 622, 1, 0, -999, 9, 20031107, 1102, -27.7318, -47.3898, 181,   -999.0, 9, -999.0000, 9, -999.0000, 9,  35.5597, 2,   -999.0, 9,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0, -999.0000, -999, -999.0000, 9, -999, 9, -999, 9, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 36, 12048, 2, 20031107, 1102, -27.7318, -47.3898, 181,     10.3, 2,  22.2904, 2,  35.5685, 2,  35.5676, 2,    207.1, 1,    218.7, 2,     3.30, 2,     0.03, 2,     0.00, 2,     0.20, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  22.2883, 24.57,  22.2904, 2, 10.8, 2, 218.91, 2, 0.13, 0.03, 0.01, 0.02, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 35, 12047, 2, 20031107, 1102, -27.7318, -47.3898, 181,     50.9, 2,  22.3822, 2,  36.8064, 2,  36.8065, 2,    204.6, 1,    216.3, 2,     0.83, 2,     0.01, 2,     0.00, 2,     0.11, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  22.3719, 25.488,  22.3811, 2, 52.8, 2, 215.64, 2, 0.12, 0.03, 0.01, 0.02, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 30, 12042, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.7, 2,  18.6675, 2,  36.0923, 2, -999.0000, 9,    179.9, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6495, 25.9443,  18.6692, 2, 103.1, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 12, 12024, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.8, 2,  18.6205, 2,  36.0891, 2, -999.0000, 9,    181.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6025, 25.9558,  18.6208, 2, 104.2, 2, 190.77, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 29, 12041, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6732, 2,  36.0931, 2, -999.0000, 9,    180.0, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6552, 25.9452,  18.6769, 2, 103.1, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 23, 12035, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6868, 2,  36.0955, 2, -999.0000, 9,    180.1, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6687, 25.944,  18.6866, 2, 103, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 22, 12034, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6653, 2,  36.0940, 2, -999.0000, 9,    179.9, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6473, 25.9475,  18.6736, 2, 103.6, 2, 190.72, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
49NZ20031106, A10, 622, 1, 18, 12030, 9, 20031107, 1102, -27.7318, -47.3898, 181,    101.9, 2,  18.6759, 2,  36.0952, 2, -999.0000, 9,    180.4, 1,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9, -999.0000, 9,   -999.00, -999.000, 9, -999.000,   -999.0, 9,   -999.0,  -999.00, 9,   -999.0,  18.6579, 25.9475,  18.6646, 2, 103.3, 2, 190.73, 2, -999, -999, -999, -999, -999, 9,  -999.00, 9, -999, -999, 9, -999
