BOTTLE,20111212CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb 
#original files copied from HTML directory: 2011-12-12
#original HYD file: /data/co2clivar/pacific/p15s/p15s_09SS20090203/original/20111010_carbon_cberys/processing/orig_hy1.csv  2011-12-12
#merged: BOTTLE,20111006PRINUNIVRMK
#   10/05/11 Initialized README file  
#   Data source: CCHDO (8/25/11) and Tilbrook carbon via CDIAC (10/4/11) 
#BOTTLE,20111003CCHDOSIOCBG
#code : Justin Fields merge_exchange.rb
#original files copied from HTML directory: 2011-10-03
#original HYD file: /data/co2clivar/pacific/p15s/p15s_09SS20090203/original/20111003_CFC_cberys/original_hy1.csv  2011-10-03
#BOTTLE,20091201CMRCSIRORLC
#Ship: RV Southern Surveyor
#Cruise: 09SS20090203; P15; alias ss200901
#EXPOCODE = 09SS20090203
#SECT_ID = P15
#Dates: 2/2/2009-24/3/2009
#Chief Scientist: B.Sloyan and S.Wijffels
# 128 stations with 24 place Rosette 
# Hydro: Who - R.Cowley; Status - final  
# Nuts/O2: Who - R.Cowley; Status - final  
# TCO2: Who - B. Tilbrook; Status - Final  
#      Notes: Precision & accuracy estimated at 1umol/kg 
# TA: Who - B. Tilbrook; Status - Final 
#      Notes: Precision & accuracy estimated at 2umol/kg 
# CFC: Who - J. Bullister; Status - Final  
#      Notes:  SIO98 calibration scale 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
09SS20090203, P15,1,1,24,12015,2,20090203,851,-41.8762,175.5281,2416,1698.8,2.834,34.581,2,34.5877,2,151.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7114
09SS20090203, P15,1,1,23,12046,2,20090203,851,-41.8762,175.5281,2416,1698.7,2.833,34.581,2,34.5887,2,151.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7104
09SS20090203, P15,1,1,22,12020,2,20090203,851,-41.8762,175.5281,2416,1699,2.834,34.581,2,34.5887,2,151.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7114
09SS20090203, P15,1,1,21,12003,2,20090203,851,-41.8762,175.5281,2416,1698.5,2.832,34.581,2,34.5873,2,151.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7095
09SS20090203, P15,1,1,20,12051,2,20090203,851,-41.8762,175.5281,2416,1699.1,2.832,34.581,2,34.5877,2,151.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7094
09SS20090203, P15,1,1,19,12010,2,20090203,851,-41.8762,175.5281,2416,1698.6,2.836,34.581,2,34.5875,2,151.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7134
09SS20090203, P15,1,1,18,12018,2,20090203,851,-41.8762,175.5281,2416,1698.4,2.832,34.581,2,34.5873,2,151.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7095
09SS20090203, P15,1,1,17,12024,2,20090203,851,-41.8762,175.5281,2416,1699,2.834,34.581,2,34.5883,2,151.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7114
09SS20090203, P15,1,1,16,12001,2,20090203,851,-41.8762,175.5281,2416,1698.6,2.836,34.581,2,34.5879,2,151.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.7134
