BOTTLE,20100505WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20070418
#original HYD file: i05_74AB20020301hy.txt   Fri Mar  9 11:29:46 2007
#original SUM file: i05_74AB20020301su.txt   Tue Apr 17 11:43:05 2007
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH,PH_FLAG_W,PH_TMP,HELIER,TRITER,NEONER
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,NMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,NMOL/KG,TU,NMOL/KG
  74AB20020301,   I05,   001,  1, 158773, 158773,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.8,   1.4199,  34.7656,2,-999.0000,9,    216.1,2,  1.1720,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158763, 158763,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4188,  34.7655,2,-999.0000,9,    216.2,2,  1.1709,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.033,6,    0.025,6,   -0.008,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158764, 158764,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4188,  34.7655,2,-999.0000,9,    216.2,2,  1.1709,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.036,6,    0.021,6,   -0.010,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158765, 158765,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4187,  34.7655,2,-999.0000,9,    216.2,2,  1.1708,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158766, 158766,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4189,  34.7655,2,-999.0000,9,    216.2,2,  1.1710,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.023,6,    0.022,6,   -0.005,6, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158771, 158771,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4196,  34.7656,2,-999.0000,9,    216.1,2,  1.1717,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.028,2,    0.018,2,   -0.003,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158772, 158772,2,20020302,0252,-31.3637,  32.6263, 3306,   3333.9,   1.4197,  34.7656,2,-999.0000,9,    216.1,2,  1.1718,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.033,2,    0.024,2,    0.247,4, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158756, 158756,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4194,  34.7656,2,-999.0000,9,    216.2,2,  1.1715,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
  74AB20020301,   I05,   001,  1, 158757, 158757,2,20020302,0252,-31.3637,  32.6263, 3306,   3334.0,   1.4195,  34.7656,2,-999.0000,9,    216.2,2,  1.1716,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.030,6,    0.021,6,    0.058,2, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,-999.0000,9, -999.00,-999.0000,-999.000,-999.000
