BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2005-016 
# Region: Labrador Sea and off Halifax; AR07W 
# 	Southern end of Labrador Sea section inaccessible due to ice cover 
# EXPOCODE: 18HU20050526 
# DATES: 5/26 - 6/7/2005 
# Chief Scientist: Glen Harrison 
# 34 stations with 24 place Rosette 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO Batch P146 & P150 
# 	Calibration check: 
# 	CTD Salinity = 0.9987*Salinity - 0.0461; RSE=0.0017 
# Nuts: Who - G.Harrison; Status - final 
# 	Notes: Nitrate is NO3+NO2 
# 	Nutrients run in duplicate 
# O2: Who - K.Azetsu-Scott; Status - final 
# 	Notes: CTDOXY calibrated, but 9umol bias 
# 	i.e. CTDoxy = 9.28 + 0.969*Oxygen 
# 	Oxygen precision +/-2.0umol/kg 
# TCO2: Who - P.Jones; Status - final 
# 	Notes:  
# TA: Who - P.Jones; Status - final 
# 	Notes: significant scatter 
# CFC: Who - P.Jones; Status - final 
# 	Notes: includes CFC-113 and CCl3Et 
# 	All CFC12 and CCL4 flagged 3/4 
# Other:	Chloro-A 
# 	I-129 (J.Smith) 
# 	TOC (P. Kepkay) 
# 	No data in file for any of these 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,,
  18HU20050526, AR07W,     4,  1, 285501,      1,2,20050529,0230, 59.4840, -49.4737, 3334,   3444.2,   1.5147,  34.8766,2,  34.8784,2,    292.9,2,    292.6,2,     8.59,6,    13.69,6,     1.24,6,    4.470,2,    2.240,4,    0.280,2,    5.790,4,    0.000,2,   2162.2,2,   2298.0,2,   1.2527, 20050529,      230
  18HU20050526, AR07W,     4,  1, 285502,      2,2,20050529,0230, 59.4840, -49.4737, 3334,   3381.4,   1.5858,  34.8773,2,  34.8780,2,    291.0,2,    291.6,2,     9.05,6,    13.90,6,     1.27,6,    4.450,2,    2.250,4,    0.280,2,    5.770,4,    0.000,2,   2160.1,2,   2293.0,2,   1.3284, 20050529,      233
  18HU20050526, AR07W,     4,  1, 285503,      3,2,20050529,0230, 59.4840, -49.4737, 3334,   3302.2,   1.8480,  34.8798,2,  34.8803,2,    288.5,2,    287.1,2,     9.14,6,    14.15,6,     1.27,6,    4.370,2,    2.380,4,    0.310,2,    5.960,4,    0.000,2,   2159.6,2,   2290.3,2,   1.5924, 20050529,      237
  18HU20050526, AR07W,     4,  1, 285504,      4,2,20050529,0230, 59.4840, -49.4737, 3334,   3199.8,   2.0118,  34.8651,2,  34.8667,2,    289.8,2,    289.6,2,     8.50,6,    13.84,6,     1.24,6,    4.410,2,    2.160,4,    0.340,2,    5.870,4,    0.000,2,   -999.0,9,   2287.3,2,   1.7628, 20050529,      240
  18HU20050526, AR07W,     4,  1, 285505,      5,2,20050529,0230, 59.4840, -49.4737, 3334,   3081.4,   2.3500,  34.8931,2,  34.8943,2,    279.1,2,    279.0,2,    12.02,6,    15.29,6,     1.35,6,    3.320,2,    1.510,4,    0.200,2,    4.520,4,    0.000,2,   2159.9,2,   2298.2,2,   2.1052, 20050529,      243
  18HU20050526, AR07W,     4,  1, 285506,      6,2,20050529,0230, 59.4840, -49.4737, 3334,   2950.7,   2.5813,  34.9058,2,  34.9080,6,    275.3,2,    275.0,2,    12.69,6,    15.77,6,     1.40,6,    2.920,2,    1.200,4,    0.130,2,    3.990,4,    0.000,2,   2160.8,2,   2295.3,2,   2.3447, 20050529,      246
  18HU20050526, AR07W,     4,  1, 285507,      7,2,20050529,0230, 59.4840, -49.4737, 3334,   2788.3,   2.7483,  34.9023,2,  34.9031,2,    276.3,2,    276.0,2,    11.39,6,    15.64,6,     1.38,6,    3.230,2,    1.030,4,    0.170,2,    4.400,4,    0.000,2,   2159.9,2,   2294.7,2,   2.5247, 20050529,      250
  18HU20050526, AR07W,     4,  1, 285508,      8,2,20050529,0230, 59.4840, -49.4737, 3334,   2610.9,   2.8469,  34.8987,2,  34.8991,2,    276.8,2,    276.8,2,    10.66,6,    15.44,6,     1.37,6,    3.440,2,    1.550,4,    0.150,2,    4.560,4,    0.000,2,   2156.9,3,   2295.5,2,   2.6390, 20050529,      254
  18HU20050526, AR07W,     4,  1, 285509,      9,2,20050529,0230, 59.4840, -49.4737, 3334,   2410.2,   2.9616,  34.8987,2,  34.8999,2,    276.6,2,    277.1,2,    10.43,6,    15.57,6,     1.37,6,    3.570,2,    1.680,4,    0.220,2,    4.650,4,    0.000,2,   2157.2,3,   2296.4,2,   2.7712, 20050529,      258
