BOTTLE,20111107CCHDOSIOCBG
#BOTTLE,20110804OOCNOCBAK
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
74DI20110715,A16N,1,1,14,14,2,20110719,1224,48.64989,-17.02564,4771,610.3,8.8719,35.3431,35.345,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8043
74DI20110715,A16N,1,1,19,19,2,20110719,1224,48.64989,-17.02564,4771,610.3,8.8763,35.3438,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8086
74DI20110715,A16N,1,1,20,20,2,20110719,1224,48.64989,-17.02564,4771,610.6,8.8745,35.3437,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8068
74DI20110715,A16N,1,1,18,18,2,20110719,1224,48.64989,-17.02564,4771,610.7,8.8768,35.3437,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8091
74DI20110715,A16N,1,1,22,22,2,20110719,1224,48.64989,-17.02564,4771,610.7,8.8765,35.3439,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8088
74DI20110715,A16N,1,1,13,13,2,20110719,1224,48.64989,-17.02564,4771,610.8,8.8564,35.3411,35.3387,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.7888
74DI20110715,A16N,1,1,15,15,2,20110719,1224,48.64989,-17.02564,4771,610.8,8.87,35.3429,35.345,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8023
74DI20110715,A16N,1,1,21,21,2,20110719,1224,48.64989,-17.02564,4771,610.8,8.8718,35.3432,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8042
74DI20110715,A16N,1,1,24,24,2,20110719,1224,48.64989,-17.02564,4771,611,8.8747,35.3436,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.807
74DI20110715,A16N,1,1,23,23,2,20110719,1224,48.64989,-17.02564,4771,611.1,8.8738,35.3437,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8061
74DI20110715,A16N,1,1,17,17,2,20110719,1224,48.64989,-17.02564,4771,611.7,8.8739,35.3435,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.8061
74DI20110715,A16N,1,1,16,16,2,20110719,1224,48.64989,-17.02564,4771,611.8,8.8728,35.3435,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,8.805
74DI20110715,A16N,1,1,2,2,2,20110719,1224,48.64989,-17.02564,4771,4843.7,2.5675,34.9026,34.9009,2,236.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,2.1156
74DI20110715,A16N,1,1,4,4,2,20110719,1224,48.64989,-17.02564,4771,4844.4,2.5675,34.9027,-999,9,236.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,2.1155
74DI20110715,A16N,1,1,1,1,2,20110719,1224,48.64989,-17.02564,4771,4844.8,2.5674,34.9027,34.9008,2,235.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,2.1154
74DI20110715,A16N,1,1,3,3,2,20110719,1224,48.64989,-17.02564,4771,4844.9,2.5673,34.9028,34.9017,2,236.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,2.1152
74DI20110715,A16N,1,1,6,6,3,20110719,1224,48.64989,-17.02564,4771,4845,2.5678,34.9026,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1157
74DI20110715,A16N,1,1,8,8,2,20110719,1224,48.64989,-17.02564,4771,4845,2.5676,34.9029,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1156
74DI20110715,A16N,1,1,5,5,2,20110719,1224,48.64989,-17.02564,4771,4845.3,2.5677,34.9026,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2.1156
