BOTTLE,20130611PRINUNIVRMK
# 2/23/12 Initialized README file  
# Data source: Jeff Jackson & Kumiko Azertu-Scott; 2/14/2012 
# SHIP: CCGS Hudson 
# Cruise: HUD2006-019 
# Region: Labrador Sea and off Halifax; AR07W 
# 	Southern end of Labrador Sea section inaccessible due to ice cover 
# EXPOCODE: 18HU20060524 
# DATES: 5/24 - 6/8/2006 
# Chief Scientist: Ross Hendry 
# 59 stations with 24 place Rosette 
# Hydro: Who - I.Yashayaev; Status - final 
# 	Notes: Salt calibration with IAPSO Batch P146 & P150 
# 	Calibration check: 
# 	CTDSAL = 1.0071*Salinity - 0.2504; RSE=0.0148 
# Nuts: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Nitrate is NO3+NO2 
# 	Nutrients run in duplicate 
# 	Nutrients from the Halifax line (only) frozen then run ashore 
# O2: Who - K.Azetsu-Scott; Status - final 
# 	Notes: CTDOXY calibrated, but 4umol bias 
# 	i.e. Oxy = 4.03 + 0.995*CTDOXY 
# 	Oxygen precision +/-2.0umol/kg 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes: significant scatter 
# CFC: Who - K.Azetsu-Scott; Status - final 
# 	Notes: includes CFC-113 and CCl3Et 
# 	All CCL4 flagged 3/4 
# Other:	Chloro-A 
# 	I-129 (J.Smith) 
# 	TOC (P. Kepkay) 
# 	No data in file for any of these 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,,
  18HU20060524, AR07W,     5,  1, 298719,      1,2,20060525,1739, 50.8570, -52.7865,  371,    202.7,   2.5692,  34.3600,2,-999.0000,9,    289.6,2,    287.2,2,  -999.00,9,  -999.00,9,  -999.00,9,    5.500,2,    3.190,2,    0.490,2,    6.310,4,    5.780,2,   -999.0,9,   -999.0,9,   2.5575, 20060525,     1739
  18HU20060524, AR07W,     5,  1, 298720,      2,2,20060525,1739, 50.8570, -52.7865,  371,    200.7,   2.5757,  34.3590,2,-999.0000,9,    289.5,2,    260.6,3,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5641, 20060525,     1739
  18HU20060524, AR07W,     5,  1, 298721,      3,2,20060525,1739, 50.8570, -52.7865,  371,    202.9,   2.5693,  34.3607,2,-999.0000,9,    289.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5576, 20060525,     1739
  18HU20060524, AR07W,     5,  1, 298722,      4,2,20060525,1739, 50.8570, -52.7865,  371,    203.4,   2.5699,  34.3599,2,-999.0000,9,    289.4,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5581, 20060525,     1739
  18HU20060524, AR07W,     5,  1, 298723,      5,2,20060525,1739, 50.8570, -52.7865,  371,    201.5,   2.5738,  34.3591,2,-999.0000,9,    289.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5621, 20060525,     1739
  18HU20060524, AR07W,     5,  1, 298724,      6,2,20060525,1739, 50.8570, -52.7865,  371,    203.0,   2.5676,  34.3625,2,-999.0000,9,    289.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5559, 20060525,     1740
  18HU20060524, AR07W,     5,  1, 298725,      7,2,20060525,1739, 50.8570, -52.7865,  371,    203.9,   2.5778,  34.3646,2,-999.0000,9,    289.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5660, 20060525,     1740
  18HU20060524, AR07W,     5,  1, 298726,      8,2,20060525,1739, 50.8570, -52.7865,  371,    202.5,   2.5678,  34.3598,2,-999.0000,9,    289.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5561, 20060525,     1740
  18HU20060524, AR07W,     5,  1, 298727,      9,2,20060525,1739, 50.8570, -52.7865,  371,    200.9,   2.5715,  34.3592,2,-999.0000,9,    289.3,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   2.5599, 20060525,     1740
