BOTTLE,20091103PRINUNIVRMK
# 3/17/99 Initialized README file  
# Ship: Meteor  
# Cruise: MET50 Leg 4, 06MT50_4, SFB 460 
# Cruise dates: 7/17 - 8/12/2001 
# EXPOCODE: 06MT20010717 
# Region: Subpolar North Atlantic SW of Iceland with reoccupation of eastern part of A2 section 
# Chief Scientist: W. Zenk 
# 139 stations with 22 place Rosette. 67 stations have surface only 
# Hydro: Who - Zenk; Status - final 
# 	Notes: 	to WOCE standards 
# 	Bottom values from topography file 
# 	See Lankhorst and Zenk, 2006 
# Nuts/O2: Who - ???; Status - final 
# 	Notes: reported accruacy of 1% for nuts 
# 	Oxygen precision reported +/-0.16umol/kg 
# TCO2: Who - Friis; Status - final 
# 	Notes: see 50.1 
# 	Mean deviation of CRM from reported -0.37+/-1.14 
# 	Std. Dev. of duplicates +/-1.0 
# TA: Who - Friis; Status - final 
# 	Notes: see 50.1 
# 	Mean deviation of CRM from reported 0.34+/-2.41 
# 	Std. Dev. of duplicates +/-2.6 
# fCO2: Who - Friis; Status - final; S Plus -  
# 	Notes: underway only 
# pH: Who - Friis; Status - final 
# 	Notes: Analysis and originally reported at 21+/-1C, Total Scale, spectrophotometric, precision +/- 0.002 
# 	Std. Dev. of duplicates +/-0.0009 
# 	Total estimated uncertainty of +/- 0.002 
# 	Converted to SWS@25C 
# CFC: Who - Bleischwitz, Bulsiewicz, Steinfeldt; Status - final 
# 	Notes: data from R. Steinfeldt 12/18/06 
# 	measured by gas chromatography 
# 	CFC-11: SIO-93 scale, accuracy 1.5% 
# 	CFC-12: SIO-93 scale, accuracy 1.5% 
# 	CFC converted to SIO-98 scale 11/03/09 R.Key 
# C-14: Who - ???; Status - collected  
# 	Notes: no data 
# C-13: Who - ???; Status - collected  
# 	Notes: no data 
# He-3: Who - Bleischwitz, Bulsiewicz, Steinfeldt; Status - final 
# 	Notes: data from Jürgen Sültenfuß 3/18/08 
# 	neon data included 
# 	error for concentrations is below 1% 
# 	error for delta3He is 0.5% 
# Other: chlorophyll at a few stations 
# 	TOC, methane, Th-230 samples collected 
# References: 
# Kieke, D., M. Rhein, L. Stramma, W. M. Smethie, D. A. LeBel, and W. Zenk, 2006. Changes in the CFC Inventories and Formation Rates of Upper Labrador Sea Water, 1997-2001, J. Phys. Oceanogr, 36, 64-86. 
# Lankhorst, M. and W. Zenk, Lagrangian observations of the middepth and deep velocity fields of the northeastern Atlantic Ocean, J. Phy. Ocean., 36(1), 43-63, 2006. 
EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,CHLORA,CHLORA_FLAG_W,HELIUM,HELIER,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,NEON,NEONE,NEON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/L,,NMOL/KG,NMOL/KG,,PERCNT,PERCNT,,NMOL/KG,NMOL/KG,,DEG C
  06MT20010717,   310,  1,     22,2,20010719,0000, 66.2310, -27.5210,  502,      9.9,   4.4008,  33.5758,2,    359.7,2,     0.13,2,     0.08,2,     0.01,2,     0.05,2, -999.000,9, -999.000,9,   2006.2,2,   2231.7,2,   7.9513,2,    25.00,     0.66,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.4001
  06MT20010717,   310,  1,     21,2,20010719,0000, 66.2310, -27.5210,  502,     10.5,   4.3701,  33.5754,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    5.623,2,    2.869,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.3694
  06MT20010717,   310,  1,     20,2,20010719,0000, 66.2310, -27.5210,  502,     50.1,   4.2330,  34.6512,2,    307.1,2,     4.12,2,     9.86,2,     0.14,2,     0.41,2, -999.000,9, -999.000,9,   2120.7,2,   2297.3,2,   7.8046,2,    25.00,     0.41,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.2295
  06MT20010717,   310,  1,     19,2,20010719,0000, 66.2310, -27.5210,  502,    100.7,   5.3745,  34.9301,2,    285.5,2,     6.59,2,    13.77,2,     0.09,2,     0.57,2,    2.650,4,    1.399,4,   2142.6,2,   2306.9,2,   7.7749,2,    25.00,     0.11,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   5.3664
  06MT20010717,   310,  1,     18,2,20010719,0000, 66.2310, -27.5210,  502,    101.2,   5.3666,  34.9308,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    4.046,2,    2.197,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   5.3585
  06MT20010717,   310,  1,     17,2,20010719,0000, 66.2310, -27.5210,  502,    151.4,   3.9576,  34.7873,2,    295.9,2,     6.46,2,    12.79,2,     0.08,2,     0.55,2, -999.000,9, -999.000,9,   2139.6,2,   2299.5,2,   7.7680,2,    25.00,     0.18,2,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   3.9471
  06MT20010717,   310,  1,     16,2,20010719,0000, 66.2310, -27.5210,  502,    151.8,   4.1516,  34.7980,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   4.1408
  06MT20010717,   310,  1,     15,2,20010719,0000, 66.2310, -27.5210,  502,    201.9,   2.9230,  34.7131,2,    311.2,2,     5.77,2,    11.49,2,     0.07,2,     0.51,2, -999.000,9, -999.000,9,   2133.3,2,   2291.6,2,   7.7631,2,    25.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   2.9106
  06MT20010717,   310,  1,     14,2,20010719,0000, 66.2310, -27.5210,  502,    202.3,   2.7268,  34.7117,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    3.853,2,    1.988,2,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,-999.0000,-999.0000,9,  -999.00,  -999.00,9, -999.000, -999.000,9,   2.7147
