BOTTLE,20140827CCHSIOCBG
# changed flag 0 to flag 9 for fill value for SILCAT, NITRAT, PHSPHT at station 86 
# BOTTLE,2030610PRINUNIVRMK
# Original header:
# 2/15/2012 Initialized README file  
# Data source: Jeffrey Jackson 2/10/2012 
# SHIP: Hudson 
# Cruise: 18HU2001022_1 
# Region: AR07W 
# EXPOCODE: 18HU20010530 
# DATES: 5/30 - 6/15/2000 
# Chief Scientist: Allyn Clarke 
# 57 stations with 24 place Rosette 
# Hydro: Who - ??; Status -  final 
# 	Notes: 	 
# Nuts: Who - ??; Status -  final 
# 	Notes: nitrate is NO3+NO2 
# 	All nutrients run in duplicate 
# O2: Who - ??; Status - final 
# 	Notes: 
# TCO2: Who - P.Jones; Status - final 
# 	Notes: adjusted to CRM 
# TA: Who - P.Jones; Status - final 
# 	Notes: adjusted to CRM 
# 	precision ~9umol/kg 
# CFC: Who - P.Jones; Status - final 
# 	Notes: includes CFC113, CCl4 and CL3Et 
# 	SIO-XX scale 
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,BTL_DATE,BTL_TIME,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,,,DEG C
18HU20010530,      AR07W,       1,          1,     236901,          1,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.2,   0.9327,  30.9735,2,-999.0000,9,    239.4,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1516,   0.9304
18HU20010530,      AR07W,       1,          1,     236902,          2,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.1,   0.9300,  30.9728,2,-999.0000,9,    241.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1517,   0.9277
18HU20010530,      AR07W,       1,          1,     236903,          3,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.2,   0.9304,  30.9727,2,-999.0000,9,    241.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1517,   0.9281
18HU20010530,      AR07W,       1,          1,     236904,          4,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.1,   0.9299,  30.9727,2,-999.0000,9,    241.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1517,   0.9276
18HU20010530,      AR07W,       1,          1,     236905,          5,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.1,   0.9307,  30.9728,2,-999.0000,9,    241.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1517,   0.9284
18HU20010530,      AR07W,       1,          1,     236906,          6,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.2,   0.9307,  30.9728,2,-999.0000,9,    241.1,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1517,   0.9284
18HU20010530,      AR07W,       1,          1,     236907,          7,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.2,   0.9306,  30.9728,2,-999.0000,9,    241.0,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1518,   0.9283
18HU20010530,      AR07W,       1,          1,     236908,          8,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.1,   0.9310,  30.9728,2,-999.0000,9,    240.9,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1518,   0.9287
18HU20010530,      AR07W,       1,          1,     236909,          9,2,20010530,       1516,    44.6973,   -63.6448,         70,    63.1,   0.9306,  30.9728,2,-999.0000,9,    240.9,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,-999.000,9,  -999.0,9,  -999.0,9,-999.000,9,-999.000,9, 20010530,     1518,   0.9283
