BOTTLE,20090410PRINUNIVRMK
# 11/01/07 this file initialized 
# Data from C. LoMonaco 10/29/07 with update on 4/10/09 
# Ship: Marion-Dufresne 
# Cruise: OISO-10 
# Cruise dates: 1/23-2/17/2003 
# EXPOCODE: 35MF20030123 
# Region: meridional section on SR03 line from Tasmania to Antarctica 
# Chief Scientist: N. Metzl 
# 10 stations;  with 24 place Rosette 
# Hydro: Who - N.Metzl; Status - final 
# 	Notes: both CTD and bottle salts 
# Nuts/O2: Who - N.Metzl; Status - final  
# 	Notes: both ctd and bottle oxygen 
# 	Nutrients compare favorably with WOCE and CLIVAR data 
# TCO2: Who - C. Lo Monaco; Status - final 
# 	Notes: CRM batch #52 
# 	Values corrected to CRM 
# TA: Who - C. Lo Monaco; Status - final 
# 	Notes: CRM batch #52 
# 	Values corrected to CRM 
# Other: ChloroA 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,CHLORA,CHLORA_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UG/L,,DEGC
  35MF20030123,  SR03,     1,  1,     19,2,20030129,-45.0000, 146.2200, 3200,      4.1,  15.7440,  35.4240,2,  35.4420,2,    239.0,2,    241.6,2,     0.15,2,     2.37,2,     0.14,2,   2062.3,2,   2330.0,2,     0.78,2,  15.7434
  35MF20030123,  SR03,     1,  1,     18,2,20030129,-45.0000, 146.2200, 3200,     11.6,  15.7500,  35.4240,2,-999.0000,9,    239.9,2,   -999.0,9,     0.14,2,     2.39,2,     0.14,2,   2062.8,2,   2332.6,2,     0.79,2,  15.7482
  35MF20030123,  SR03,     1,  1,     17,2,20030129,-45.0000, 146.2200, 3200,     22.0,  15.5310,  35.3940,2,  35.4100,2,    242.3,2,    241.8,2,     0.18,2,     2.54,2,     0.15,2,   2067.5,2,   2335.6,2,     0.78,2,  15.5276
  35MF20030123,  SR03,     1,  1,     16,2,20030129,-45.0000, 146.2200, 3200,     32.0,  14.7640,  35.2930,2,-999.0000,9,    237.3,2,   -999.0,9,     0.62,2,     4.53,2,     0.28,2,   2074.9,2,   2327.0,2,     0.46,2,  14.7592
  35MF20030123,  SR03,     1,  1,     15,2,20030129,-45.0000, 146.2200, 3200,     41.1,  14.4780,  35.2510,2,-999.0000,9,    237.8,2,   -999.0,9,     0.59,2,     4.52,2,     0.27,2,   2086.5,2,   2320.5,2,     0.33,2,  14.4719
  35MF20030123,  SR03,     1,  1,     14,2,20030129,-45.0000, 146.2200, 3200,     51.5,  14.4770,  35.2600,2,  35.2810,2,    238.7,2,    239.1,2,     0.66,2,     4.68,2,     0.28,2,   2072.5,2,   2322.2,2,     0.28,2,  14.4694
  35MF20030123,  SR03,     1,  1,     13,2,20030129,-45.0000, 146.2200, 3200,     74.1,  14.1410,  35.3110,2,-999.0000,9,    220.3,2,   -999.0,9,     1.46,2,     7.31,2,     0.40,2,   2073.8,2,   2325.3,2,     0.09,2,  14.1302
  35MF20030123,  SR03,     1,  1,     12,2,20030129,-45.0000, 146.2200, 3200,    100.4,  13.7280,  35.3960,2,-999.0000,9,    236.2,2,   -999.0,9,     1.02,2,     5.87,2,     0.34,2,   2093.8,2,   2332.1,2,     0.05,2,  13.7137
  35MF20030123,  SR03,     1,  1,     11,2,20030129,-45.0000, 146.2200, 3200,    126.0,  13.5710,  35.3700,2,-999.0000,9,    239.4,2,   -999.0,9,     1.03,2,     6.06,2,     0.33,2,   2091.0,2,   2326.3,2,     0.04,2,  13.5531
  35MF20030123,  SR03,     1,  1,     10,2,20030129,-45.0000, 146.2200, 3200,    151.4,  13.4360,  35.3420,2,-999.0000,9,    240.0,2,   -999.0,9,     1.05,2,     6.42,2,     0.37,2,   2088.1,2,   2323.7,2,  -999.00,9,  13.4147
  35MF20030123,  SR03,     1,  1,      9,2,20030129,-45.0000, 146.2200, 3200,    202.8,  12.3210,  35.1620,2,  35.1710,2,    223.5,2,    224.9,2,     2.74,2,    10.52,2,     0.59,2,   2109.7,2,   2312.9,2,  -999.00,9,  12.2940
  35MF20030123,  SR03,     1,  1,      8,2,20030129,-45.0000, 146.2200, 3200,    249.0,  11.4740,  35.0400,2,-999.0000,9,    238.5,2,   -999.0,9,     2.76,2,    11.25,2,     0.64,2,   2098.6,2,   2296.7,2,  -999.00,9,  11.4424
  35MF20030123,  SR03,     1,  1,      7,2,20030129,-45.0000, 146.2200, 3200,    298.6,  11.0020,  34.9660,2,-999.0000,9,    250.3,2,   -999.0,9,     2.56,2,    11.49,2,     0.65,2,   2096.6,2,   2291.1,2,  -999.00,9,  10.9650
  35MF20030123,  SR03,     1,  1,      6,2,20030129,-45.0000, 146.2200, 3200,    396.9,   9.2900,  34.6480,2,-999.0000,9,    260.6,2,   -999.0,9,     3.42,2,    15.11,2,     0.87,2,   2101.0,2,   2280.1,2,  -999.00,9,   9.2457
  35MF20030123,  SR03,     1,  1,      5,2,20030129,-45.0000, 146.2200, 3200,    498.6,   9.0490,  34.6360,2,  34.6650,2,    250.6,2,    247.7,2,     4.25,2,    16.62,2,     0.96,2,   2110.5,2,   2280.8,2,  -999.00,9,   8.9940
  35MF20030123,  SR03,     1,  1,      4,2,20030129,-45.0000, 146.2200, 3200,    599.0,   8.5070,  34.5780,2,-999.0000,9,    228.1,2,   -999.0,9,     7.06,2,    20.20,2,     1.17,2,   2124.3,2,   2279.7,2,  -999.00,9,   8.4429
  35MF20030123,  SR03,     1,  1,      3,2,20030129,-45.0000, 146.2200, 3200,    800.2,   7.0710,  34.5140,2,-999.0000,9,    187.7,2,   -999.0,9,    17.15,2,    26.17,2,     1.57,2,   2155.5,2,   2282.0,2,  -999.00,9,   6.9930
  35MF20030123,  SR03,     1,  1,      1,2,20030129,-45.0000, 146.2200, 3200,   1007.1,   5.5470,  34.4610,2,  34.4950,2,    183.3,2,    182.3,2,    30.67,2,    29.75,2,     1.81,2,   2185.1,2,   2297.4,2,  -999.00,9,   5.4589
  35MF20030123,  SR03,     1,  1,      2,2,20030129,-45.0000, 146.2200, 3200,   1007.6,   5.5460,  34.4610,2,-999.0000,9,    182.8,2,   -999.0,9,    29.96,2,    29.75,2,     1.83,2,   2181.9,2,   2295.0,2,  -999.00,9,   5.4579
  35MF20030123,  SR03,     2,  1,     19,2,20030130,-48.0000, 146.0200, 2700,      0.7,  10.8840,  34.5060,2,  34.5090,2,    281.2,2,    280.8,2,     0.91,2,    11.29,2,     0.63,2,   2067.9,2,   2280.8,2,     0.46,2,  10.8839
