BOTTLE,20070629JAMSTECIORGC
#Software_Version: whp_btl_exchange.rb_v1.61 (ogc_group)
#ORIGINAL_SUM_FILE: sum_leg1_050422.csv Fri Apr 22 06:00:58 +0900 2005
#ORIGINAL_HYD_FILE: sea_leg1_070629.csv Fri Jun 29 19:23:48 +0900 2007
#DEPTH_TYPE: COR
#EVENT_CODE: BO
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,SBE35,SBE35_FLAG_W,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,DWNPRS,DWNPRS_FLAG_W,DWNOXY,DWNOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,SILUNC,NITRAT,NITRAT_FLAG_W,NRAUNC,NITRIT,NITRIT_FLAG_W,NRIUNC,PHSPHT,PHSPHT_FLAG_W,PHPUNC,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TMP,PH_TOT_FLAG_W,DELC13,DELC13_FLAG_W,C13ERR,DELC14,DELC14_FLAG_W,C14ERR,TOC,TOC_FLAG_W,TRITUM,TRITUM_FLAG_W,TRITER,CS-137,CS-137_FLAG_W,CS137ER,PLUTO,PLUTO_FLAG_W,PLUTOER,THETA,SIG0
,,,,,,,,,,,METERS,DBAR,,ITS-90,,ITS-90,,PSS-78,,PSS-78,,UMOL/KG,,DBAR,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,UMOL/KG,,UMOL/KG,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,DEG C,,/MILLE,,/MILLE,/MILLE,,/MILLE,UMOL/KG,,KBQ/M^3,,TU,BQ/M^3,,BQ/M^3,MBQ/M^3,,MBQ/M^3,DEG C,KG/M^3
49NZ20030803,   P06W,246,1,0,-999,9,20030803,2003,-30.0945,153.4833,92,-999,9,-999,9,-999,9,-999,9,35.6366,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20030803,   P06W,246,1,36,12048,2,20030803,2003,-30.0945,153.4833,92,10.5,2,19.8748,2,19.87507,2,35.6224,2,35.622,2,212.11,1,10.7,2,220.76,2,219.73,2,0.64,2,0.12,0.85,2,0.04,0.08,2,0.01,0.19,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.8729,25.2702
49NZ20030803,   P06W,246,1,35,12047,2,20030803,2003,-30.0945,153.4833,92,50.1,2,19.0753,2,19.07471,2,35.6012,2,35.6012,2,197.33,1,50.3,2,205.54,2,204.15,2,1.52,2,0.12,2.77,2,0.04,0.23,2,0.01,0.34,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0663,25.4637
49NZ20030803,   P06W,246,1,34,12046,2,20030803,2003,-30.0945,153.4833,92,87,2,18.131,2,18.13196,2,35.5456,2,35.545,2,176.44,1,87,2,183.08,2,182.38,2,2.29,2,0.12,6.03,2,0.05,0.16,2,0.01,0.53,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,18.116,25.6613
49NZ20030803,   P06W,246,1,33,12045,9,20030803,2003,-30.0945,153.4833,92,50.2,2,19.1773,2,19.17697,2,35.617,2,-999,9,203.62,1,48.1,2,206.15,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1683,25.4496
49NZ20030803,   P06W,246,1,32,12044,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.1777,2,19.17847,2,35.617,2,-999,9,203.33,1,48.2,2,206.08,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1686,25.4495
49NZ20030803,   P06W,246,1,31,12043,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.1771,2,19.17797,2,35.617,2,-999,9,203.8,1,48.3,2,206.07,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.168,25.4497
49NZ20030803,   P06W,246,1,30,12042,9,20030803,2003,-30.0945,153.4833,92,50.2,2,19.1768,2,19.17753,2,35.6167,2,-999,9,203.91,1,48.1,2,206.18,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1678,25.4495
49NZ20030803,   P06W,246,1,29,12041,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.167,2,19.16815,2,35.6144,2,-999,9,202.14,1,48.4,2,206.01,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1579,25.4503
49NZ20030803,   P06W,246,1,28,12040,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.1621,2,19.16465,2,35.6133,2,-999,9,202.29,1,48.5,2,205.92,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.153,25.4507
49NZ20030803,   P06W,246,1,27,12039,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.1556,2,19.15689,2,35.6118,2,-999,9,200.85,1,48.5,2,205.92,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1466,25.4513
49NZ20030803,   P06W,246,1,26,12038,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.1457,2,19.14749,2,35.6099,2,-999,9,200.64,1,48.7,2,205.76,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1366,25.4524
49NZ20030803,   P06W,246,1,25,12037,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.1478,2,19.15037,2,35.6104,2,-999,9,200.19,1,48.7,2,205.78,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1387,25.4522
49NZ20030803,   P06W,246,1,24,12036,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.124,2,19.13287,2,35.6057,2,-999,9,199.48,1,49.1,2,205.56,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1149,25.4547
49NZ20030803,   P06W,246,1,23,12035,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.1147,2,19.11748,2,35.6031,2,-999,9,197.66,1,49,2,205.57,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.1057,25.4551
49NZ20030803,   P06W,246,1,22,12034,9,20030803,2003,-30.0945,153.4833,92,50.1,2,19.1066,2,19.10809,2,35.6026,2,-999,9,197.55,1,49.1,2,205.56,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0976,25.4568
49NZ20030803,   P06W,246,1,21,12033,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.1002,2,19.10031,2,35.6016,2,-999,9,196.7,1,49.6,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0912,25.4577
49NZ20030803,   P06W,246,1,20,12032,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.1022,2,19.10059,2,35.6022,2,-999,9,197.13,1,49.6,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0932,25.4577
49NZ20030803,   P06W,246,1,19,12031,9,20030803,2003,-30.0945,153.4833,92,50.6,2,19.1011,2,19.09974,2,35.6024,2,-999,9,197.47,1,49.8,2,205.52,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.092,25.4581
49NZ20030803,   P06W,246,1,18,12030,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.1013,2,19.09643,2,35.6023,2,-999,9,197.21,1,49.5,2,205.54,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0923,25.458
49NZ20030803,   P06W,246,1,17,12029,9,20030803,2003,-30.0945,153.4833,92,50.6,2,19.0961,2,19.09646,2,35.6018,2,-999,9,196.63,1,50,2,205.51,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.087,25.4589
49NZ20030803,   P06W,246,1,16,12028,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.0903,2,19.09048,2,35.6009,2,-999,9,196.56,1,49.9,2,205.51,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0813,25.4597
49NZ20030803,   P06W,246,1,15,12027,9,20030803,2003,-30.0945,153.4833,92,50.1,2,19.0947,2,19.09028,2,35.6017,2,-999,9,197.02,1,49.6,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0857,25.4592
49NZ20030803,   P06W,246,1,14,12026,9,20030803,2003,-30.0945,153.4833,92,50.6,2,19.0892,2,19.0897,2,35.6012,2,-999,9,196.96,1,50.1,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0801,25.4603
49NZ20030803,   P06W,246,1,13,12025,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.0906,2,19.08968,2,35.6015,2,-999,9,196.91,1,50,2,205.51,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0816,25.4601
49NZ20030803,   P06W,246,1,12,12024,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.0935,2,19.08921,2,35.6013,2,-999,9,197.33,1,49.9,2,205.52,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0845,25.4592
49NZ20030803,   P06W,246,1,11,12023,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.0883,2,19.08903,2,35.6014,2,-999,9,196.97,1,50.1,2,205.52,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0793,25.4606
49NZ20030803,   P06W,246,1,10,12022,9,20030803,2003,-30.0945,153.4833,92,50.2,2,19.0884,2,19.08867,2,35.6016,2,-999,9,197.18,1,50,2,205.51,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0794,25.4608
49NZ20030803,   P06W,246,1,9,12021,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.0878,2,19.08843,2,35.6016,2,-999,9,197.13,1,50.1,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0788,25.4609
49NZ20030803,   P06W,246,1,8,12020,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.0878,2,19.0881,2,35.6016,2,-999,9,197.27,1,50.1,2,205.52,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0788,25.4609
49NZ20030803,   P06W,246,1,7,12019,9,20030803,2003,-30.0945,153.4833,92,50.4,2,19.0871,2,19.08755,2,35.6019,2,-999,9,197.02,1,50.1,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0781,25.4613
49NZ20030803,   P06W,246,1,6,12018,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.0869,2,19.08757,2,35.6017,2,-999,9,197.09,1,50.1,2,205.52,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0779,25.4612
49NZ20030803,   P06W,246,1,5,12017,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.0854,2,19.08637,2,35.6015,2,-999,9,197.15,1,50.1,2,205.53,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0764,25.4615
49NZ20030803,   P06W,246,1,4,12016,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.0856,2,19.08665,2,35.6016,2,-999,9,197.37,1,50.2,2,205.54,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0766,25.4615
49NZ20030803,   P06W,246,1,3,12015,9,20030803,2003,-30.0945,153.4833,92,50.6,2,19.0817,2,19.08393,2,35.6016,2,-999,9,197.29,1,50.4,2,205.56,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0726,25.4625
49NZ20030803,   P06W,246,1,2,12014,9,20030803,2003,-30.0945,153.4833,92,50.5,2,19.0795,2,19.08278,2,35.6014,2,-999,9,197.54,1,50.4,2,205.56,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0705,25.4629
49NZ20030803,   P06W,246,1,1,12013,9,20030803,2003,-30.0945,153.4833,92,50.3,2,19.0763,2,19.07887,2,35.6015,2,-999,9,197.26,1,50.4,2,205.56,2,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.0673,25.4637
49NZ20030803,   P06W,245,1,0,-999,9,20030803,2333,-30.0858,153.523,134,-999,9,-999,9,-999,9,-999,9,35.6299,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,-999,-999
49NZ20030803,   P06W,245,1,36,12048,2,20030803,2333,-30.0858,153.523,134,10,2,20.3819,2,20.38238,2,35.6166,2,35.6166,2,215.61,1,12.4,2,226.89,2,224.28,2,0.41,2,0.12,0.12,2,0.03,0.03,2,0.01,0.14,2,0.02,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,20.38,25.131
49NZ20030803,   P06W,245,1,35,12047,2,20030803,2333,-30.0858,153.523,134,50.4,2,19.322,2,19.32253,2,35.6311,2,35.6299,2,206.94,1,50.4,2,215.42,2,214.41,2,0.98,2,0.12,1.61,2,0.04,0.14,2,0.01,0.25,2,0.01,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,9,-999,-999,9,-999,-999,9,-999,19.3129,25.4231
