BOTTLE,20100811CCHDOSIOJCF
#BOTTLE,20081126PRINUNIVRMK
#BOTTLE,20070618WHPSIODBK
# Ship: Aurora Australis;  
# Cruise: 09AA0301; WOCE SR03.2001; SCM03 (basename sr03.aa2001) 
# Cruise dates: 10/29-12/11/2001 
# EXPOCODE: 09AR20011029 
# Region: Section from Tasmania to Antarctica 
# Ch. Sci.: B. Tilbrook 
# 134 stations with 24 place Rosette 
# Hydro: Who - S.Rintoul; Status - final 
# 	Notes: Data from CCHDO 5/29/08 
# Nuts/O2: Who - ?; Status - final 
# 	Notes: Data from CCHDO 5/29/08 
# TCO2: Who - Tilbrook/Sabine; Status - final 
# 	Notes: CRM batch 52 
# 	CRM analysis: 2005.64+/-1.36umol/kg (1 s.d., n=64) 
# 	Somma 
# TA: Who - Tilbrook/Sabine; Status - final 
# 	Notes: Closed cell potentiometric titration 
# 	Accuracy and precision estimated to be +/-1.23umol/kg 
# 	Shipboard duplicate analyses had absolute difference of 0.79+/-0.62 
# 		(1 s.d.,n=151) 
# CFC: Who - ; Status - final 
# 	Notes: Includes cfc-113  
# Other: DOC, POC, O18, Th230, etc. collected but no data in file
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NO2+NO3,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA,NO2+NO3_FLAG_W
,,,,,,,,,,,METERS,DBAR,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C,
09AR20011029, SR03, 1, 1, 3, 3, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.1,   5.0320,  34.4430, 2,  34.4430, 2,   -999.0, 5,    184.7, 2,    39.40, 2,    29.86, 2,    29.86,     1.94, 2,    0.576, 4,    0.253, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9500, 2
09AR20011029, SR03, 1, 1, 12, 12, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.2,   5.0510,  34.4430, 2,  34.4520, 3,   -999.0, 5,    184.7, 2,    39.30, 2,    28.30, 2,    28.30,     1.91, 2,    0.630, 4,    0.244, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9690, 2
09AR20011029, SR03, 1, 1, 4, 4, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.2,   5.0390,  34.4420, 4,  34.4440, 2,   -999.0, 5,    184.6, 2,    39.50, 2,    30.41, 2,    30.41,     1.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9570, 2
09AR20011029, SR03, 1, 1, 13, 13, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.3,   5.0560,  34.4440, 2,  34.4510, 3,   -999.0, 5,    185.1, 2,    39.30, 2,    29.36, 2,    29.36,     1.91, 2,    0.555, 4,    0.241, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9740, 2
09AR20011029, SR03, 1, 1, 8, 8, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.3,   5.0500,  34.4430, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9680, 9
09AR20011029, SR03, 1, 1, 6, 6, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.3,   5.0390,  34.4430, 3,  34.4550, 3,   -999.0, 5,    184.7, 2,    39.50, 2,    29.62, 2,    29.62,     1.93, 2,    0.551, 4,    0.241, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9570, 2
09AR20011029, SR03, 1, 1, 5, 5, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.3,   5.0410,  34.4420, 2,  34.4440, 2,   -999.0, 5,    184.8, 2,    39.40, 2,    29.63, 2,    29.63,     1.91, 2,    0.540, 4,    0.246, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9590, 2
09AR20011029, SR03, 1, 1, 2, 2, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.3,   5.0370,  34.4420, 2,  34.4430, 2,   -999.0, 5,    185.0, 2,    39.40, 2,    29.99, 2,    29.99,     1.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9550, 2
09AR20011029, SR03, 1, 1, 10, 10, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.4,   5.0530,  34.4440, 3, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9710, 9
09AR20011029, SR03, 1, 1, 9, 9, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.4,   5.0510,  34.4430, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9690, 9
09AR20011029, SR03, 1, 1, 1, 1, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.4,   5.0250,  34.4420, 2,  34.4410, 2,   -999.0, 5,    184.4, 2,    39.30, 2,    29.98, 2,    29.98,     1.92, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9430, 2
09AR20011029, SR03, 1, 1, 11, 11, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.7,   5.0510,  34.4440, 2,  34.4520, 3,   -999.0, 5,    184.9, 2,    39.40, 2,    29.32, 2,    29.32,     1.92, 2,    0.539, 4,    0.246, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9690, 2
09AR20011029, SR03, 1, 1, 15, 15, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.8,   5.0560,  34.4430, 2,  34.4490, 3,   -999.0, 5,    185.0, 2,    39.00, 2,    29.47, 2,    29.47,     1.90, 2,    0.525, 4,    0.228, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9740, 2
09AR20011029, SR03, 1, 1, 14, 14, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.8,   5.0540,  34.4430, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9720, 9
09AR20011029, SR03, 1, 1, 7, 7, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.8,   5.0480,  34.4410, 4,  34.4560, 3,   -999.0, 5,    185.1, 2,    39.30, 2,    29.22, 2,    29.22,     1.91, 2,    0.521, 4,    0.237, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9660, 2
09AR20011029, SR03, 1, 1, 17, 17, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    992.9,   5.0540,  34.4440, 2,  34.4440, 2,   -999.0, 5,    184.8, 2,    39.20, 2,    29.59, 2,    29.59,     1.90, 2,    0.661, 4,    0.247, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9720, 2
09AR20011029, SR03, 1, 1, 16, 16, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.0,   5.0560,  34.4430, 2,  34.4460, 2,   -999.0, 5,    185.6, 2,    39.20, 2,    29.63, 2,    29.63,     1.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9740, 2
09AR20011029, SR03, 1, 1, 19, 19, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.1,   5.0520,  34.4440, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9700, 9
09AR20011029, SR03, 1, 1, 18, 18, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.1,   5.0490,  34.4430, 2,  34.4430, 2,   -999.0, 5,    185.8, 2,    39.30, 2,    29.62, 2,    29.62,     1.91, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9670, 2
09AR20011029, SR03, 1, 1, 22, 22, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.3,   5.0560,  34.4450, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9740, 9
09AR20011029, SR03, 1, 1, 24, 24, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0250,  34.4460, 2, -999.0000, 9,   -999.0, 5,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9430, 9
09AR20011029, SR03, 1, 1, 23, 23, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0490,  34.4440, 3,  34.4450, 2,   -999.0, 5,    185.1, 2,    39.30, 2,    29.15, 2,    29.15,     1.88, 2, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   4.9670, 2
09AR20011029, SR03, 1, 1, 21, 21, 2, 20011029, 2140, -44.1217, 146.2182, 1010,  -999.00,    993.5,   5.0540,  34.4440, 2,  34.4430, 2,   -999.0, 5,    184.7, 2,    39.00, 2,    29.09, 2,    29.09,     1.90, 2,    0.647, 4,    0.244, 3, -999.000, 5,   -999.0, 9,   -999.0, 9,   4.9720, 2
