BOTTLE,20140204SIOCCHRJL
# OXYGEN flag -999 changed to 9
# TCARBN and OXYGEN empty fill value flag 2 changed to flag 9
# BOTTLE,20130321PRINUNIVRMK
# 9/24/2012 Initialized README file  
# Data source: Brian King 3/6/13; carbon: D.Bakker 1/25/11 
# SHIP: James Cook 
# Cruise: JC031 
# Region: Drake Passage 
# EXPOCODE: 740H20090203 
# DATES: 2/3 - 3/3/2009 
# Chief Scientist: E.L. McDonagh 
# 80 stations with 24 place Rosette 
# Hydro: Who - E.McDonagh; Status - final 
# 	Notes: 	See McDonagh et al., 2009. 
# 	CTD/Rosette package changed after station 12 
# Nuts: Who - M.Stinchcombe; Status - final 
# 	Notes: 
# O2: Who - M.Stinchcombe; Status - final 
# 	Notes: 
# TCO2: Who - D.Bakker; Status - final 
# 	Notes: see Charalampopoulou, 2011. 
#       Methods similar to Bakker et al., 2007.
# TA: Who -D.Bakker; Status - final 
# 	Notes: all run in duplicate with average RMS err of 4.5umol/kg 
#       Methods similar to Bakker et al., 2007.
# CFC: Who - M.J.Messias; Status - proprietary for undetermined period 
# 	Notes: includes SF6 
#	Data available on request from PI
# Ar/O: Who - ; Status - unknown 
# 	Notes: no data in file 
# References: 
# McDonagh, E.L.(2009) RRS James Cook Cruise JC031, 03 Feb-03 Mar 2009. Hydrographic sections of Drake Passage. , Hamersley, D.R.C. and McDonagh, E.L. (eds.), Southampton, UK, National Oceanography Centre Southampton, 170pp. (National Oceanography Centre Southampton Cruise Report,(39)). 
# Charalampopoulou, Anastasia (2011) Coccolithophores in high latitude and Polar regions: Relationships between community composition, calcification and environmental factors. University of Southampton, School of Ocean and Earth Science, Doctoral Thesis, 139pp. 
# Bakker, D.C.E., M.C. Nielsdottir, P.J. Morris, H.J. Venables, A.J. Watson (2007) The island mass effect and biological carbon uptake for the subantarctic Crozet Archipelago. Deep-Sea Research II, 54: 2174-2190, doi:10.1016/j.dsr2.2007.06.009.
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  740H20090203,  SR01,     1,  1,      1,      1,2,20090205,1622,-57.1300, -68.2500, 4482,   4472.2,   1.0650,  34.7122,2,  34.7139,2,    198.1,    205.6,   2,   119.58,2,    33.53,2,     2.23,2,   2263.4,2,   2365.9,6
  740H20090203,  SR01,     1,  1,      2,      2,2,20090205,1622,-57.1300, -68.2500, 4482,   4421.3,   1.0589,  34.7122,2,  34.7137,2,    197.3,    200.9,   2,   118.87,2,    33.63,2,     2.24,2,   2262.3,2,   2368.2,6
  740H20090203,  SR01,     1,  1,      3,      3,2,20090205,1622,-57.1300, -68.2500, 4482,   3810.4,   1.1344,  34.7154,2,  34.7167,2,    193.4,    197.1,   2,   114.38,2,    33.44,2,     2.21,2,   2262.8,2,   -999.0,9
  740H20090203,  SR01,     1,  1,      4,      4,2,20090205,1622,-57.1300, -68.2500, 4482,   3552.7,   1.3022,  34.7187,2,  34.7237,2,    189.4,    193.5,   2,   109.92,2,    33.36,2,     2.20,2,   2262.9,2,   2371.0,6
  740H20090203,  SR01,     1,  1,      5,      5,2,20090205,1622,-57.1300, -68.2500, 4482,   3294.3,   1.5026,  34.7213,2,  34.7229,2,    184.8,    189.1,   2,   104.38,2,    33.43,2,     2.21,2,   2264.2,2,   2368.5,6
  740H20090203,  SR01,     1,  1,      6,      6,2,20090205,1622,-57.1300, -68.2500, 4482,   3037.6,   1.6323,  34.7194,2,  34.7213,2,    180.5,    184.2,   2,   101.64,2,    33.42,2,     2.22,2,   2258.3,2,   2369.3,6
  740H20090203,  SR01,     1,  1,      7,      7,3,20090205,1622,-57.1300, -68.2500, 4482,   2781.1,   1.8086,  34.7115,2,-999.0000,9,    173.5,   -999.0,   9,    28.38,4,    26.55,4,     1.81,4,   -999.0,9,   -999.0,9
  740H20090203,  SR01,     1,  1,      8,      8,2,20090205,1622,-57.1300, -68.2500, 4482,   2525.4,   1.9254,  34.6963,2,  34.6961,2,    165.5,    169.1,   2,   101.57,4,    34.89,4,     2.31,4,   -999.0,9,   2376.1,6
  740H20090203,  SR01,     1,  1,      9,      9,2,20090205,1622,-57.1300, -68.2500, 4482,   2269.9,   2.1580,  34.6925,2,  34.6940,2,    171.0,    175.0,   2,    86.97,2,    34.03,2,     2.24,2,   2259.9,2,   2354.9,6
