BOTTLE,20151116SIOCCHCBG
# changed expocode from 29AH20120623 to 29AH20120622
# changed flag to 9 for empty values in PHSPHT and NITRAT
# BOTTLE,20150813PRINUNIVRMK
# Original header:
# 25/05/2015 Initialized README file 
# Data source: Fiz F.Perez, 05/05/2015 
# SHIP: Sarmiento de Gamboa 
# Cruise: CATARINA 
# Section: OVIDE 
# Region: North Atlantic	 
# EXPOCODE: 29AH20120622	 
# DATES: 20120623-20120720 
# Chief Scientist: Aida F. Rios 
# 108 stations with 24 place Rosette 
# Hydro: Who - P.Lherminier/P.Branellec/M.Gilcoto/G.Roson ; Status - final 
# 	Notes: CSIC, Instituto de Investigaciones Marinas de Vigo; LPO/IFREMER Brest, France; University of Vigo, Spain 
# Nutrients:  Who - F.Alonso-Perez/M. de la Paz/M. Castano-Carrera/M.Galindo; Status - final 
# 	Notes: CSIC, Instituto de Investigaciones Marinas de Vigo 
# O2:    Who - A.Velo; Status - final 
# 	Notes: CSIC, Instituto de Investigaciones Marinas de Vigo 
# TA: Who -  M.I.Garcia-Ibanez/Fiz F. Perez/ N.M. Fajar; Status - final 
# 	Notes: CSIC, Instituto de Investigaciones Marinas de Vigo 
# pH: Who - Fiz F. Perez/M.I. Garcia-Ibanez/N.M.Fajar ; Status - final 
# 	Notes: Total sacale @ 25C, the correction of DelValls and Dickson (1998) was added (+0.0047) 
# CFC: Who - R. Steinfeldt; Status - final 
# 	Notes: U.Bremen data rcd and merged 8/12/2015 
# References: 	 
# CATARINA Cruise Report (http://catarina.iim.csic.es/sites/default/files/CATARINA%20cruise%20report_0.pdf) 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,,,DEG C,DEG C
29AH20120622,      OVIDE,       1,          1,          1,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.5,  13.3207,  35.9163,2,  35.9188,2,    201.2,2,   201.1,2,    4.25,2,    9.29,2,    0.42,2,-999.000,9,-999.000,9,  2352.5,2,   7.8320,2,    25.00,  13.3004
29AH20120622,      OVIDE,       1,          1,          2,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.5,  13.3200,  35.9161,2,  35.9191,2,    201.2,2,   198.8,2, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8315,2,    25.00,  13.2997
29AH20120622,      OVIDE,       1,          1,          3,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.5,  13.3206,  35.9163,2,-999.0000,9,    201.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8299,2,    25.00,  13.3003
29AH20120622,      OVIDE,       1,          1,          4,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.5,  13.3211,  35.9162,2,-999.0000,9,    201.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8301,2,    25.00,  13.3008
29AH20120622,      OVIDE,       1,          1,          5,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.6,  13.3207,  35.9162,2,-999.0000,9,    201.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8297,2,    25.00,  13.3003
29AH20120622,      OVIDE,       1,          1,          6,2,20120623,       0000,    40.3326,    -9.4594,        155,   144.5,  13.3203,  35.9161,2,-999.0000,9,    201.2,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8297,2,    25.00,  13.3000
29AH20120622,      OVIDE,       1,          1,          7,2,20120623,       0000,    40.3326,    -9.4594,        155,    99.4,  13.4866,  35.9365,2,  35.9393,2,    214.7,2,   214.0,2,    3.12,2,    7.82,2,    0.37,2,-999.000,9,-999.000,9,  2351.3,2,   7.8544,2,    25.00,  13.4725
29AH20120622,      OVIDE,       1,          1,          8,2,20120623,       0000,    40.3326,    -9.4594,        155,    99.4,  13.4872,  35.9365,2,  35.9381,2,    214.7,2,   214.2,2, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8544,2,    25.00,  13.4731
29AH20120622,      OVIDE,       1,          1,          9,2,20120623,       0000,    40.3326,    -9.4594,        155,    99.5,  13.4880,  35.9366,2,-999.0000,9,    214.7,2,  -999.0,9, -999.00,9, -999.00,9, -999.00,9,-999.000,9,-999.000,9,  -999.0,9,   7.8581,2,    25.00,  13.4739
